run,method,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,seconds,affine_scale,affine_shift
main,RA-MTM,native,False,0.0,False,0.04496948984765975,0.03543639577901753,0.049369439407327756,4.752510078718237e-17,8.33853404178937e-17,0.5268194496967181,439,439,0,582,582,118,3.2075513750314713,1.0,0.0
main,RA-MTM,first_frame_affine,False,0.0,False,0.04496948984765975,0.03543639577901753,0.049369439407327756,4.752510078718237e-17,8.33853404178937e-17,0.5268194496967181,439,439,0,582,582,118,3.2075513750314713,1.0,0.0
main,RA-MTM,native,True,0.0,False,0.044968898681250834,0.03543738802700324,0.049370088139204925,0.01950095854521064,0.0017868833527274217,0.5268204660216665,439,439,0,582,582,118,3.2075513750314713,1.0,0.0
NoTime,RA-MTM,native,False,0.0,False,0.04559856581885559,0.03719445020594268,0.05013647241576847,4.752510078718237e-17,8.33853404178937e-17,0.5250321384770653,439,439,0,582,582,118,3.377789417048916,1.0,0.0
NoTime,RA-MTM,first_frame_affine,False,0.0,False,0.04559856581885559,0.03719445020594268,0.05013647241576847,4.752510078718237e-17,8.33853404178937e-17,0.5250321384770653,439,439,0,582,582,118,3.377789417048916,1.0,0.0
NoTime,RA-MTM,native,True,0.0,False,0.04559850523494027,0.037194285480900306,0.05013683202970784,0.019650950900382165,0.0017461156997145713,0.525032735287623,439,439,0,582,582,118,3.377789417048916,1.0,0.0
ReferenceOnly,RA-MTM,native,False,0.0,False,0.026738958231820462,0.02368381817372956,0.03908054145770648,4.752510078718237e-17,8.33853404178937e-17,0.5752972250606209,439,439,0,582,582,118,3.311542541021481,1.0,0.0
ReferenceOnly,RA-MTM,first_frame_affine,False,0.0,False,0.026738958231820462,0.02368381817372956,0.03908054145770648,4.752510078718237e-17,8.33853404178937e-17,0.5752972250606209,439,439,0,582,582,118,3.311542541021481,1.0,0.0
ReferenceOnly,RA-MTM,native,True,0.0,False,0.026744419901821123,0.02368758068529227,0.039086336720701005,0.022194213057889496,0.0016043365112161502,0.5752947785666539,439,439,0,582,582,118,3.311542541021481,1.0,0.0
RelativeWidth,RA-MTM,native,False,0.0,False,0.0446788046448989,0.03558393270477811,0.04937088729838675,0.4227285703722841,0.4730520970093351,0.5271289864291692,439,439,0,582,582,118,3.5063189170323312,1.0,0.0
RelativeWidth,RA-MTM,first_frame_affine,False,0.0,False,0.0446788046448989,0.03558393270477811,0.04937088729838675,0.4227285703722841,0.4730520970093351,0.5271289864291692,439,439,0,582,582,118,3.5063189170323312,1.0,0.0
RelativeWidth,RA-MTM,native,True,0.0,False,0.04467953929133383,0.03558577188527868,0.04937219317405525,0.4212350108810551,0.47305702180022724,0.5271271687146099,439,439,0,582,582,118,3.5063189170323312,1.0,0.0
