scene,full_reference_nmae,full_reference_p95,full_trajectory_nmae,full_common_motion_nmae,full_motion_step_nmae,full_growth_log_mae,full_total_growth_log_mae,full_unchanged_size_log_drift,full_distance_nrmse,full_error_step_rms,full_error_step_max,no_time_reference_nmae,no_time_reference_p95,no_time_trajectory_nmae,no_time_common_motion_nmae,no_time_motion_step_nmae,no_time_growth_log_mae,no_time_total_growth_log_mae,no_time_unchanged_size_log_drift,no_time_distance_nrmse,no_time_error_step_rms,no_time_error_step_max,max_anchor_difference
translation,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,3.5908775952719906e-17,8.649764932089354e-17,,0.19751903114922267,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,3.5908775952719906e-17,8.649764932089354e-17,,0.19751903114922267,0.0,0.0,0.0
growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.689893001203927e-17,4.9960036108132046e-17,,0.2033444413484118,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.689893001203927e-17,4.9960036108132046e-17,,0.2033444413484118,0.0,0.0,0.0
translation_growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.20309292121146372,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.20309292121146372,0.0,0.0,0.0
local_growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5883435939586546e-17,7.118871464539822e-17,,0.19835930186778392,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5883435939586546e-17,7.118871464539822e-17,,0.19835930186778392,0.0,0.0,0.0
hierarchy_change,0.013768217758578529,0.04897242262912117,0.06785488874301351,0.004145360930394589,0.0037201309703468687,5.837344496661956e-17,5.412337245047638e-17,,0.29894022992578534,2.2870980548165445,14.873641839460504,0.013801556984170783,0.048948742907962174,0.06790814532318291,0.004096555223634098,0.003722766841006897,5.837344496661956e-17,5.412337245047638e-17,,0.298905343227069,2.313877286217491,15.21019915979248,0.33655732033197694
crowding,0.007392153057178083,0.011541399408058773,0.0005125827430498751,0.00013278999093553837,0.0003279068646884722,4.1561083278611e-17,1.2463988174893358e-16,,0.7247835862761622,0.07743212996837882,0.2785907960925016,0.007391605491957867,0.011541399408058773,0.000519215150827117,0.00013942239871278023,0.00034380456927125103,4.1561083278611e-17,1.2463988174893358e-16,,0.7247835341553208,0.07961378784175635,0.2785907960925016,0.010782803321788492
advection_diffusion,0.06875601134602739,0.11695853910712246,0.0009335129114602384,4.939264681045922e-05,0.00038466060705479277,3.9394485937260806e-17,3.9660115469519753e-17,,0.41413002784114006,0.06806827992381344,0.217862555175671,0.06875525456570503,0.11695853910712246,0.000936951800523611,4.966251248002873e-05,0.0003889610396611642,3.9394485937260806e-17,3.9660115469519753e-17,,0.4141310552317725,0.06832956558427765,0.217862555175671,0.0046933241702973305
hierarchy_change_seed1,0.007920389707929286,0.008333333333333333,0.0007164099076551807,0.0007164099076551807,0.00018190900443396663,5.108760636751697e-17,8.465450562766818e-17,,0.2898717632086745,0.07150341983360885,0.29508498042056175,0.00791936774172626,0.008333333333333333,0.0007315689848544982,0.0007315689848544982,0.0001844704982339751,5.108760636751697e-17,8.465450562766818e-17,,0.28987165420310423,0.07238599338040372,0.2968014351678363,0.024590340480081352
hierarchy_change_seed2,0.013358652050701449,0.047054501264233585,0.0638292206205034,0.0036849109547785,0.003527993690218356,6.075868974608767e-17,7.771561172376095e-17,,0.2904660820060773,2.134728656714129,13.93481015121101,0.013384359103565948,0.04703841526720055,0.06387518407009121,0.0036428131868477586,0.0035291783723699023,6.075868974608767e-17,7.771561172376095e-17,,0.29043546338664117,2.1569941564004163,14.213018132739592,0.27820798152858117
hierarchy_change_seed3,0.010840050840312086,0.008333333333333333,0.07235651254605327,0.00454931350659614,0.0037701842940921887,3.86843335142828e-17,1.412064909445121e-16,,0.29058319099153257,2.3284635260849904,14.94832748049761,0.010909297623943942,0.008333333333333333,0.07244464551398394,0.004461180538665473,0.003772562311806334,3.86843335142828e-17,1.412064909445121e-16,,0.2905139524454581,2.3836218617286637,15.643518833425247,0.6951913529276368
crowding_seed1,0.006347097789315581,0.008789495783103026,0.00018078967103538128,9.01709400206643e-05,0.00016942158836390992,5.79469921121086e-17,9.094287822808411e-17,,0.7258134266018847,0.04823597772178813,0.2045841117143965,0.006345705023191898,0.008789495783103026,0.00018691340156882873,9.62946705541117e-05,0.00017844936030869403,5.79469921121086e-17,9.094287822808411e-17,,0.7258134196439499,0.04987866895736068,0.2045841117143965,0.0104913794785233
crowding_seed2,0.008344741266998404,0.008333333333333333,1.1978330348322668e-05,3.992776782774223e-06,1.1978330348322668e-05,5.799758821349124e-17,1.2093191031903317e-16,,0.7217533045606428,0.006428246619791572,0.0287479928359744,0.008344741266998404,0.008333333333333333,1.1978330348322668e-05,3.992776782774223e-06,1.1978330348322668e-05,5.799758821349124e-17,1.2093191031903317e-16,,0.7217533045606428,0.006428246619791572,0.0287479928359744,0.0
crowding_seed3,0.008239921580426263,0.013901536324578965,0.0011740994088368416,0.00040402405959644443,0.0003540103531557303,3.9002366151545214e-17,1.0286910212542466e-16,,0.7244975488839668,0.09036617387312043,0.2671809066431621,0.0082372379783778,0.013901536324578965,0.0011769171909877258,0.00040684184174732865,0.00036344525865934313,3.9002366151545214e-17,1.0286910212542466e-16,,0.7244979598764584,0.09110462896209441,0.2671809066431621,0.010567289951112002
advection_diffusion_seed1,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.322171960613463e-17,7.39425881635114e-17,,0.3873730295998554,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.322171960613463e-17,7.39425881635114e-17,,0.3873730295998554,0.0,0.0,0.0
advection_diffusion_seed2,0.06486529686987369,0.10955599090611398,0.0007303192470236431,2.909558350268293e-05,0.00029164725787979095,4.2408567976770503e-17,1.0718422677191697e-16,,0.40348458851163854,0.05151694185707311,0.1944789477449831,0.06486497530731443,0.10955599090611398,0.0007329761754598862,3.0245607694215915e-05,0.0002964124653916859,4.2408567976770503e-17,1.0718422677191697e-16,,0.40348499490170053,0.051768232061489235,0.1944789477449831,0.002860951974632542
advection_diffusion_seed3,0.07006296508985689,0.12047725532953545,0.0009745072028471568,2.7269713367651754e-05,0.0003648540936140887,4.0980131614520856e-17,1.2355567957644808e-16,,0.41383814265138663,0.06509421623660845,0.1968160551688385,0.07006289820218951,0.12047725532953545,0.0009767284893851065,2.8024256717275413e-05,0.0003708017086335121,4.0980131614520856e-17,1.2355567957644808e-16,,0.41383822298492995,0.06537250502918426,0.1968160551688385,0.00361482045583017
translation_growth_grid49,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.972873964466847e-17,4.4408920985006264e-17,,0.2032601952947101,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.972873964466847e-17,4.4408920985006264e-17,,0.2032601952947101,0.0,0.0,0.0
translation_growth_grid81,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.57424476947214e-17,4.85722573273506e-17,,0.20328481186924607,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.57424476947214e-17,4.85722573273506e-17,,0.20328481186924607,0.0,0.0,0.0
