t,date,leaves,births,deaths,common_leaves,induced_hierarchy_changed,reference_order_legal,projected_interval_conflict_pairs,tau,budget,global_qp_gap,boundary_features
0,1999-11-17 00:00:00,5,5,0,0,,True,2,0.838057220690132,1.838057220690132,0.0,4
1,1999-11-17 12:00:00,4,0,1,4,False,True,2,1.2515327077035892,2.251532707703589,3.865352482534945e-12,3
2,1999-11-18 00:00:00,6,4,2,2,,False,1,2.184089460044561,3.184089460044561,1.1368683772161603e-13,2
3,1999-11-18 12:00:00,7,5,4,2,,False,0,3.9789726696797203,4.97897266967972,0.0007559516956234802,3
4,1999-11-19 00:00:00,5,2,4,3,False,False,0,4.986010502766646,5.986010502766646,0.00022222069344479678,3
5,1999-11-19 12:00:00,3,0,2,3,False,True,0,0.0,1.0,2.746506311268604e-08,2
6,1999-11-20 00:00:00,2,0,1,2,,True,1,0.0,1.0,8.336617156601278e-06,2
7,1999-11-20 12:00:00,3,1,0,2,,True,0,0.0,1.0,1.6977902532744338e-06,2
8,1999-11-21 00:00:00,4,2,1,2,,False,0,6.826621853725584,7.826621853725584,5.684341886080801e-13,2
9,1999-11-21 12:00:00,5,1,0,4,True,True,0,0.0,1.0,3.611381771406741e-07,3
10,1999-11-22 00:00:00,4,2,3,2,,False,1,1.2856355075383163,2.2856355075383163,0.0,1
11,1999-11-22 12:00:00,5,3,2,2,,False,0,12.787492369230339,13.787492369230339,0.0,3
12,1999-11-23 00:00:00,5,0,0,5,True,False,0,8.889088876640614,9.889088876640614,1.1769820503104711e-05,4
13,1999-11-23 12:00:00,4,0,1,4,False,True,0,0.0,1.0,1.9650804006232647e-07,4
14,1999-11-24 00:00:00,5,2,1,3,False,True,0,0.0,1.0,3.5033735912293196e-09,2
15,1999-11-24 12:00:00,3,0,2,3,True,True,0,0.0,1.0,5.325557935975667e-06,3
16,1999-11-25 00:00:00,5,2,0,3,False,False,0,1.0210371488934165,2.0210371488934165,3.8919097278267145e-06,5
17,1999-11-25 12:00:00,6,1,0,5,False,True,0,0.0,1.0,0.00026508223072596593,6
18,1999-11-26 00:00:00,6,0,0,6,True,False,1,0.5081542923500493,1.5081542923500493,3.787818059208803e-09,6
19,1999-11-26 12:00:00,6,1,1,5,True,False,1,7.766792169699144,8.766792169699144,0.00021807069356327702,5
20,1999-11-27 00:00:00,5,1,2,4,True,True,1,0.5909191205392474,1.5909191205392474,2.6156158128287643e-07,5
21,1999-11-27 12:00:00,5,1,1,4,False,False,0,15.46462346587164,16.46462346587164,3.2087032195704523e-06,5
22,1999-11-28 00:00:00,6,1,0,5,True,False,0,6.9119239996932365,7.9119239996932365,2.994213673446211e-05,5
23,1999-11-28 12:00:00,6,1,1,5,False,False,0,5.497221807385586,6.497221807385586,2.1253131535559078e-05,5
24,1999-11-29 00:00:00,5,1,2,4,False,False,0,4.373595449388688,5.373595449388688,0.0,4
25,1999-11-29 12:00:00,5,1,1,4,False,False,0,15.069435907953377,16.069435907953377,1.9751041691051796e-08,4
26,1999-11-30 00:00:00,5,0,0,5,True,False,0,18.094116827588522,19.094116827588522,4.59116176898533e-05,5
27,1999-11-30 12:00:00,5,1,1,4,False,False,0,19.914140597985053,20.914140597985053,0.0,4
28,1999-12-01 00:00:00,6,2,1,4,False,False,0,31.91220730978555,32.91220730978555,1.4032391845830716e-05,6
29,1999-12-01 12:00:00,4,0,2,4,True,False,1,16.899396501463414,17.899396501463414,2.2737367544323206e-11,4
30,1999-12-02 00:00:00,5,1,0,4,True,True,2,0.0,1.0,1.311819914917578e-07,3
31,1999-12-02 12:00:00,5,1,1,4,False,True,0,0.0,1.0,8.992628863779828e-09,5
32,1999-12-03 00:00:00,6,2,1,4,False,False,0,3.406752300582724,4.406752300582724,2.786691766232252e-09,5
33,1999-12-03 12:00:00,4,1,3,3,False,True,0,0.0,1.0,2.453633442200953e-06,3
34,1999-12-04 00:00:00,4,0,0,4,True,True,0,0.0,1.0,0.0,3
35,1999-12-04 12:00:00,6,2,0,4,False,False,0,14.389133219553244,15.389133219553244,0.0,5
36,1999-12-05 00:00:00,6,0,0,6,True,False,1,18.050412025086025,19.050412025086025,0.0,6
37,1999-12-05 12:00:00,8,3,1,5,False,False,1,14.127243385923933,15.127243385923933,2.9346870178414974e-06,6
38,1999-12-06 00:00:00,6,2,4,4,False,False,0,2.483255015982209,3.483255015982209,2.6598014528644853e-06,4
39,1999-12-06 12:00:00,11,5,0,6,True,False,2,5.026880739330181,6.026880739330181,0.0007420303377330129,7
40,1999-12-07 00:00:00,6,1,6,5,True,False,1,8.959288089511375,9.959288089511375,1.937759634529357e-05,4
41,1999-12-07 12:00:00,5,1,2,4,False,False,1,3.1989677405070296,4.19896774050703,0.000771767179003291,2
42,1999-12-08 00:00:00,4,0,1,4,False,False,1,5.502032985352457,6.502032985352457,0.0,4
43,1999-12-08 12:00:00,3,0,1,3,False,True,0,0.0,1.0,0.0,2
44,1999-12-09 00:00:00,3,0,0,3,False,True,1,0.37470011251733126,1.3747001125173313,0.0,2
45,1999-12-09 12:00:00,6,3,0,3,False,False,0,3.1062151758179652,4.106215175817965,2.229628535133088e-07,5
46,1999-12-10 00:00:00,5,2,3,3,False,True,0,0.0,1.0,6.794881778660056e-05,4
47,1999-12-10 12:00:00,5,1,1,4,False,False,0,3.9103966142017015,4.9103966142017015,1.1683726711453346e-05,4
48,1999-12-11 00:00:00,5,1,1,4,False,False,0,6.707353164634938,7.707353164634938,4.630870762412087e-07,2
49,1999-12-11 12:00:00,6,2,1,4,False,False,0,11.306768157921464,12.306768157921464,0.0007867493038702378,4
50,1999-12-12 00:00:00,6,2,2,4,False,False,0,11.556080057198322,12.556080057198322,1.1281590559519827e-05,3
51,1999-12-12 12:00:00,4,0,2,4,False,True,0,0.0,1.0,1.001142095446994e-06,3
52,1999-12-13 00:00:00,4,0,0,4,False,True,0,0.0,1.0,2.842170943040401e-14,3
53,1999-12-13 12:00:00,5,1,0,4,True,True,0,0.0,1.0,5.737418007356609e-07,2
54,1999-12-14 00:00:00,3,0,2,3,False,True,0,0.0,1.0,3.682482230260575e-08,2
55,1999-12-14 12:00:00,3,1,1,2,,True,0,0.0,1.0,0.0,1
56,1999-12-15 00:00:00,5,3,1,2,,True,0,0.0,1.0,0.0,5
57,1999-12-15 12:00:00,7,3,1,4,True,True,2,0.3860258864727797,1.3860258864727797,0.0003050420509680407,5
58,1999-12-16 00:00:00,4,0,3,4,True,False,1,1.6059002369739943,2.6059002369739943,0.0,3
59,1999-12-16 12:00:00,5,1,0,4,False,False,0,12.78519744419279,13.78519744419279,0.0,5
60,1999-12-17 00:00:00,6,1,0,5,False,False,1,15.017985631536362,16.017985631536362,3.1161614970187657e-05,5
61,1999-12-17 12:00:00,6,1,1,5,False,False,1,13.964814120801591,14.964814120801591,2.7001635544365854e-05,6
62,1999-12-18 00:00:00,5,0,1,5,False,False,1,11.472182553944819,12.472182553944819,1.1591409020184074e-05,5
63,1999-12-18 12:00:00,7,2,0,5,False,False,1,17.024628306802384,18.024628306802384,3.685596288960369e-05,6
64,1999-12-19 00:00:00,5,0,2,5,True,False,1,5.327349507324072,6.327349507324072,9.937823961081449e-06,5
65,1999-12-19 12:00:00,5,0,0,5,True,False,1,0.5115941572719009,1.511594157271901,6.987504548305878e-07,5
66,1999-12-20 00:00:00,4,0,1,4,False,True,0,0.0,1.0,0.0,3
67,1999-12-20 12:00:00,4,0,0,4,True,False,0,6.678007099728845,7.678007099728845,4.5834804041078314e-07,4
68,1999-12-21 00:00:00,5,2,1,3,False,False,0,8.545331809342926,9.545331809342926,0.0,3
69,1999-12-21 12:00:00,5,0,0,5,True,False,0,9.554431268093936,10.554431268093936,1.8751916286419146e-06,4
70,1999-12-22 00:00:00,5,0,0,5,False,False,1,8.291703940225531,9.291703940225531,0.0,5
71,1999-12-22 12:00:00,6,2,1,4,True,False,0,5.744751637414765,6.744751637414765,1.4138996675683302e-05,5
72,1999-12-23 00:00:00,5,1,2,4,False,False,1,6.050526274404945,7.050526274404945,1.5316527424147353e-07,4
73,1999-12-23 12:00:00,5,1,1,4,True,True,0,0.0,1.0,7.496826128772227e-07,2
74,1999-12-24 00:00:00,6,4,3,2,,False,0,11.868741000429718,12.868741000429718,8.617063031124417e-06,4
75,1999-12-24 12:00:00,5,1,2,4,False,False,1,9.579216970067055,10.579216970067055,2.4019020656851353e-06,4
76,1999-12-25 00:00:00,5,1,1,4,False,False,0,6.875441003429859,7.875441003429859,1.8764098967949394e-06,2
77,1999-12-25 12:00:00,4,1,2,3,False,False,0,4.421535213302249,5.421535213302249,4.909043127554469e-08,2
78,1999-12-26 00:00:00,4,1,1,3,False,False,0,3.8708626238594874,4.870862623859487,0.0,2
79,1999-12-26 12:00:00,1,0,3,1,,True,0,0.0,1.0,7.105427357601002e-15,1
80,1999-12-27 00:00:00,2,1,0,1,,True,0,0.0,1.0,5.116589818499051e-09,2
81,1999-12-27 12:00:00,4,2,0,2,,True,0,0.0,1.0,0.0,1
82,1999-12-28 00:00:00,4,3,3,1,,True,0,0.0,1.0,9.5843306127108e-06,1
83,1999-12-28 12:00:00,4,1,1,3,False,True,0,0.0,1.0,8.681333696358706e-07,2
84,1999-12-29 00:00:00,4,1,1,3,False,False,0,10.007769805516418,11.007769805516418,0.0,1
85,1999-12-29 12:00:00,3,1,2,2,,False,0,5.065296147086009,6.065296147086009,0.0,2
86,1999-12-30 00:00:00,4,2,1,2,,False,0,9.385137858174964,10.385137858174964,0.0,3
87,1999-12-30 12:00:00,4,1,1,3,False,False,1,13.729320515527867,14.729320515527867,1.5962768884492107e-07,4
88,1999-12-31 00:00:00,4,0,0,4,False,False,1,21.401986397773257,22.401986397773257,6.409209163393825e-09,4
89,1999-12-31 12:00:00,5,1,0,4,True,False,2,5.259524034552541,6.259524034552541,0.0,4
90,2000-01-01 00:00:00,5,0,0,5,False,False,1,1.6080819089290515,2.6080819089290515,0.00031138399822339125,5
91,2000-01-01 12:00:00,4,0,1,4,False,True,0,0.0,1.0,0.0001500158749649927,4
92,2000-01-02 00:00:00,6,2,0,4,False,False,1,9.094350408481194,10.094350408481194,3.3560213523742277e-06,5
93,2000-01-02 12:00:00,7,2,1,5,False,False,0,10.835439490593473,11.835439490593473,5.3640918849851005e-05,5
94,2000-01-03 00:00:00,6,1,2,5,False,False,0,11.30167348789979,12.30167348789979,4.249741937201179e-05,4
95,2000-01-03 12:00:00,6,2,2,4,False,False,0,10.765044902752635,11.765044902752635,2.7064875212090556e-06,5
96,2000-01-04 00:00:00,4,0,2,4,False,False,0,4.894996463728031,5.894996463728031,5.978165290798643e-06,4
97,2000-01-04 12:00:00,7,3,0,4,False,False,0,4.7497755882093635,5.7497755882093635,1.9400140445213765e-06,5
98,2000-01-05 00:00:00,5,1,3,4,False,False,0,2.55711550615365,3.55711550615365,2.064269551738107e-05,5
99,2000-01-05 12:00:00,3,1,3,2,,False,0,3.0439990627828166,4.043999062782817,7.275957614183426e-12,3
100,2000-01-06 00:00:00,4,2,1,2,,False,0,4.5631829945750155,5.5631829945750155,3.263380676798988e-08,4
101,2000-01-06 12:00:00,4,1,1,3,False,False,0,7.636441074646967,8.636441074646967,6.42212464754266e-05,4
102,2000-01-07 00:00:00,4,0,0,4,False,False,0,4.0462747035802025,5.0462747035802025,7.054775323922513e-07,4
103,2000-01-07 12:00:00,4,1,1,3,True,False,0,3.035424152271794,4.035424152271794,0.0,3
104,2000-01-08 00:00:00,4,1,1,3,True,True,0,0.0,1.0,2.5996843248776713e-05,3
105,2000-01-08 12:00:00,4,0,0,4,True,True,1,0.0,1.0,0.0,3
106,2000-01-09 00:00:00,6,2,0,4,False,False,3,3.2030488734706424,4.203048873470642,0.0,4
107,2000-01-09 12:00:00,7,2,1,5,True,False,0,12.47427551589793,13.47427551589793,1.8540498331276467e-05,6
108,2000-01-10 00:00:00,8,2,1,6,False,False,0,18.37787680201035,19.37787680201035,6.821210263296962e-13,5
109,2000-01-10 12:00:00,5,0,3,5,False,False,1,18.177965223569117,19.177965223569117,2.4590385692135897e-06,5
110,2000-01-11 00:00:00,5,1,1,4,True,False,0,12.108866273208339,13.108866273208339,3.0352227895491524e-06,5
111,2000-01-11 12:00:00,5,0,0,5,False,False,0,15.927587427932544,16.927587427932544,4.547473508864641e-13,5
112,2000-01-12 00:00:00,6,2,1,4,False,False,1,20.16795969706032,21.16795969706032,0.0,5
113,2000-01-12 12:00:00,5,1,2,4,False,False,0,18.541460934443133,19.541460934443133,2.249747467431007e-06,5
114,2000-01-13 00:00:00,5,1,1,4,True,True,1,1.0692445021211938,2.069244502121194,3.060648850805592e-06,5
115,2000-01-13 12:00:00,6,1,0,5,True,False,0,12.119897573221337,13.119897573221337,0.009004780636814758,5
116,2000-01-14 00:00:00,6,2,2,4,True,False,0,8.300536879453382,9.300536879453382,3.5983809993922478e-06,3
117,2000-01-14 12:00:00,5,2,3,3,False,False,0,14.213104477295595,15.213104477295595,5.442035057967587e-05,2
