calibration,baseline,metric,blocks,ra_better_blocks,ties,baseline_minus_ra_mean,block_bootstrap_low,block_bootstrap_high
native,TMTM,reference_nmae,9,9,0,0.208639849985903,0.184863848939253,0.23095077326372196
native,TMTM,motion_step_nmae,9,9,0,0.04602675363890995,0.03390243033618006,0.058835545469471555
native,TMTM,growth_step_log_mae,9,1,8,6.612379130444395e-06,2.4247121655355726e-17,1.983713739127649e-05
native,TMTM,trajectory_nmae,9,9,0,0.14787842397472906,0.11274932440935735,0.18563525585605117
native,ST-MTM,reference_nmae,9,9,0,0.6455531369432117,0.35362804006221665,0.9354939628936635
native,ST-MTM,motion_step_nmae,9,9,0,0.045251240659568114,0.032906976504387966,0.05755213523880367
native,ST-MTM,growth_step_log_mae,9,9,0,0.4978568465431821,0.3643002271952377,0.675045742164085
native,ST-MTM,trajectory_nmae,9,9,0,0.12553640019532128,0.08889330642581873,0.1599032762746396
first_frame_affine,TMTM,reference_nmae,9,9,0,0.15867451674712435,0.14204399061034328,0.17535027403454442
first_frame_affine,TMTM,motion_step_nmae,9,6,0,0.00012079120061981215,-0.010255054592183822,0.008779958400269449
first_frame_affine,TMTM,growth_step_log_mae,9,1,8,6.6123791304558535e-06,3.0917774586850653e-17,1.983713739128824e-05
first_frame_affine,TMTM,trajectory_nmae,9,9,0,0.08444346714997268,0.06510585315002858,0.10900358890584746
first_frame_affine,ST-MTM,reference_nmae,9,9,0,0.1599636485057307,0.1448845708015814,0.17564526133384237
first_frame_affine,ST-MTM,motion_step_nmae,9,6,0,-0.00048104635412344666,-0.01058890191289722,0.008485274249038648
first_frame_affine,ST-MTM,growth_step_log_mae,9,9,0,0.49785684654318213,0.3641781236824412,0.6832129622644663
first_frame_affine,ST-MTM,trajectory_nmae,9,9,0,0.08328516791337025,0.06320940396718429,0.10822564438127966
