method,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,seconds,affine_scale,affine_shift
TMTM,native,False,0.0,False,0.25677402229502133,0.08445046725536386,0.1897846075814166,1.8978582470737009e-06,3.560511839601523e-06,0.5258624839984994,439,439,0,582,582,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.0,False,0.648173084105875,0.08339792255014696,0.18583477180482064,0.42272857361207183,0.47305209700933526,0.29998130069281365,439,439,0,582,582,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.0,False,0.04496948984765975,0.03543639577901753,0.049369439407327756,4.752510078718237e-17,8.33853404178937e-17,0.5268194496967181,439,439,0,582,582,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.0,True,0.19486613170230194,0.05426415682562744,0.11643297446991004,8.025987282186027e-17,3.560511839601523e-06,0.6082874164413788,45,45,0,582,136,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.0,True,0.6186620956056549,0.06581082367259079,0.10240997625098175,0.42972954663464397,0.47305209700933526,0.22000918205397516,45,45,0,582,136,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.0,True,0.0367277339321031,0.026511949526165285,0.028520740191616954,3.5234161267617813e-17,8.33853404178937e-17,0.399885073604523,45,45,0,582,136,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.1,False,0.25677402229502133,0.08201966135117691,0.18895672015290554,1.096262855909974e-06,3.560511839601523e-06,0.5258624839984994,380,380,0,582,582,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.1,False,0.648173084105875,0.08001792264166353,0.1874230350007541,0.3665796781584803,0.47305209700933526,0.29998130069281365,380,380,0,582,582,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.1,False,0.04496948984765975,0.03578284559433029,0.05059379480202894,5.022937475308634e-17,8.33853404178937e-17,0.5268194496967181,380,380,0,582,582,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.1,True,0.19486613170230194,0.055203293017678706,0.1304663737206,8.415887034881767e-17,3.560511839601523e-06,0.6082874164413788,35,35,0,582,136,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.1,True,0.6186620956056549,0.0677889243787133,0.10662132576786862,0.349229790172961,0.47305209700933526,0.22000918205397516,35,35,0,582,136,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.1,True,0.0367277339321031,0.025839905527628177,0.029338853841355254,4.530106448693719e-17,8.33853404178937e-17,0.399885073604523,35,35,0,582,136,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.25,False,0.25677402229502133,0.07212831557988873,0.18836142602899855,1.3438060814182457e-06,3.560511839601523e-06,0.5258624839984994,310,310,0,582,582,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.25,False,0.648173084105875,0.07900325077572562,0.19250875500180167,0.3609662752841508,0.47305209700933526,0.29998130069281365,310,310,0,582,582,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.25,False,0.04496948984765975,0.03665841308105452,0.053302646888377166,5.02901931567857e-17,8.33853404178937e-17,0.5268194496967181,310,310,0,582,582,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.25,True,0.19486613170230194,0.052181648837178504,0.14051657172586635,8.720928020137949e-17,3.560511839601523e-06,0.6082874164413788,22,22,0,582,136,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.25,True,0.6186620956056549,0.07419484719520203,0.10904260950134903,0.32120034502982037,0.47305209700933526,0.22000918205397516,22,22,0,582,136,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.25,True,0.0367277339321031,0.02774552899029153,0.03001372776319412,6.197693873262593e-17,8.33853404178937e-17,0.399885073604523,22,22,0,582,136,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.5,False,0.25677402229502133,0.061277343396586505,0.17101825518302394,2.042058260933774e-06,3.560511839601523e-06,0.5258624839984994,204,204,0,582,582,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.5,False,0.648173084105875,0.08903285575889706,0.20794688885039278,0.3501488944316656,0.47305209700933526,0.29998130069281365,204,204,0,582,582,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.5,False,0.04496948984765975,0.036458341531293986,0.05468834472737041,4.408238480129298e-17,8.33853404178937e-17,0.5268194496967181,204,204,0,582,582,118,3.2075513750314713,1.0,0.0
TMTM,native,False,0.5,True,0.19486613170230194,0.03683990457253504,0.13446106562269516,7.60124286746201e-17,3.560511839601523e-06,0.6082874164413788,11,11,0,582,136,118,1.5420839579310268,1.0,0.0
ST-MTM,native,False,0.5,True,0.6186620956056549,0.09967839876491533,0.15802536785553747,0.27818209545259465,0.47305209700933526,0.22000918205397516,11,11,0,582,136,118,1.5653767079347745,1.0,0.0
RA-MTM,native,False,0.5,True,0.0367277339321031,0.03813121990510409,0.03994479705320152,6.591949208711867e-17,8.33853404178937e-17,0.399885073604523,11,11,0,582,136,118,3.2075513750314713,1.0,0.0
