dataset,method,iou_min,interior_only,matched_pairs,motion_2d_nmae
era5,TMTM,0.0,False,439,0.06672770554465753
era5,TMTM,0.25,False,310,0.055641356803526935
era5,TMTM,0.5,False,204,0.04645546564949754
era5,TMTM,0.0,True,45,0.04429458921522787
era5,ST-MTM,0.0,False,439,0.06535339514220896
era5,ST-MTM,0.25,False,310,0.060102828760544215
era5,ST-MTM,0.5,False,204,0.06548871556329504
era5,ST-MTM,0.0,True,45,0.050950611942146236
era5,X-only RA-MTM,0.0,False,439,0.03481770357843934
era5,X-only RA-MTM,0.25,False,310,0.031979159754235896
era5,X-only RA-MTM,0.5,False,204,0.029738633495730464
era5,X-only RA-MTM,0.0,True,45,0.026525722278224858
era5,Dual-Reference RA-MTM,0.0,False,439,0.03194182713692035
era5,Dual-Reference RA-MTM,0.25,False,310,0.03215221764669583
era5,Dual-Reference RA-MTM,0.5,False,204,0.03305416559532533
era5,Dual-Reference RA-MTM,0.0,True,45,0.023920342436109843
