dataset,method,iou_min,interior_only,matched_pairs,motion_2d_nmae
ring,TMTM,0.0,False,146,0.021434186105962025
ring,TMTM,0.25,False,141,0.01862077693538133
ring,TMTM,0.5,False,127,0.01461215320787364
ring,TMTM,0.0,True,71,0.016813679054311862
ring,ST-MTM,0.0,False,146,0.03040728896165906
ring,ST-MTM,0.25,False,141,0.027176390230653366
ring,ST-MTM,0.5,False,127,0.020825903862897423
ring,ST-MTM,0.0,True,71,0.023096496366238322
ring,X-only RA-MTM,0.0,False,146,0.022217397036010472
ring,X-only RA-MTM,0.25,False,141,0.02093182743647843
ring,X-only RA-MTM,0.5,False,127,0.017792910522011957
ring,X-only RA-MTM,0.0,True,71,0.020892567398439834
ring,Dual-Reference RA-MTM,0.0,False,146,0.017545737605299535
ring,Dual-Reference RA-MTM,0.25,False,141,0.018022385569229287
ring,Dual-Reference RA-MTM,0.5,False,127,0.01695304696720965
ring,Dual-Reference RA-MTM,0.0,True,71,0.017155198434353394
