readout,baseline,metric,dual_lower,tie,dual_higher
initial_y_oracle,TMTM,position_2d_nrmse,24,0,1
initial_y_oracle,TMTM,trajectory_2d_nmae,21,3,1
initial_y_oracle,ST-MTM,position_2d_nrmse,24,0,1
initial_y_oracle,ST-MTM,trajectory_2d_nmae,21,3,1
initial_y_oracle,X-only RA-MTM,position_2d_nrmse,10,1,14
initial_y_oracle,X-only RA-MTM,trajectory_2d_nmae,14,3,8
first_frame_2d_affine,TMTM,position_2d_nrmse,23,0,2
first_frame_2d_affine,TMTM,trajectory_2d_nmae,21,3,1
first_frame_2d_affine,ST-MTM,position_2d_nrmse,23,0,2
first_frame_2d_affine,ST-MTM,trajectory_2d_nmae,18,3,4
first_frame_2d_affine,X-only RA-MTM,position_2d_nrmse,23,0,2
first_frame_2d_affine,X-only RA-MTM,trajectory_2d_nmae,17,3,5
