scene,t,axis,tau,budget,achieved,global_gap
pure_x,0,x,0.0,1.0,1.0,5.514959212860049e-05
pure_x,1,x,0.0,1.0,1.0,5.072055998311953e-05
pure_x,2,x,0.0,1.0,1.0,5.58794875047397e-05
pure_x,3,x,0.0,1.0,1.0,5.27574533890629e-05
pure_x,4,x,0.0,1.0,1.0,5.109950396331442e-05
pure_x,5,x,0.0,1.0,1.0,5.5089460374802e-05
pure_x,6,x,0.0,1.0,1.0,5.3962587344358326e-05
pure_x,7,x,0.0,1.0,1.0,5.2207325438757834e-05
pure_x,8,x,0.0,1.0,1.0,5.275636816293172e-05
pure_x,9,x,0.0,1.0,1.0,5.321486408149667e-05
pure_x,10,x,0.0,1.0,1.0,5.366112122828781e-05
pure_x,11,x,0.0,1.0,1.0,5.153494170428985e-05
pure_x,12,x,0.0,1.0,1.0,5.2923845672125935e-05
pure_x,13,x,0.0,1.0,1.0,5.395238005689862e-05
pure_x,14,x,0.0,1.0,1.0,4.927232407681004e-05
pure_x,15,x,0.0,1.0,1.0,5.4373492261561296e-05
pure_x,16,x,0.0,1.0,1.0,5.366962787434204e-05
pure_x,17,x,0.0,1.0,1.0,4.833043115581859e-05
pure_x,18,x,0.0,1.0,1.0,5.5472753032859146e-05
pure_x,19,x,0.0,1.0,1.0,5.3523019261092486e-05
pure_x,20,x,0.0,1.0,1.0,4.8995336214829877e-05
pure_x,0,y,0.0,1.0,1.0,0.00010657505896460862
pure_x,1,y,0.0,1.0,1.0,8.904859680569643e-05
pure_x,2,y,0.0,1.0,1.0,9.533092276114985e-05
pure_x,3,y,0.0,1.0,1.0,9.827907399539981e-05
pure_x,4,y,0.0,1.0,1.0,8.844303692967515e-05
pure_x,5,y,0.0,1.0,1.0,9.38483955224001e-05
pure_x,6,y,0.0,1.0,1.0,9.857872169050097e-05
pure_x,7,y,0.0,1.0,1.0,9.135150486372368e-05
pure_x,8,y,0.0,1.0,1.0,9.233742736114436e-05
pure_x,9,y,0.0,1.0,1.0,9.792838727662456e-05
pure_x,10,y,0.0,1.0,1.0,9.5092764297533e-05
pure_x,11,y,0.0,1.0,1.0,8.925893871492008e-05
pure_x,12,y,0.0,1.0,1.0,9.296558954474676e-05
pure_x,13,y,0.0,1.0,1.0,9.635740292424089e-05
pure_x,14,y,0.0,1.0,1.0,8.400199021707522e-05
pure_x,15,y,0.0,1.0,1.0,9.413126190338517e-05
pure_x,16,y,0.0,1.0,1.0,9.54817163574262e-05
pure_x,17,y,0.0,1.0,1.0,8.037293184770533e-05
pure_x,18,y,0.0,1.0,1.0,9.569644021212298e-05
pure_x,19,y,0.0,1.0,1.0,9.340211403241483e-05
pure_x,20,y,0.0,1.0,1.0,8.197597912840138e-05
pure_y,0,x,0.0,1.0,1.0,5.514959212860049e-05
pure_y,1,x,0.0,1.0,1.0,5.3259162541507976e-05
pure_y,2,x,0.0,1.0,1.0,5.482637639886434e-05
pure_y,3,x,0.0,1.0,1.0,5.27090812880715e-05
pure_y,4,x,0.0,1.0,1.0,5.2972455321764755e-05
pure_y,5,x,0.0,1.0,1.0,5.4008203164812585e-05
pure_y,6,x,0.0,1.0,1.0,5.390061838284055e-05
pure_y,7,x,0.0,1.0,1.0,5.144365461262623e-05
pure_y,8,x,0.0,1.0,1.0,5.290034670224486e-05
pure_y,9,x,0.0,1.0,1.0,5.437853214118604e-05
pure_y,10,x,0.0,1.0,1.0,5.104805413225222e-05
pure_y,11,x,0.0,1.0,1.0,5.257269374681073e-05
pure_y,12,x,0.0,1.0,1.0,5.430459745525695e-05
pure_y,13,x,0.0,1.0,1.0,5.1466754058537845e-05
pure_y,14,x,0.0,1.0,1.0,5.204256281388098e-05
pure_y,15,x,0.0,1.0,1.0,5.589588818111224e-05
pure_y,16,x,0.0,1.0,1.0,5.1391792013077975e-05
pure_y,17,x,0.0,1.0,1.0,5.304171313014194e-05
pure_y,18,x,0.0,1.0,1.0,5.6270002588121315e-05
pure_y,19,x,0.0,1.0,1.0,5.217003777602258e-05
pure_y,20,x,0.0,1.0,1.0,5.432040798325488e-05
pure_y,0,y,0.0,1.0,1.0,0.00010657505896460862
pure_y,1,y,0.0,1.0,1.0,9.710456890843489e-05
pure_y,2,y,0.0,1.0,1.0,9.849763148395141e-05
pure_y,3,y,0.0,1.0,1.0,9.653227391481778e-05
pure_y,4,y,0.0,1.0,1.0,9.62934818744543e-05
pure_y,5,y,0.0,1.0,1.0,9.739786759155322e-05
pure_y,6,y,0.0,1.0,1.0,9.741478288560756e-05
pure_y,7,y,0.0,1.0,1.0,9.512566089142638e-05
pure_y,8,y,0.0,1.0,1.0,9.619229274449026e-05
pure_y,9,y,0.0,1.0,1.0,9.680735121264661e-05
pure_y,10,y,0.0,1.0,1.0,9.68455672705204e-05
pure_y,11,y,0.0,1.0,1.0,9.741392187834208e-05
pure_y,12,y,0.0,1.0,1.0,9.66054303717101e-05
pure_y,13,y,0.0,1.0,1.0,9.665236791533971e-05
pure_y,14,y,0.0,1.0,1.0,9.656709369210148e-05
pure_y,15,y,0.0,1.0,1.0,9.809408589944724e-05
pure_y,16,y,0.0,1.0,1.0,9.684161602763197e-05
pure_y,17,y,0.0,1.0,1.0,9.784489839148591e-05
pure_y,18,y,0.0,1.0,1.0,9.694017973060909e-05
pure_y,19,y,0.0,1.0,1.0,9.767423625817173e-05
pure_y,20,y,0.0,1.0,1.0,9.916529728570822e-05
diagonal,0,x,0.0,1.0,1.0,5.514959212860049e-05
diagonal,1,x,0.0,1.0,1.0,4.927897234097145e-05
diagonal,2,x,0.0,1.0,1.0,4.9855120579422874e-05
diagonal,3,x,0.0,1.0,1.0,5.343809387170495e-05
diagonal,4,x,0.0,1.0,1.0,5.405345828535246e-05
diagonal,5,x,0.0,1.0,1.0,5.607703424459487e-05
