scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
pure_x,TMTM,initial_y_oracle,0.10159147749975148,0.09332175725331647,0.13197545768901575,0.00047289015297275356,0.23033384176155514,0.0012744522169416681,0.0036076661315819904,0.0028186372017133523,0.037870115177200174,1.636679994072362,60,2,60,0.12
pure_x,ST-MTM,initial_y_oracle,0.06022244396421073,0.05321680094856762,0.07524009590564078,0.00047289015297275356,0.13741157058830172,0.0012744522169416681,0.003597247429545206,0.0031508404804646175,0.03783093360167064,2.039528710890759,60,18,60,0.12
pure_x,X-only RA-MTM,initial_y_oracle,0.005926598080005316,0.0059256186754246465,0.00835228014769907,0.00047289015297275356,0.008541348249391718,0.0012744522169416681,0.00030551626724905745,0.00012507314109140127,0.00040220735645615276,0.06617482343952094,60,0,60,0.12
pure_x,Dual-Reference RA-MTM,dual_native,0.008346953703169561,0.008346158261777733,0.00835228014769907,0.008338848938655464,0.008541348249391718,0.00849890846360528,0.0001670796858677356,0.00012761122742250422,0.00016430738953594076,0.022459051512570508,60,0,60,0.12
pure_y,TMTM,initial_y_oracle,0.10138839651146792,0.09371193326663402,0.11503040153650695,0.04978070053790339,0.172159554356072,0.09674556045054045,0.0037179436872733767,0.0028997148189159466,0.03698532871957398,1.6998840720947654,60,3,60,0.12
pure_y,ST-MTM,initial_y_oracle,0.05957864165383606,0.056961435767008156,0.05730833332590877,0.04978070053790339,0.08501933592815192,0.09674556045054045,0.0035736461450333137,0.003176950522442138,0.03697393283016345,1.9842941939843333,60,19,60,0.12
pure_y,X-only RA-MTM,initial_y_oracle,0.041613832290819726,0.036232014186867854,0.00833557920627892,0.04978070053790339,0.008558846094171511,0.09674556045054045,0.003525569752382876,0.0030160949035356386,0.03696103558613943,1.650778541937618,60,9,60,0.12
pure_y,Dual-Reference RA-MTM,dual_native,0.008342760565307049,0.008342256565404643,0.00833557920627892,0.00834736502410846,0.008558846094171511,0.008537042100352821,0.00018721575596251195,0.00011978706975263297,0.00018488023341147443,0.03470013745786533,60,0,60,0.12
diagonal,TMTM,initial_y_oracle,0.10522908062760662,0.09754370025164451,0.13185429782436717,0.03325135624212025,0.22995448625274897,0.06485549368621567,0.004407159798771781,0.0037163524931645943,0.04520114648863915,1.6820049339814414,60,4,60,0.12
diagonal,ST-MTM,initial_y_oracle,0.0661916785097136,0.061135180791066786,0.07514844525547176,0.03325135624212025,0.13711926343463066,0.06485549368621567,0.00439867697977847,0.00397170441665701,0.04515149971832408,2.1143277611167273,60,21,60,0.12
