scene,method,t,topology,hierarchy
pure_x,TMTM,0,True,True
pure_x,TMTM,1,True,True
pure_x,TMTM,2,True,True
pure_x,TMTM,3,True,True
pure_x,TMTM,4,True,True
pure_x,TMTM,5,True,True
pure_x,TMTM,6,True,True
pure_x,TMTM,7,True,True
pure_x,TMTM,8,True,True
pure_x,TMTM,9,True,True
pure_x,TMTM,10,True,True
pure_x,TMTM,11,True,True
pure_x,TMTM,12,True,True
pure_x,TMTM,13,True,True
pure_x,TMTM,14,True,True
pure_x,TMTM,15,True,True
pure_x,TMTM,16,True,True
pure_x,TMTM,17,True,True
pure_x,TMTM,18,True,True
pure_x,TMTM,19,True,True
pure_x,TMTM,20,True,True
pure_x,ST-MTM,0,True,True
pure_x,ST-MTM,1,True,True
pure_x,ST-MTM,2,True,True
pure_x,ST-MTM,3,True,True
pure_x,ST-MTM,4,True,True
pure_x,ST-MTM,5,True,True
pure_x,ST-MTM,6,True,True
pure_x,ST-MTM,7,True,True
pure_x,ST-MTM,8,True,True
pure_x,ST-MTM,9,True,True
pure_x,ST-MTM,10,True,True
pure_x,ST-MTM,11,True,True
pure_x,ST-MTM,12,True,True
pure_x,ST-MTM,13,True,True
pure_x,ST-MTM,14,True,True
pure_x,ST-MTM,15,True,True
pure_x,ST-MTM,16,True,True
pure_x,ST-MTM,17,True,True
pure_x,ST-MTM,18,True,True
pure_x,ST-MTM,19,True,True
pure_x,ST-MTM,20,True,True
pure_x,X-only RA-MTM,0,True,True
pure_x,X-only RA-MTM,1,True,True
pure_x,X-only RA-MTM,2,True,True
pure_x,X-only RA-MTM,3,True,True
pure_x,X-only RA-MTM,4,True,True
pure_x,X-only RA-MTM,5,True,True
pure_x,X-only RA-MTM,6,True,True
pure_x,X-only RA-MTM,7,True,True
pure_x,X-only RA-MTM,8,True,True
pure_x,X-only RA-MTM,9,True,True
pure_x,X-only RA-MTM,10,True,True
pure_x,X-only RA-MTM,11,True,True
pure_x,X-only RA-MTM,12,True,True
pure_x,X-only RA-MTM,13,True,True
pure_x,X-only RA-MTM,14,True,True
pure_x,X-only RA-MTM,15,True,True
pure_x,X-only RA-MTM,16,True,True
pure_x,X-only RA-MTM,17,True,True
pure_x,X-only RA-MTM,18,True,True
pure_x,X-only RA-MTM,19,True,True
pure_x,X-only RA-MTM,20,True,True
pure_x,Dual-X,0,True,True
pure_x,Dual-X,1,True,True
pure_x,Dual-X,2,True,True
pure_x,Dual-X,3,True,True
pure_x,Dual-X,4,True,True
pure_x,Dual-X,5,True,True
pure_x,Dual-X,6,True,True
pure_x,Dual-X,7,True,True
