method,target,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
TMTM,centroid,0.22762042767245327,0.1920367138539347,0.25677402229502133,0.04744493810866345,0.606598641977384,0.17453371508607612,0.06672770554465753,0.05137506796764271,0.14942973507077809,1.5540861677757691,439,1,439,0.12
ST-MTM,centroid,0.6008732803985534,0.46613460093432874,0.6481730841058749,0.04744493810866345,1.698796425695993,0.17453371508607612,0.06535339514220896,0.043912089856739715,0.14687972240807837,1.5587055340044385,439,2,439,0.12
X-only RA-MTM,centroid,0.07727533443681654,0.06270234846949534,0.061408459732903986,0.04744493810866345,0.1406697363251625,0.17453371508607612,0.04168805405092853,0.02930977239196132,0.07576868088523432,1.1461805197973844,439,7,439,0.12
RA-MTM,centroid,0.06660274819775432,0.05489102384913769,0.061408459732903986,0.03520789352561202,0.1406697363251625,0.10108504834477434,0.04627234421108991,0.03178375326789083,0.06459148193957946,1.0326691335170697,439,2,439,0.12
X-only centroid RA,centroid,0.06812658749261562,0.0538828022086612,0.044969489847659756,0.04744493810866345,0.12447097588343778,0.17453371508607612,0.03481770357843934,0.024573052838985667,0.06338557242588999,0.9875261785840546,439,0,439,0.12
Dual centroid RA,centroid,0.048036012275336756,0.038280355055752516,0.044969489847659756,0.018462364698112625,0.12447097588343778,0.057320482840136674,0.03194182713692035,0.023179601447932015,0.04456759504741373,0.7390830227048943,439,0,439,0.12
TMTM,extremum,0.24681641426498213,0.20923246191850586,0.2771489770943906,0.05482224527809597,0.6357528678934166,0.20490442868161735,0.06945944012615976,0.055819696793360046,0.16837775640941302,1.5765956706815352,350,1,439,0.12
ST-MTM,extremum,0.6085597557213803,0.4739264141566262,0.6559431978416845,0.05482224527809597,1.7241249615046181,0.20490442868161735,0.06668891701924175,0.048683163817401266,0.15920865862302558,1.5258070561394956,350,2,439,0.12
X-only RA-MTM,extremum,0.08363916954360621,0.06462955330890331,0.053669922381872404,0.05482224527809597,0.14957470365217365,0.20490442868161735,0.03809387001283749,0.029161125253997805,0.07663161995233037,0.9126522634737473,350,3,439,0.12
RA-MTM,extremum,0.05830104073008323,0.04476379644520954,0.053669922381872404,0.019258474857274704,0.14957470365217365,0.06297983205099128,0.03629038592993761,0.028813741618007833,0.054585694050713236,0.6412295700447277,350,0,439,0.12
X-only centroid RA,extremum,0.08974048935565838,0.06854809213742798,0.06225675530490981,0.05482224527809597,0.18087967726684515,0.20490442868161735,0.04358080319827764,0.03206131548909651,0.08406432670620886,1.137566314682148,350,0,439,0.12
Dual centroid RA,extremum,0.07234231305224294,0.056110176597823955,0.06225675530490981,0.03348288304394098,0.18087967726684515,0.12432046789359102,0.047403941964400245,0.03360533638327727,0.07288494754943117,0.9631622739423845,350,0,439,0.12
