repetition,method,layout_render_validation_seconds
0,TMTM,0.7140377920586616
0,ST-MTM,0.808216750039719
0,X-only RA-MTM,1.7176145419944078
0,Dual-Y,1.6603880840120837
0,Centroid-X,1.7791126250522211
0,Centroid-Y,1.59505483310204
1,ST-MTM,0.7524484999012202
1,X-only RA-MTM,1.6067137920763344
1,Dual-Y,1.5833961250027642
1,Centroid-X,1.5725998330162838
1,Centroid-Y,1.5024115000851452
1,TMTM,0.706146040931344
2,X-only RA-MTM,1.6315882919589058
2,Dual-Y,1.5520391669124365
2,Centroid-X,1.5489892499754205
2,Centroid-Y,1.543757624924183
2,TMTM,0.695058541954495
2,ST-MTM,0.7412534579634666
