t,kind,order,SNS,TW1,TW3,sse,passes_guard
0,tmtm,"(np.int64(0),)",0.0,,,0.0,True
0,free,"(0,)",0.0,,,0.0,True
0,same_history,"(0,)",0.0,,,0.0,True
1,tmtm,"(np.int64(0),)",0.0,,,0.0,True
1,free,"(0,)",0.0,,,0.0,True
1,same_history,"(0,)",0.0,,,0.0,True
2,tmtm,"(np.int64(0),)",0.0,,,0.0,True
2,free,"(0,)",0.0,,,0.0,True
2,same_history,"(0,)",0.0,,,0.0,True
3,tmtm,"(np.int64(0),)",0.0,,,0.0,True
3,free,"(0,)",0.0,,,0.0,True
3,same_history,"(0,)",0.0,,,0.0,True
4,tmtm,"(np.int64(0),)",0.0,,,0.0,True
4,free,"(0,)",0.0,,,0.0,True
4,same_history,"(0,)",0.0,,,0.0,True
5,tmtm,"(np.int64(0),)",0.0,,,0.0,True
5,free,"(0,)",0.0,,,0.0,True
5,same_history,"(0,)",0.0,,,0.0,True
6,tmtm,"(np.int64(0),)",0.0,,,0.0,True
6,free,"(0,)",0.0,,,0.0,True
6,same_history,"(0,)",0.0,,,0.0,True
7,tmtm,"(np.int64(0),)",0.0,,,0.0,True
7,free,"(0,)",0.0,,,0.0,True
7,same_history,"(0,)",0.0,,,0.0,True
8,tmtm,"(np.int64(0), np.int64(1))",0.0,,,845.467455621302,False
8,tmtm,"(np.int64(1), np.int64(0))",0.0,,,845.467455621302,False
8,free,"(0, 1)",0.0,,,2.0194839173657902e-28,True
8,free,"(1, 0)",0.0,,,2.0194839173657902e-28,True
8,same_history,"(0, 1)",0.0,,,0.0,True
8,same_history,"(1, 0)",0.0,,,0.0,True
9,tmtm,"(np.int64(0), np.int64(1))",0.0,,,511.4556213017749,False
9,tmtm,"(np.int64(1), np.int64(0))",0.0,,,511.4556213017749,False
9,free,"(0, 1)",0.0,,,1.135959703518257e-28,True
9,free,"(1, 0)",0.0,,,1.135959703518257e-28,True
9,same_history,"(0, 1)",1.7412897042592793e-32,,,5.32544378698226,True
9,same_history,"(1, 0)",0.0,,,644.378698224852,False
10,tmtm,"(np.int64(0), np.int64(1))",0.0,,,631.7583323142144,False
10,tmtm,"(np.int64(1), np.int64(0))",1.355089264015003e-32,,,687.0545948454544,False
10,free,"(0, 1)",0.0,,,2.0194839173657902e-28,True
10,free,"(1, 0)",0.0,,,2.0194839173657902e-28,True
10,same_history,"(0, 1)",1.355089264015003e-32,,,0.3050113184567878,True
