t,leaves,orders,ST_SNS,tmtm_best_SNS,free_best_SNS,same_history_best_SNS,relaxed_SNS_infimum,tmtm_guard_count,guard_count,unique_guard_orders
0,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
1,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
3,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
4,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
5,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
6,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
7,1,1,0.0,0.0,0.0,0.0,0.0,1,3,1
8,2,2,0.0,0.0,0.0,0.0,0.0,0,5,2
9,2,2,1.7412897042592793e-32,0.0,0.0,0.0,0.0,0,4,2
10,2,2,1.355089264015003e-32,0.0,0.0,1.355089264015003e-32,0.0,0,4,2
11,3,4,0.0944138099001871,0.13763070061618785,0.08782931024012247,0.0944138099001871,0.0878293102401225,0,4,2
12,2,2,0.0,0.0,0.0,0.0,0.0,0,4,2
13,2,2,0.0,0.0,0.0,0.0,0.0,0,4,2
14,3,4,0.052665533208765714,0.05545012766879447,0.052513226323173096,0.052665533208765714,0.052513226323173096,0,4,2
15,5,16,0.17883858201297728,0.18523856988039794,0.1780652267976362,0.17883858201297728,0.1780652267976362,0,4,2
16,5,16,0.17810276092218466,0.18523856988039797,0.17806522679763617,0.17810276092218466,0.17806522679763623,0,4,2
17,4,8,0.18697070984341144,0.11215372441817682,0.11163797294002947,0.18697070984341144,0.11163797294002949,0,8,6
18,4,8,0.14582914734064747,0.11822667358522009,0.11433758849710393,0.14582914734064747,0.11433758849710392,0,4,2
19,5,16,0.1489217666770891,0.14489643212070982,0.13280879104321128,0.1489217666770891,0.1328087910432113,0,4,2
20,6,32,0.19143083121142848,0.18216534029445416,0.18114407245168093,0.18506980668656683,0.18114407245168096,0,11,8
21,5,16,0.18624138472423088,0.19217997729387848,0.18598008953285985,0.18624138472423088,0.18598008953285985,0,4,2
22,6,32,0.0964785651409966,0.09915122873919789,0.07171284638632838,0.0964785651409966,0.07171284638632835,0,4,2
23,7,64,0.08092748664616277,0.10393068504949543,0.08035531122254887,0.08092748664616277,0.08035531122254888,0,4,2
24,6,32,0.06364991079352335,0.07659052909253058,0.06324847504636538,0.06364991079352335,0.0632484750463654,0,4,2
25,5,16,0.06020873493272994,0.06797360692334485,0.05972954318152284,0.06020873493272994,0.05972954318152283,0,2,1
26,6,32,0.07365207966016911,0.08001378227365578,0.07350801579670145,0.07365207966016911,0.07350801579670144,0,4,2
27,6,32,0.0765344316513265,0.08454836370042879,0.07650122048886679,0.0765344316513265,0.07650122048886678,0,4,2
28,5,16,0.057536782948378724,0.06721992610753787,0.05559358336368681,0.057536782948378724,0.055593583363686805,0,4,2
29,5,16,0.05569723380374912,0.07548373457685721,0.05559358336368681,0.05569723380374912,0.055593583363686805,0,4,2
30,6,32,0.04837874296824108,0.10922147783743492,0.04825054062850422,0.04837874296824108,0.04825054062850425,0,4,2
31,6,32,0.0666072880267002,0.10855056214855731,0.06647840191738169,0.0666072880267002,0.0664784019173817,0,4,2
32,6,32,0.07217354179001058,0.13498414276971354,0.07201184256921746,0.07217354179001058,0.07201184256921747,0,4,2
33,6,32,0.07272305440344567,0.12458470285881557,0.07262768122721014,0.07272305440344567,0.07262768122721017,0,4,2
34,7,64,0.06747813290341194,0.1595086006468255,0.06733104311953943,0.06747813290341194,0.0673310431195394,0,4,2
35,6,32,0.0729331486391527,0.1613716280433354,0.07239605002894829,0.0729331486391527,0.0723960500289483,0,4,2
36,6,32,0.055689553324770553,0.11134162062600537,0.055643900488153986,0.055689553324770553,0.055643900488153986,0,4,2
37,5,16,0.06518118996995265,0.15075361250057548,0.06512919714942023,0.06518118996995265,0.06512919714942021,0,4,2
38,6,32,0.05924107862958804,0.2006178204422731,0.0589188477019644,0.05924107862958804,0.05891884770196438,0,4,2
39,7,64,0.06611517170961594,0.21284858348281188,0.06604194398516254,0.06611517170961594,0.06604194398516254,0,4,2
