t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
0,"(0,)",0.0,0.0,0.0,0.0
1,"(0,)",0.0,0.0,0.0,0.0
2,"(0,)",0.0,0.0,0.0,0.0
3,"(0,)",0.0,0.0,0.0,0.0
4,"(0,)",0.0,0.0,0.0,0.0
5,"(0,)",0.0,0.0,0.0,0.0
6,"(0,)",0.0,0.0,0.0,0.0
7,"(0,)",0.0,0.0,0.0,0.0
8,"(0, 1)",0.0,0.0,0.0,0.0
8,"(1, 0)",0.0,0.0,0.0,0.0
9,"(0, 1)",0.0,0.0,0.0,0.0
9,"(1, 0)",0.0,0.0,0.0,0.0
10,"(0, 1)",0.0,0.0,0.0,0.0
10,"(1, 0)",0.0,0.0,0.0,0.0
11,"(0, 2, 1)",1.9671127766683155e-16,0.0,623.616536388007,0.19553097337583158
11,"(1, 0, 2)",1.9671127766683155e-16,2.881758645985475e-16,280.1183326593255,0.0878293102401225
11,"(1, 2, 0)",2.9506691650024733e-16,0.0,623.616536388007,0.19553097337583158
11,"(2, 0, 1)",1.9671127766683155e-16,2.1613189844891058e-16,280.1183326593256,0.08782931024012251
12,"(0, 1)",0.0,0.0,0.0,0.0
12,"(1, 0)",0.0,0.0,0.0,0.0
13,"(0, 1)",0.0,0.0,0.0,0.0
13,"(1, 0)",0.0,0.0,0.0,0.0
14,"(0, 1, 2)",0.0,1.4561222054939122e-16,409.7126264061388,0.07388708428719479
14,"(0, 2, 1)",1.4561222054939122e-16,0.0,291.1920545449917,0.052513226323173096
14,"(1, 2, 0)",1.0799988511694307e-16,0.0,291.19205454499183,0.052513226323173096
14,"(2, 1, 0)",0.0,1.1073960736538175e-16,409.7126264061388,0.0738870842871948
15,"(0, 1, 2, 3, 4)",1.2594004567653793e-16,4.798470423314963e-16,4508.91360630463,0.20790308836229462
15,"(0, 1, 2, 4, 3)",4.798470423314963e-16,6.597896832058073e-16,3861.8027766786754,0.1780652267976362
15,"(1, 0, 2, 3, 4)",1.2594004567653793e-16,4.798470423314963e-16,4822.002249117729,0.22233940306146893
15,"(1, 0, 2, 4, 3)",3.1721141299546147e-16,2.3992352116574815e-16,4174.891419491774,0.19250154149681054
15,"(2, 0, 1, 3, 4)",2.734192338253778e-16,3.2811523256100613e-16,6141.674550248628,0.28318863881698636
15,"(2, 0, 1, 4, 3)",3.598852817486222e-16,3.329475583628108e-16,5494.563720622675,0.2533507772523279
15,"(2, 1, 0, 3, 4)",6.597896832058073e-16,1.2059643842042767e-16,5311.204122004283,0.2448961848244909
15,"(2, 1, 0, 4, 3)",1.3818650407843417e-16,1.799426408743111e-16,4664.093292378331,0.21505832325983243
15,"(3, 4, 0, 1, 2)",3.454662601960857e-16,7.197705634972444e-16,4664.09329237833,0.21505832325983246
15,"(3, 4, 1, 0, 2)",4.280572042249278e-16,2.6635787984497827e-16,5494.563720622675,0.2533507772523279
