scene,mode,t,feature,q,x,width,true_measure
translation,Full,0,0,22.099999999999998,22.100002486210563,4.68,78
translation,Full,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
translation,Full,0,2,59.199999999999996,59.20000914035453,5.46,91
translation,Full,1,0,23.099999999999998,23.100000355172934,4.68,78
translation,Full,1,1,39.199999999999996,39.19999833906213,4.859999999999999,81
translation,Full,1,2,60.19999999999999,60.20000130576492,5.46,91
translation,Full,2,0,24.099999999999998,24.100000050738984,4.68,78
translation,Full,2,1,40.199999999999996,40.19999976272316,4.859999999999999,81
translation,Full,2,2,61.19999999999999,61.200000186537835,5.46,91
translation,Full,3,0,25.099999999999998,25.100000007248422,4.68,78
translation,Full,3,1,41.199999999999996,41.199999966103306,4.859999999999999,81
translation,Full,3,2,62.19999999999999,62.200000026648254,5.46,91
translation,Full,4,0,26.099999999999998,26.100000001035493,4.68,78
translation,Full,4,1,42.199999999999996,42.19999999515762,4.859999999999999,81
translation,Full,4,2,63.199999999999996,63.20000000380689,5.46,91
translation,Full,5,0,27.1,27.100000000147936,4.68,78
translation,Full,5,1,43.199999999999996,43.19999999930823,4.859999999999999,81
translation,Full,5,2,64.2,64.20000000054385,5.46,91
translation,Full,6,0,28.1,28.10000000002114,4.68,78
translation,Full,6,1,44.199999999999996,44.19999999990118,4.859999999999999,81
translation,Full,6,2,65.2,65.2000000000777,5.46,91
translation,Full,7,0,29.1,29.10000000000302,4.68,78
translation,Full,7,1,45.199999999999996,45.199999999985884,4.859999999999999,81
translation,Full,7,2,66.2,66.2000000000111,5.46,91
translation,Full,8,0,30.1,30.10000000000044,4.68,78
translation,Full,8,1,46.199999999999996,46.199999999997985,4.859999999999999,81
translation,Full,8,2,67.2,67.2000000000016,5.46,91
translation,Full,9,0,31.1,31.100000000000072,4.68,78
translation,Full,9,1,47.199999999999996,47.19999999999972,4.859999999999999,81
translation,Full,9,2,68.2,68.20000000000024,5.46,91
translation,Full,10,0,32.1,32.10000000000003,4.68,78
translation,Full,10,1,48.199999999999996,48.199999999999974,4.859999999999999,81
translation,Full,10,2,69.2,69.20000000000005,5.46,91
translation,Full,11,0,33.099999999999994,33.10000000000001,4.68,78
translation,Full,11,1,49.199999999999996,49.2,4.859999999999999,81
translation,Full,11,2,70.2,70.20000000000002,5.46,91
translation,Full,12,0,34.1,34.10000000000002,4.68,78
translation,Full,12,1,50.199999999999996,50.20000000000002,4.859999999999999,81
translation,Full,12,2,71.2,71.20000000000003,5.46,91
translation,RelativeWidth,0,0,22.099999999999998,22.100002486210563,4.68,78
translation,RelativeWidth,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
translation,RelativeWidth,0,2,59.199999999999996,59.20000914035453,5.46,91
translation,RelativeWidth,1,0,23.099999999999998,23.100000355172934,4.68,78
translation,RelativeWidth,1,1,39.199999999999996,39.19999833906213,4.859999999999999,81
translation,RelativeWidth,1,2,60.19999999999999,60.20000130576492,5.46,91
translation,RelativeWidth,2,0,24.099999999999998,24.100000050738984,4.68,78
translation,RelativeWidth,2,1,40.199999999999996,40.19999976272316,4.859999999999999,81
translation,RelativeWidth,2,2,61.19999999999999,61.200000186537835,5.46,91
translation,RelativeWidth,3,0,25.099999999999998,25.100000007248422,4.68,78
