rho,extra_budget,motion_weight,scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds
0.0,0.0,0.0,translation,Budget,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.02095112500000007
0.0,0.0,0.5,translation,Budget,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.01903079200000002
0.0,0.0,2.0,translation,Budget,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.018658417000000038
0.0,1.0,0.0,translation,Budget,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,-1.0,0.018543292000000045
0.0,1.0,0.5,translation,Budget,defined,13,5.192427684400732e-14,1.342136278657967e-14,1.342136278657967e-14,0.0,4.3113308996502e-15,1.4377364220675954e-29,,0,0.0,0.0,0.0,-0.9999999999998437,0.021622083999999986
0.0,1.0,2.0,translation,Budget,defined,13,1.2753331154668465e-14,2.3684757858670005e-15,2.3684757858670005e-15,0.0,8.783184140454677e-16,8.64951507536357e-32,,0,0.0,0.0,0.0,-0.9999999999999716,0.019518166999999975
0.0,3.0,0.0,translation,Budget,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,-3.0,0.02023733299999997
0.0,3.0,0.5,translation,Budget,defined,13,1.2206759819468387e-14,3.157967714489334e-15,3.157967714489334e-15,0.0,6.508398174782352e-16,9.444335379586173e-32,,0,0.0,0.0,0.0,-2.9999999999999716,0.022494040999999965
0.0,3.0,2.0,translation,Budget,defined,13,1.2844426377201811e-14,3.552713678800501e-15,3.552713678800501e-15,0.0,1.056419052932885e-15,3.964750694004491e-31,,0,0.0,0.0,0.0,-2.9999999999999716,0.02113954099999993
0.5,0.0,0.0,translation,Budget,defined,13,0.0,0.0,7.894919286223335e-16,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.024049333000000006
0.5,0.0,0.5,translation,Budget,defined,13,0.0,0.0,7.894919286223335e-16,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.022238583000000034
0.5,0.0,2.0,translation,Budget,defined,13,0.0,0.0,9.86864910777917e-16,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.024576875000000054
0.5,1.0,0.0,translation,Budget,defined,13,7.751043400871502e-06,8.881784197001252e-16,3.0592812234115426e-15,0.0,5.700081028117507e-07,2.767414908054734e-13,,0,0.0,0.00027957763313679607,0.0,-0.9999883734348955,0.03895770899999995
0.5,1.0,0.5,translation,Budget,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.03661274999999997
0.5,1.0,2.0,translation,Budget,defined,13,4.5777419520786036e-05,7.98155783036473e-06,5.5125203737935477e-05,0.0,9.599999494344936e-07,7.87067290567487e-13,,0,0.0,0.0007792646001973935,0.0,-0.9998880136957666,0.031461249999999996
0.5,3.0,0.0,translation,Budget,defined,13,7.75104340068931e-06,1.282924384011292e-15,4.243519116345043e-15,0.0,5.70008102795645e-07,2.7674149078767866e-13,,0,0.0,0.0002795776331439015,0.0,-2.9999883734348955,0.03527612499999999
0.5,3.0,0.5,translation,Budget,defined,13,1.7320302006304735e-06,7.735272289366435e-07,1.674019230386076e-05,0.0,1.596476595483319e-07,2.170644962531228e-14,,0,0.0,0.00027957763313679607,0.0,-2.9999883734349027,0.04171950000000013
0.5,3.0,2.0,translation,Budget,defined,13,1.4101654088541147e-06,6.764723364188146e-07,1.6727927722608944e-05,0.0,1.7275357561298452e-07,2.5310556803676782e-14,,0,0.0,0.00027957763313679607,0.0,-2.9999883734349027,0.04392287500000003
1.0,0.0,0.0,translation,Budget,defined,13,0.0,0.0,3.9474596431116675e-16,0.0,0.0,0.0,,0,0.0,1.0658141036401503e-14,0.0,0.0,0.020962374999999867
1.0,0.0,0.5,translation,Budget,defined,13,0.0,0.0,3.9474596431116675e-16,0.0,0.0,0.0,,0,0.0,1.0658141036401503e-14,0.0,0.0,0.021809750000000072
1.0,0.0,2.0,translation,Budget,defined,13,0.0,0.0,5.921189464667501e-16,0.0,0.0,0.0,,0,0.0,1.0658141036401503e-14,0.0,0.0,0.022045624999999847
1.0,1.0,0.0,translation,Budget,defined,13,1.3208873397456518e-05,1.973729821555834e-15,6.908054375445418e-15,0.0,1.033654211832657e-06,7.81767463636745e-13,,0,0.0,0.0005718696284873204,0.0,-0.9999801866898963,0.03474729199999982
1.0,1.0,0.5,translation,Budget,defined,13,1.1854117166384033e-06,1.1007394502055629e-06,3.289652374722291e-05,0.0,2.896549961000408e-07,6.138879236700986e-14,,0,0.0,0.0005718696284517932,0.0,-0.9999801866899034,0.03642583300000002
1.0,1.0,2.0,translation,Budget,defined,13,1.6934339469160548e-06,1.1007209816208767e-06,3.2896505278835595e-05,0.0,3.1279799413494847e-07,7.159043492619574e-14,,0,0.0,0.0005718696284517932,0.0,-0.9999801866899034,0.03420450000000019
1.0,3.0,0.0,translation,Budget,defined,13,1.3208873397183232e-05,9.86864910777917e-16,3.947459643111668e-15,0.0,1.0336542118192642e-06,7.817674635937636e-13,,0,0.0,0.0005718696284660041,0.0,-2.9999801866899034,0.03606733400000017
1.0,3.0,0.5,translation,Budget,defined,13,1.185411715271975e-06,1.100739449810817e-06,3.289652374722291e-05,0.0,2.8965499609416896e-07,6.138879236711419e-14,,0,0.0,0.0005718696284517932,0.0,-2.9999801866899034,0.03452420899999997
1.0,3.0,2.0,translation,Budget,defined,13,1.6934339430900554e-06,1.1007209822129955e-06,3.289650527982246e-05,0.0,3.127979941286529e-07,7.159043492154815e-14,,0,0.0,0.0005718696284517932,0.0,-2.9999801866899034,0.03285262500000008
0.0,0.0,0.0,topology_change,Budget,defined,11,4.266335439695781,0.030462435216048966,0.030462435216048966,2.0185873175002847e-17,0.1339679786004291,0.017926110326458935,0.4603837895866931,0,0.0,0.0,7.002762148337595,1.4210854715202004e-14,0.1499311670000001
0.0,0.0,0.5,topology_change,Budget,defined,11,4.266349810401001,0.03039933078542143,0.03039933078542143,2.0185873175002847e-17,0.13396800273663936,0.01792610225672011,0.460383789586686,0,0.0,0.0,7.002762148337595,7.105427357601002e-15,0.052924957999999744
0.0,0.0,2.0,topology_change,Budget,defined,11,4.266418454921913,0.030158547700893656,0.030158547700893656,2.0185873175002847e-17,0.13396831486698438,0.01792612864275744,0.460383789586686,0,0.0,0.0,7.002762148337595,1.4210854715202004e-14,0.04769083299999988
0.0,1.0,0.0,topology_change,Budget,defined,11,4.266335368557436,0.027883652224135514,0.027883652224135514,2.0185873175002847e-17,0.1339679786004289,0.017926110365871124,0.5271660153845019,0,0.0,0.0,7.002762148337595,-0.8853318544703015,0.03255562500000009
0.0,1.0,0.5,topology_change,Budget,defined,11,4.266349624481802,0.027865779314014016,0.027865779314014016,2.0185873175002847e-17,0.1339679850311128,0.01792610240242448,0.5268492157694453,0,0.0,0.0,7.002762148337595,-0.8856486540853581,0.032566500000000165
0.0,1.0,2.0,topology_change,Budget,defined,11,4.2664182612856685,0.02780474201866303,0.02780474201866303,2.0185873175002847e-17,0.13396807344927994,0.017926079949389693,0.5258615245751059,0,0.0,0.0,7.002762148337595,-0.8866363452796975,0.03145687499999994
0.0,3.0,0.0,topology_change,Budget,defined,11,4.266335245249493,0.027883584359325208,0.027883584359325208,2.0185873175002847e-17,0.13396797860043083,0.017926110428514223,0.5271647192318909,0,0.0,0.0,7.002762148337595,-2.8853318906505265,0.03215591699999987
0.0,3.0,0.5,topology_change,Budget,defined,11,4.266349561395907,0.027865716795080164,0.027865716795080164,2.0185873175002847e-17,0.1339679850307101,0.017926102431098614,0.5268484760009216,0,0.0,0.0,7.002762148337595,-2.885648133881496,0.032257791999999785
0.0,3.0,2.0,topology_change,Budget,defined,11,4.2664182164534985,0.027804661349232696,0.027804661349232696,2.0185873175002847e-17,0.1339680734476233,0.01792607996552143,0.525865688328004,0,0.0,0.0,7.002762148337595,-2.8866309215544135,0.03910729200000018
0.5,0.0,0.0,topology_change,Budget,defined,11,3.6042909399583283,0.03191164738297392,0.03288925946519115,2.0185873175002847e-17,0.12635510827194169,0.015971983322497826,0.40548199385157346,0,0.0,1.4849999999999994,5.675262148337595,1.4210854715202004e-14,0.3537311249999999
0.5,0.0,0.5,topology_change,Budget,defined,11,3.6043042611905007,0.03184857258270313,0.03280396213951997,2.0185873175002847e-17,0.1263551338492974,0.015971991960072283,0.40548199385156636,0,0.0,1.4849999999999994,5.675262148337595,7.105427357601002e-15,0.053150291999999766
0.5,0.0,2.0,topology_change,Budget,defined,11,3.604372600818275,0.03160801962940703,0.0325634370898765,2.0185873175002847e-17,0.12635546469915906,0.015972079006764027,0.40548199385156636,0,0.0,1.4849999999999994,5.675262148337595,1.4210854715202004e-14,0.1983370830000002
0.5,1.0,0.0,topology_change,Budget,defined,11,3.628475931571938,0.03496506377405044,0.029366333856071146,2.0185873175002847e-17,0.12633768619592267,0.015967417410702747,0.41291602644012215,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.044501541000000255
0.5,1.0,0.5,topology_change,Budget,defined,11,3.6292711254365404,0.03491786132845291,0.029343400836456545,2.0185873175002847e-17,0.12633813279272305,0.015967533020046287,0.4132084593730667,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.047488207999999865
0.5,1.0,2.0,topology_change,Budget,defined,11,3.631544822119099,0.03481948994692745,0.030033022560714783,2.0185873175002847e-17,0.12633985984723273,0.015967974960818934,0.4147545109328732,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.051391874999999754
0.5,3.0,0.0,topology_change,Budget,defined,11,3.6284760638087645,0.03496516009988415,0.029365858665930045,2.0185873175002847e-17,0.12633768617864533,0.01596741739940795,0.4129157497271123,0,0.0,1.4849999999999994,5.675262148337595,-2.754802336731025,0.04598091699999962
0.5,3.0,0.5,topology_change,Budget,defined,11,3.629271081454823,0.03491785938758172,0.029342982899525173,2.0185873175002847e-17,0.12633813280713196,0.015967533024589795,0.41321164962548806,0,0.0,1.4849999999999994,5.675262148337595,-2.754802336731025,0.0499564170000002
0.5,3.0,2.0,topology_change,Budget,defined,11,3.6315449124081365,0.03481952650062645,0.030032702160508774,2.0185873175002847e-17,0.1263398598317347,0.01596797495313323,0.41475474559351966,0,0.0,1.4849999999999994,5.675262148337595,-2.754802336731025,0.08239149999999995
1.0,0.0,0.0,topology_change,Budget,defined,11,2.9422445282613565,0.03786156832783281,0.037905105900615424,2.0185873175002847e-17,0.13314068992618486,0.017740241754489162,0.45798199385156124,0,0.0,2.970000000000006,4.347762148337594,0.0,0.055735250000000125
1.0,0.0,0.5,topology_change,Budget,defined,11,2.942258768087309,0.037798519345413874,0.037842040128862206,2.0185873175002847e-17,0.13314071419110388,0.01774025016964193,0.45798199385156124,0,0.0,2.970000000000006,4.347762148337594,0.0,0.04130887499999991
1.0,0.0,2.0,topology_change,Budget,defined,11,2.9423273930553253,0.03755797130829084,0.037601515325810374,2.0185873175002847e-17,0.13314102815428724,0.017740338973122324,0.45798199385156124,0,0.0,2.970000000000006,4.347762148337594,0.0,0.043758041999999886
1.0,1.0,0.0,topology_change,Budget,defined,11,3.4422444228550693,0.03786154519378062,0.03046263586967708,2.0185873175002847e-17,0.12667176346295875,0.016053514705971685,0.45798199385156124,0,0.0,1.7600003035079226,4.347762148337594,0.0,0.05368137500000003
1.0,1.0,0.5,topology_change,Budget,defined,11,3.442258662262279,0.037798501729322795,0.030399448122302174,2.0185873175002847e-17,0.12667178896480824,0.01605352465571959,0.45798199385156124,0,0.0,1.7600002258579153,4.347762148337594,0.0,0.050461750000000194
1.0,1.0,2.0,topology_change,Budget,defined,11,3.4423273856626633,0.03755796248413246,0.0301590430039675,2.0185873175002847e-17,0.1266721189404456,0.016053617383266838,0.45798199385156124,0,0.0,1.760006902449149,4.347762148337594,0.0,0.048669916999999785
1.0,3.0,0.0,topology_change,Budget,defined,11,3.6028698737247193,0.03609022488556883,0.027883695916275552,2.0185873175002847e-17,0.1262979097707227,0.015957686466102645,0.3517803782265574,0,0.0,1.4722770939822425,4.347762148337594,-1.5098022233339492,0.052421250000000086
1.0,3.0,0.5,topology_change,Budget,defined,11,3.602750600189292,0.035082823124906515,0.02786584250029911,2.0185873175002847e-17,0.12629803085413505,0.015957725139448584,0.3366324480875349,0,0.0,1.4857801122663616,4.347762148337594,-1.5098022233339492,0.05175174999999976
1.0,3.0,2.0,topology_change,Budget,defined,11,3.6031874912842152,0.031708569317448365,0.027805291450119986,2.0185873175002847e-17,0.12630142219124402,0.015958581453122896,0.28806613549691207,0,0.0,1.5186583080521174,4.347762148337594,-1.5098022233339492,0.051150084000000096
0.0,0.0,0.0,crowding,Budget,defined,11,5.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.24373588139683489,1.4627722271815344e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009811416999999878
0.0,0.0,0.5,crowding,Budget,defined,11,5.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.24373588139683489,1.4627722271815344e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009684540999999491
0.0,0.0,2.0,crowding,Budget,defined,11,5.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.24373588139683489,1.4627722271815344e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009228459000000022
0.0,1.0,0.0,crowding,Budget,defined,11,6.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.14363266573353556,1.4632900677439363e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009992916999999935
0.0,1.0,0.5,crowding,Budget,defined,11,6.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.14363266573353556,1.4632900677439363e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009584083000000021
0.0,1.0,2.0,crowding,Budget,defined,11,6.5125757575757595,0.04008333333333312,0.04008333333333312,5.0464682937507114e-17,0.14363266573353556,1.4632900677439363e-32,,0,0.0,0.0,5.712500000000006,0.0,0.009715459000000592
0.0,3.0,0.0,crowding,Budget,defined,11,7.945093138186874,0.06017217914480781,0.06017217914480781,5.0464682937507114e-17,3.392917933106281e-16,3.020779335991472e-33,,0,0.0,0.0,5.712500000000006,-0.4672851820490962,0.011860916999999915
0.0,3.0,0.5,crowding,Budget,defined,11,7.958472970793661,0.05887126346985916,0.05887126346985916,5.0464682937507114e-17,0.0014191081444732015,1.1575900601695233e-32,,0,0.0,0.0,5.712500000000006,-0.4672851820490962,0.01136945899999997
0.0,3.0,2.0,crowding,Budget,defined,11,7.99465092691215,0.054513567597802036,0.054513567597802036,5.0464682937507114e-17,0.0053195344444027706,0.0,,0,0.0,0.0,5.712500000000006,-0.4591793087294107,0.011252542000000254
0.5,0.0,0.0,crowding,Budget,defined,11,1.8634848484848485,0.012333333333332775,0.04008333333333312,5.0464682937507114e-17,0.6093512114513968,5.745954017869805e-33,,0,0.0,3.825000000000003,1.9249999999999972,0.0,0.0122645419999996
0.5,0.0,0.5,crowding,Budget,defined,11,1.8634848484848485,0.012333333333332775,0.04008333333333312,5.0464682937507114e-17,0.6093512114513968,5.745954017869805e-33,,0,0.0,3.825000000000003,1.9249999999999972,0.0,0.012399333999999484
0.5,0.0,2.0,crowding,Budget,defined,11,1.8634848484848485,0.012333333333332775,0.04008333333333312,5.0464682937507114e-17,0.6093512114513968,5.745954017869805e-33,,0,0.0,3.825000000000003,1.9249999999999972,0.0,0.01224420899999945
0.5,1.0,0.0,crowding,Budget,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.014741124999999577
0.5,1.0,0.5,crowding,Budget,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.014763792000000109
0.5,1.0,2.0,crowding,Budget,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.014407792000000086
0.5,3.0,0.0,crowding,Budget,defined,11,4.86348484848485,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.3090513834889228,1.770938469291542e-32,,0,0.0,0.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.015498915999999419
0.5,3.0,0.5,crowding,Budget,defined,11,4.86348484848485,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.3090513834889228,1.770938469291542e-32,,0,0.0,0.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.015025207999999957
0.5,3.0,2.0,crowding,Budget,defined,11,4.86348484848485,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.3090513834889228,1.770938469291542e-32,,0,0.0,0.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.01483037499999984
1.0,0.0,0.0,crowding,Budget,defined,11,0.0,0.0,0.04008333333333347,5.0464682937507114e-17,0.7960457458879988,5.7200061949874075e-33,,0,0.0,5.712500000000006,0.0,0.0,0.014792040999999756
1.0,0.0,0.5,crowding,Budget,defined,11,0.0,0.0,0.04008333333333312,5.0464682937507114e-17,0.7960457458879988,5.7200061949874075e-33,,0,0.0,5.712500000000006,0.0,0.0,0.014281042000000355
