scene,t,tmtm_equal,stmtm_equal,source_leaves,stmtm_leaves
static,0,True,True,3,3
static,1,True,True,3,3
static,2,True,True,3,3
static,3,True,True,3,3
static,4,True,True,3,3
static,5,True,True,3,3
static,6,True,True,3,3
static,7,True,True,3,3
static,8,True,True,3,3
static,9,True,True,3,3
static,10,True,True,3,3
static,11,True,True,3,3
static,12,True,True,3,3
translation,0,True,True,3,3
translation,1,True,True,3,3
translation,2,True,True,3,3
translation,3,True,True,3,3
translation,4,True,True,3,3
translation,5,True,True,3,3
translation,6,True,True,3,3
translation,7,True,True,3,3
translation,8,True,True,3,3
translation,9,True,True,3,3
translation,10,True,True,3,3
translation,11,True,True,3,3
translation,12,True,True,3,3
growth,0,True,True,2,2
growth,1,True,True,2,2
growth,2,True,True,2,2
growth,3,True,True,2,2
growth,4,True,True,2,2
growth,5,True,True,2,2
growth,6,True,True,2,2
growth,7,True,True,2,2
growth,8,True,True,2,2
growth,9,True,True,2,2
growth,10,True,True,2,2
collective_growth,0,True,True,3,3
collective_growth,1,True,True,3,3
collective_growth,2,True,True,3,3
collective_growth,3,True,True,3,3
collective_growth,4,True,True,3,3
collective_growth,5,True,True,3,3
collective_growth,6,True,True,3,3
collective_growth,7,True,True,3,3
collective_growth,8,True,True,3,3
collective_growth,9,True,True,3,3
collective_growth,10,True,True,3,3
translation_growth,0,True,True,3,3
translation_growth,1,True,True,3,3
translation_growth,2,True,True,3,3
translation_growth,3,True,True,3,3
translation_growth,4,True,True,3,3
translation_growth,5,True,True,3,3
translation_growth,6,True,True,3,3
translation_growth,7,True,True,3,3
translation_growth,8,True,True,3,3
translation_growth,9,True,True,3,3
translation_growth,10,True,True,3,3
hierarchy_conflict,0,True,True,4,4
hierarchy_conflict,1,True,True,4,4
hierarchy_conflict,2,True,True,4,4
hierarchy_conflict,3,True,True,4,4
hierarchy_conflict,4,True,True,4,4
hierarchy_conflict,5,True,True,4,4
hierarchy_conflict,6,True,True,4,4
hierarchy_conflict,7,True,True,4,4
hierarchy_conflict,8,True,True,4,4
hierarchy_conflict,9,True,True,4,4
hierarchy_conflict,10,True,True,4,4
topology_change,0,True,True,4,4
topology_change,1,True,True,4,4
topology_change,2,True,True,4,4
topology_change,3,True,True,4,4
topology_change,4,True,True,4,4
topology_change,5,True,True,4,4
topology_change,6,True,True,4,4
topology_change,7,True,True,4,4
topology_change,8,True,True,4,4
topology_change,9,True,True,4,4
topology_change,10,True,True,4,4
crowding,0,True,True,2,2
crowding,1,True,True,2,2
crowding,2,True,True,2,2
crowding,3,True,True,2,2
crowding,4,True,True,2,2
crowding,5,True,True,2,2
crowding,6,True,True,2,2
crowding,7,True,True,2,2
crowding,8,True,True,2,2
crowding,9,True,True,2,2
crowding,10,True,True,2,2
