scale,crowding,method,extra_budget,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max,tau_mean,tau_max,projection_distortion,geometry_lower_bound_nrmse
3.0,0.0,TMTM,,0.09432336948342228,0.14658786893193534,0.034959841792485,0.032010620803255806,0.0035733697385358413,5.571353563678846e-17,3.9638431426070045e-17,,0.7166886545995249,0.5427628844349307,1.2751312579070984,,,0.39554159012284984,
3.0,0.0,ST-MTM,,0.1099735788576341,0.2038333678349587,0.03034947812648816,0.030349478126488163,0.002949112822836966,0.1823776127015102,0.18237761270151015,,0.0014022939686259466,0.41182645578032423,0.8355169602220975,,,0.39554159012284984,
3.0,0.0,RA-MTM,0.0,0.0,0.0,0.0,0.0,0.0,5.1159886512349337e-17,8.248610128269717e-17,,0.39554159012284984,0.0,0.0,0.0,0.0,0.39554159012284984,0.39554159012284984
3.0,0.0,RA-MTM,1.0,0.007094364721649375,0.008333333333333333,8.228548453163675e-05,8.228548453163674e-05,7.847300833993012e-05,5.1159886512349337e-17,8.248610128269717e-17,,0.3727459576889179,0.020482015580027522,0.06666156757113129,0.0,0.0,0.39554159012284984,0.3657600395143719
3.0,0.0,RA-MTM,4.0,0.02376101486149241,0.03333333333333333,8.228568920428792e-05,8.228568920428792e-05,7.844845681266656e-05,5.1159886512349337e-17,8.248610128269717e-17,,0.30543239455261073,0.020479362092581156,0.06666675165120495,0.0,0.0,0.39554159012284984,0.2792387966296506
2.0,0.33333333333333337,TMTM,,0.059055636123709815,0.09491092787940954,0.03192098609833017,0.03182750630008415,0.0031354271820983183,4.76470714734963e-17,4.015884846886308e-17,,0.7458851492276524,0.459468442937163,0.8596199059561158,,,0.5478579493190082,
2.0,0.33333333333333337,ST-MTM,,0.13309102544806162,0.2368958678843861,0.03087264518897301,0.030872645188973015,0.002935812146736224,0.10363351739787942,0.1036335173978794,,0.0008931026014088315,0.4093419686403567,0.745285517356244,,,0.5478579493190082,
2.0,0.33333333333333337,RA-MTM,0.0,0.0,0.0,0.0,0.0,0.0,5.550392321677459e-17,2.324095776939927e-16,,0.5478579493190082,0.0,0.0,0.0,0.0,0.5478579493190082,0.5478579493190082
2.0,0.33333333333333337,RA-MTM,1.0,0.007195605538065885,0.008333333333333333,0.00010269786958360881,0.00010269786958360881,0.0001053921647162406,5.550392321677459e-17,2.324095776939927e-16,,0.5222543901100463,0.02708932681543083,0.09410780848313038,0.0,0.0,0.5478579493190082,0.5143312791133126
2.0,0.33333333333333337,RA-MTM,4.0,0.02386227220489252,0.03333333333333333,0.00010269786957542573,0.00010269786957542573,0.00010539216471276881,5.550392321677459e-17,2.324095776939927e-16,,0.44651052496201654,0.027089326814984816,0.09410780848713785,0.0,0.0,0.5478579493190082,0.41603999860462143
1.5,0.5,TMTM,,0.04278396092601051,0.06631096495475174,0.030729646190423943,0.030729646190423943,0.00292160629151818,3.9544467237787967e-17,4.8051840284557555e-17,,0.7558328402842007,0.4315862065133257,0.9736771468081784,,,0.6433465519946711,
1.5,0.5,ST-MTM,,0.14710599918188447,0.2576054870427523,0.030453446695474413,0.030453446695474413,0.002887034381946264,0.05314729492162077,0.05314729492162072,,0.000601037202775018,0.3919899846875847,0.7926220224654372,,,0.6433465519946711,
