scene,method,frames,reference_nmae,trajectory_nmae,growth_log_mae,distance_nrmse,common_motion_nmae,total_growth_log_mae,reference_p95
gaussian2d_translation,TMTM,21,0.13009680585016042,0.05215364864996234,3.972516759986888e-17,0.7715904801608663,0.052153648649962345,7.144892316679474e-17,0.21905586202110275
gaussian2d_translation,ST-MTM,21,0.06646209049134995,0.05248114233683105,0.0228224941613621,0.03635737208780322,0.05248114233683106,0.02282249416136207,0.1283131732123211
gaussian2d_translation,RA-MTM,21,0.008333333333333333,0.0,3.5908775952719906e-17,0.19751903114922267,0.0,8.649764932089354e-17,0.008333333333333333
gaussian2d_growth,TMTM,21,0.12195956793262086,0.009262479513062517,4.533410683886056e-17,0.7335852611074437,0.005268234459496659,5.134781488891349e-17,0.20278867465218495
gaussian2d_growth,ST-MTM,21,0.05290794586122283,0.007016416073905543,0.32476069720008643,0.036215324901220224,0.0010067888258233591,0.3247606972000864,0.088438598875746
gaussian2d_growth,RA-MTM,21,0.008333333333333333,0.0,5.689893001203927e-17,0.2033444413484118,0.0,4.9960036108132046e-17,0.008333333333333333
gaussian2d_translation_growth,TMTM,21,0.1382788550822526,0.04680959746688109,5.967448757360216e-17,0.7308480328544892,0.04680959746688109,2.6367796834847467e-17,0.22248819306319503
gaussian2d_translation_growth,ST-MTM,21,0.06996995730015071,0.051643088628497306,0.3244577312591267,0.03619930586181604,0.0516430886284973,0.32445773125912664,0.13724262236396834
gaussian2d_translation_growth,RA-MTM,21,0.008333333333333333,0.0,4.5796699765787705e-17,0.20309292121146372,0.0,5.967448757360216e-17,0.008333333333333333
gaussian2d_local_growth,TMTM,21,0.11408058296216805,0.001718883108487787,4.464021744846984e-17,0.7749712428025417,0.000432002095760107,5.950101522600448e-17,0.17245248334183136
gaussian2d_local_growth,ST-MTM,21,0.046678726550696284,0.000492569734850079,0.054948630656003944,0.036365426941675744,0.00034450425412278773,0.05494863065600393,0.07012398511569701
gaussian2d_local_growth,RA-MTM,21,0.008333333333333333,0.0,4.5883435939586546e-17,0.19835930186778392,0.0,7.118871464539822e-17,0.008333333333333333
gaussian2d_hierarchy_change,TMTM,21,0.31246982623937775,0.15711898717739667,5.299580219109146e-17,0.646469109182452,0.013286619630722722,7.355227538141662e-17,0.4490616546288786
gaussian2d_hierarchy_change,ST-MTM,21,0.07774442298519427,0.08998567143249692,0.6079385421020255,0.2460030768356453,0.017589413191328947,0.6079384918076309,0.15483325877403212
gaussian2d_hierarchy_change,RA-MTM,21,0.013768217758578529,0.06785488874301351,5.837344496661956e-17,0.29894022992578534,0.004145360930394589,5.412337245047638e-17,0.04897242262912117
gaussian2d_crowding,TMTM,21,0.030682469682648282,0.029661113791298318,7.172358771715773e-17,0.7629342049940394,0.029661113791298318,6.908536243077635e-17,0.06221238190183178
gaussian2d_crowding,ST-MTM,21,0.1647429974733468,0.03026086126604576,0.02592786272138896,0.00047653760970788235,0.03026086126604576,0.02592786272138898,0.28220870063810993
gaussian2d_crowding,RA-MTM,21,0.007392153057178083,0.0005125827430498751,4.1561083278611e-17,0.7247835862761622,0.00013278999093553837,1.2463988174893358e-16,0.011541399408058773
gaussian2d_advection_diffusion,TMTM,21,0.2214624507743703,0.030671150804810036,4.299945816077511e-17,0.5798682710407316,0.030671150804810036,5.73759789679329e-17,0.4183505313152111
gaussian2d_advection_diffusion,ST-MTM,21,0.1116451373193583,0.03400034114571917,0.02196635815822493,0.3832416194281321,0.03400034114571917,0.021966358168446026,0.17525825699357067
gaussian2d_advection_diffusion,RA-MTM,21,0.06875601134602739,0.0009335129114602384,3.9394485937260806e-17,0.41413002784114006,4.939264681045922e-05,3.9660115469519753e-17,0.11695853910712246
