calibration,baseline,metric,sequences,wins,ties,losses,median_difference,min_difference,max_difference
native,TMTM,reference_nmae,18,18,0,0,-0.12161415145063667,-0.29870160848079924,-0.0232903166254702
native,TMTM,trajectory_nmae,18,18,0,0,-0.032451097065229195,-0.08926409843438315,-0.001718883108487787
native,TMTM,growth_log_mae,18,0,18,0,-3.710681935331638e-18,-3.016250443854673e-17,2.203098814490545e-17
native,TMTM,distance_nrmse,18,18,0,0,-0.35982373424740444,-0.5766119409347578,-0.033926600158796116
native,ST-MTM,reference_nmae,18,18,0,0,-0.061987536135303056,-0.16028978011544956,-0.03834539321736295
native,ST-MTM,trajectory_nmae,18,18,0,0,-0.03205462663375806,-0.06743459717116658,-0.000492569734850079
native,ST-MTM,growth_log_mae,18,18,0,0,-0.048146005196160926,-0.6254464035944589,-0.014481301705460229
native,ST-MTM,distance_nrmse,18,0,0,18,0.1615777669937638,0.019384596184328085,0.7254193932096963
first_frame_affine,TMTM,reference_nmae,18,18,0,0,-0.05217219628918715,-0.2388272657398485,-0.021462646631074906
first_frame_affine,TMTM,trajectory_nmae,18,15,0,3,-0.031237582333861577,-0.05956610232764185,0.017472077386963165
first_frame_affine,TMTM,growth_log_mae,18,0,18,0,-3.292450947295356e-17,-5.551837924574106e-17,1.2576745200831858e-17
first_frame_affine,TMTM,distance_nrmse,18,9,0,9,-0.01838879699534915,-0.5849211061989394,0.06690836227724306
first_frame_affine,ST-MTM,reference_nmae,18,18,0,0,-0.028880182010786026,-0.0793623428821497,-0.009244365186511408
first_frame_affine,ST-MTM,trajectory_nmae,18,16,0,2,-0.032054626633758077,-0.05248114233683107,0.007052344370184704
first_frame_affine,ST-MTM,growth_log_mae,18,18,0,0,-0.048146005196160926,-0.6254464035944589,-0.014481301705460256
first_frame_affine,ST-MTM,distance_nrmse,18,10,0,8,-0.0005440463444672111,-0.0659387010582228,0.023163429844813566
