repetition,method,layout_render_validation_seconds
0,TMTM,0.035027457983233035
0,ST-MTM,0.13268995902035385
0,X-only RA-MTM,0.459639250067994
0,Dual-Y,0.3485525839496404
0,Centroid-X,0.4402443330036476
0,Centroid-Y,0.3308868749300018
1,ST-MTM,0.12026470911223441
1,X-only RA-MTM,0.40488687495235354
1,Dual-Y,0.3443729999708012
1,Centroid-X,0.4278793749399483
1,Centroid-Y,0.3435299169505015
1,TMTM,0.032417124952189624
2,X-only RA-MTM,0.4348367089405656
2,Dual-Y,0.3916442079935223
2,Centroid-X,0.4099790840409696
2,Centroid-Y,0.3360100840218365
2,TMTM,0.03234033298213035
2,ST-MTM,0.12258891703095287
