run,method,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,seconds,affine_scale,affine_shift
daily,TMTM,native,False,0.0,False,0.24672717750566342,0.11316162262929069,0.19931547845651318,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356204,183,183,0,288,288,59,0.6923747500404716,1.0,0.0
daily,TMTM,first_frame_affine,False,0.0,False,0.2045669367973771,0.05057326293341337,0.13077412420687745,1.1138725794789875e-16,1.726049858596923e-16,0.9825675633095122,183,183,0,288,288,59,0.6923747500404716,0.03162758474302146,46.0364021002008
daily,TMTM,native,True,0.0,False,0.24672717750566342,0.11316162262929069,0.19931547845651318,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356204,183,183,0,288,288,59,0.6923747500404716,1.0,0.0
daily,ST-MTM,native,False,0.0,False,0.40512820918005954,0.12019770497479697,0.27393079777613355,0.5402136599308142,0.457340016870888,0.3021009258353032,183,183,0,288,288,59,0.7557833750033751,1.0,0.0
daily,ST-MTM,first_frame_affine,False,0.0,False,0.20619267503724575,0.05024894673715295,0.1312829641518974,0.5402136599308142,0.45734001687088793,0.9852587765842336,183,183,0,288,288,59,0.7557833750033751,0.016343889510882382,46.76298861608887
daily,ST-MTM,native,True,0.0,False,0.40512871979235177,0.12019583331415715,0.2739317761087756,0.5388409262832201,0.45732103901038285,0.30210114161298335,183,183,0,288,288,59,0.7557833750033751,1.0,0.0
daily,RA-MTM,native,False,0.0,False,0.04382598796202635,0.03982313106290426,0.05600631863835651,6.858319316225245e-17,8.242927413434621e-17,0.5308533233909623,183,183,0,288,288,59,1.2865485419752076,1.0,0.0
daily,RA-MTM,first_frame_affine,False,0.0,False,0.04382598796202635,0.03982313106290426,0.05600631863835651,6.858319316225245e-17,8.242927413434621e-17,0.5308533233909623,183,183,0,288,288,59,1.2865485419752076,1.0,0.0
daily,RA-MTM,native,True,0.0,False,0.04382518711846544,0.03982329720302632,0.05601114776867603,0.019985566054356477,0.0016995794164602674,0.5308549540453148,183,183,0,288,288,59,1.2865485419752076,1.0,0.0
six_hour,TMTM,native,False,0.0,False,0.23279612620918838,0.0521199524233189,0.1820044735549682,8.527735624495832e-07,1.7726803627532583e-06,0.5372983050692917,977,977,0,1155,1155,236,3.0587537499377504,1.0,0.0
six_hour,TMTM,first_frame_affine,False,0.0,False,0.20477073105186025,0.02251035103074278,0.12610732048567017,8.52773562461566e-07,1.7726803627945816e-06,0.9827754872682434,977,977,0,1155,1155,236,3.0587537499377504,0.03162758474302146,46.0364021002008
six_hour,TMTM,native,True,0.0,False,0.23279612620918838,0.0521199524233189,0.1820044735549682,8.527735624495832e-07,1.7726803627532583e-06,0.5372983050692917,977,977,0,1155,1155,236,3.0587537499377504,1.0,0.0
six_hour,ST-MTM,native,False,0.0,False,0.36942312890045026,0.06436102042264052,0.22501409702504918,0.29136290835264905,0.46309486929570587,0.3053620623307733,977,977,0,1155,1155,236,3.3284275830956176,1.0,0.0
six_hour,ST-MTM,first_frame_affine,False,0.0,False,0.20558811910723365,0.022355349747710453,0.1266293040230607,0.29136290835264905,0.46309486929570587,0.9852673599614292,977,977,0,1155,1155,236,3.3284275830956176,0.016343889510882382,46.76298861608887
six_hour,ST-MTM,native,True,0.0,False,0.36942299084554037,0.06436096442794834,0.2250135819685159,0.29239238297158954,0.46311249651607916,0.3053620744604736,977,977,0,1155,1155,236,3.3284275830956176,1.0,0.0
six_hour,RA-MTM,native,False,0.0,False,0.04609497736326759,0.030339741772704994,0.04931876390790273,4.803515000751131e-17,8.679522821504382e-17,0.5221390953626808,977,977,0,1155,1155,236,7.102203625021502,1.0,0.0
six_hour,RA-MTM,first_frame_affine,False,0.0,False,0.04609497736326759,0.030339741772704994,0.04931876390790273,4.803515000751131e-17,8.679522821504382e-17,0.5221390953626808,977,977,0,1155,1155,236,7.102203625021502,1.0,0.0
six_hour,RA-MTM,native,True,0.0,False,0.04609463460563777,0.03034268385405423,0.04931988996393702,0.021769861860880684,0.0017442033527520513,0.5221400637715048,977,977,0,1155,1155,236,7.102203625021502,1.0,0.0
sigma200,TMTM,native,False,0.0,False,0.20938583106718442,0.11096298132110556,0.17813774866282647,8.238667201029363e-17,9.78922402908981e-17,0.5298489839518387,205,205,0,332,332,59,0.8318802919238806,1.0,0.0
sigma200,TMTM,first_frame_affine,False,0.0,False,0.1935838576191414,0.050406874932093115,0.10491121536837192,1.062835456500912e-16,1.7054126310378886e-16,0.9801971723430626,205,205,0,332,332,59,0.8318802919238806,0.03616434330791097,60.560668176876334
sigma200,TMTM,native,True,0.0,False,0.20938583106718442,0.11096298132110556,0.17813774866282647,8.238667201029363e-17,9.78922402908981e-17,0.5298489839518387,205,205,0,332,332,59,0.8318802919238806,1.0,0.0
sigma200,ST-MTM,native,False,0.0,False,0.39878888899226944,0.12561109251434868,0.2403086529027611,0.5615906100538721,0.5259920540569883,0.3278212273712631,205,205,0,332,332,59,1.3924778749933466,1.0,0.0
sigma200,ST-MTM,first_frame_affine,False,0.0,False,0.2903564058308562,0.09204603895275036,0.1793353275889918,0.5615906100538721,0.5259920540569883,0.4842918309380851,205,205,0,332,332,59,1.3924778749933466,0.6281632231231795,23.36361339616868
sigma200,ST-MTM,native,True,0.0,False,0.3987885498476075,0.12561088508799395,0.24030912738924523,0.5610405188371362,0.5259396210055653,0.32782114419108194,205,205,0,332,332,59,1.3924778749933466,1.0,0.0
sigma200,RA-MTM,native,False,0.0,False,0.046941970082049804,0.04918536124326548,0.05616398962376294,4.2073390841739927e-17,1.4640467956735295e-16,0.5203412901469321,205,205,0,332,332,59,2.8890029169851914,1.0,0.0
sigma200,RA-MTM,first_frame_affine,False,0.0,False,0.046941970082049804,0.04918536124326548,0.05616398962376294,4.2073390841739927e-17,1.4640467956735295e-16,0.5203412901469321,205,205,0,332,332,59,2.8890029169851914,1.0,0.0
sigma200,RA-MTM,native,True,0.0,False,0.046940764939900445,0.049185655585536156,0.05616282254269829,0.018527170921339594,0.001719647476403119,0.5203446073690202,205,205,0,332,332,59,2.8890029169851914,1.0,0.0
sigma300,TMTM,native,False,0.0,False,0.22909460087347733,0.12261416497029154,0.2067098142540971,8.526520944786586e-17,8.099364091284817e-17,0.509872724740978,171,171,0,251,251,59,0.605248749954626,1.0,0.0
sigma300,TMTM,first_frame_affine,False,0.0,False,0.23226812411531395,0.12496556124909886,0.2097548504151163,9.020562075079397e-17,1.5086112435908648e-16,0.4997799751211261,171,171,0,251,251,59,0.605248749954626,1.0298895196934437,-1.6306188498110856
sigma300,TMTM,native,True,0.0,False,0.22909460087347733,0.12261416497029154,0.2067098142540971,8.526520944786586e-17,8.099364091284817e-17,0.509872724740978,171,171,0,251,251,59,0.605248749954626,1.0,0.0
sigma300,ST-MTM,native,False,0.0,False,0.35464152751757044,0.11715479393063007,0.2413721839011348,0.6090731035263689,0.520303442548225,0.29420580104083094,171,171,0,251,251,59,0.49312466592527926,1.0,0.0
sigma300,ST-MTM,first_frame_affine,False,0.0,False,0.22218093724125781,0.07839524452720598,0.1678319913942836,0.6090731035263689,0.5203034425482249,0.604541440218971,171,171,0,251,251,59,0.49312466592527926,0.45148365627682024,29.9242376149881
sigma300,ST-MTM,native,True,0.0,False,0.3546430344093333,0.11715386560556776,0.2413720023446575,0.6058597190826622,0.5205753600585158,0.2942058014239826,171,171,0,251,251,59,0.49312466592527926,1.0,0.0
sigma300,RA-MTM,native,False,0.0,False,0.04172143849085074,0.036497924856407515,0.05441970263756892,6.365217807027179e-17,1.002550533012803e-16,0.5225760175828393,171,171,0,251,251,59,1.0693788750795648,1.0,0.0
sigma300,RA-MTM,first_frame_affine,False,0.0,False,0.04172143849085074,0.036497924856407515,0.05441970263756892,6.365217807027179e-17,1.002550533012803e-16,0.5225760175828393,171,171,0,251,251,59,1.0693788750795648,1.0,0.0
sigma300,RA-MTM,native,True,0.0,False,0.04172291603006958,0.03650313976998435,0.054420342848676154,0.01173340066557426,0.0012159771623564063,0.5225701416686176,171,171,0,251,251,59,1.0693788750795648,1.0,0.0
grid41,TMTM,native,False,0.0,False,0.24391414660452873,0.1251566002412708,0.23039331919618156,8.083251809833864e-17,1.2525899857570463e-16,0.5277214170683105,186,186,0,286,286,59,0.6361772500677034,1.0,0.0
grid41,TMTM,first_frame_affine,False,0.0,False,0.24563504937151234,0.12668197013522137,0.23254190233852592,1.0807513784741528e-16,1.7419016420842972e-16,0.5219637175066771,186,186,0,286,286,59,0.6361772500677034,1.0175522015194314,-0.9606954685988143
grid41,TMTM,native,True,0.0,False,0.24391414660452873,0.1251566002412708,0.23039331919618156,8.083251809833864e-17,1.2525899857570463e-16,0.5277214170683105,186,186,0,286,286,59,0.6361772500677034,1.0,0.0
grid41,ST-MTM,native,False,0.0,False,0.3812535871223943,0.11545512757596486,0.2319582644186737,0.5859329200869122,0.4686560870649604,0.2989075327917105,186,186,0,286,286,59,0.7626531249843538,1.0,0.0
grid41,ST-MTM,first_frame_affine,False,0.0,False,0.22365510281177456,0.0737847363794142,0.14192259076274993,0.5859329200869123,0.46865608706496054,0.6046498879973135,186,186,0,286,286,59,0.7626531249843538,0.4526813847592876,29.956727249252545
grid41,ST-MTM,native,True,0.0,False,0.38125416295623615,0.11545550640789694,0.23195870336767738,0.5845080385724485,0.4685151414802076,0.2989074678582386,186,186,0,286,286,59,0.7626531249843538,1.0,0.0
grid41,RA-MTM,native,False,0.0,False,0.04382116640355315,0.040993422898127685,0.05205114437401525,5.409352774551334e-17,1.003746894030718e-16,0.5268206139893479,186,186,0,286,286,59,1.2795712919905782,1.0,0.0
