calibration,baseline,metric,protocols,ra_better,ties,ra_worse,worst_ra_minus_baseline
native,TMTM,reference_nmae,8,8,0,0,-0.1290825094335637
native,TMTM,motion_step_nmae,8,8,0,0,-0.021780210650613904
native,TMTM,trajectory_nmae,8,8,0,0,-0.09347761703658901
native,TMTM,growth_step_log_mae,8,0,8,0,-6.211429220433092e-18
native,TMTM,distance_nrmse,8,5,0,3,0.012703292841861336
native,ST-MTM,reference_nmae,8,8,0,0,-0.29759337064811964
native,ST-MTM,motion_step_nmae,8,8,0,0,-0.03402127864993553
native,ST-MTM,trajectory_nmae,8,8,0,0,-0.17569533311714647
native,ST-MTM,growth_step_log_mae,8,8,0,0,-0.291362908352649
native,ST-MTM,distance_nrmse,8,0,0,8,0.23250545033797543
first_frame_affine,TMTM,reference_nmae,8,8,0,0,-0.13057501560921458
first_frame_affine,TMTM,motion_step_nmae,8,7,0,1,0.007829390741962212
first_frame_affine,TMTM,trajectory_nmae,8,8,0,0,-0.04874722574460898
first_frame_affine,TMTM,growth_step_log_mae,8,0,8,0,-2.6553442680522182e-17
first_frame_affine,TMTM,distance_nrmse,8,6,0,2,0.02279604246171324
first_frame_affine,ST-MTM,reference_nmae,8,8,0,0,-0.15949314174396606
first_frame_affine,ST-MTM,motion_step_nmae,8,7,0,1,0.007984392024994541
first_frame_affine,ST-MTM,trajectory_nmae,8,8,0,0,-0.07527664551354091
first_frame_affine,ST-MTM,growth_step_log_mae,8,8,0,0,-0.291362908352649
first_frame_affine,ST-MTM,distance_nrmse,8,6,0,2,0.03772461688745443
