scene,reference_priority_reference_nmae,reference_priority_reference_p95,reference_priority_trajectory_nmae,reference_priority_common_motion_nmae,reference_priority_motion_step_nmae,reference_priority_growth_log_mae,reference_priority_total_growth_log_mae,reference_priority_unchanged_size_log_drift,reference_priority_distance_nrmse,reference_priority_error_step_rms,reference_priority_error_step_max,equal_weight_reference_nmae,equal_weight_reference_p95,equal_weight_trajectory_nmae,equal_weight_common_motion_nmae,equal_weight_motion_step_nmae,equal_weight_growth_log_mae,equal_weight_total_growth_log_mae,equal_weight_unchanged_size_log_drift,equal_weight_distance_nrmse,equal_weight_error_step_rms,equal_weight_error_step_max
translation,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,3.5908775952719906e-17,8.649764932089354e-17,,0.19751903114922267,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,3.5908775952719906e-17,8.649764932089354e-17,,0.19751903114922267,0.0,0.0
growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.689893001203927e-17,4.9960036108132046e-17,,0.2033444413484118,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.689893001203927e-17,4.9960036108132046e-17,,0.2033444413484118,0.0,0.0
translation_growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.20309292121146372,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.20309292121146372,0.0,0.0
local_growth,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5883435939586546e-17,7.118871464539822e-17,,0.19835930186778392,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5883435939586546e-17,7.118871464539822e-17,,0.19835930186778392,0.0,0.0
hierarchy_change,0.013768217758578529,0.04897242262912117,0.06785488874301351,0.004145360930394589,0.0037201309703468687,5.837344496661956e-17,5.412337245047638e-17,,0.29894022992578534,2.2870980548165445,14.873641839460504,0.015173496791737852,0.0974281096857112,0.07959678060860656,0.015577020431022515,0.004366512144516552,5.837344496661956e-17,5.412337245047638e-17,,0.2963623976008895,2.53539726341157,15.21019915979248
crowding,0.007392153057178083,0.011541399408058773,0.0005125827430498751,0.00013278999093553837,0.0003279068646884722,4.1561083278611e-17,1.2463988174893358e-16,,0.7247835862761622,0.07743212996837882,0.2785907960925016,0.008673364382580435,0.011541399408058773,0.0004250341841041906,4.524143198985383e-05,0.0002742019220948796,4.1561083278611e-17,1.2463988174893358e-16,,0.7246482228087914,0.07618693737695727,0.2785907960925016
advection_diffusion,0.06875601134602739,0.11695853910712246,0.0009335129114602384,4.939264681045922e-05,0.00038466060705479277,3.9394485937260806e-17,3.9660115469519753e-17,,0.41413002784114006,0.06806827992381344,0.217862555175671,0.08103803963975252,0.11695853910712246,0.0009978831623876042,0.00011209412345536555,0.0004262300490984426,3.9394485937260806e-17,3.9660115469519753e-17,,0.39687750570859803,0.07068275915795645,0.217862555175671
hierarchy_change_seed1,0.007920389707929286,0.008333333333333333,0.0007164099076551807,0.0007164099076551807,0.00018190900443396663,5.108760636751697e-17,8.465450562766818e-17,,0.2898717632086745,0.07150341983360885,0.29508498042056175,0.008126891086343466,0.008333333333333333,0.0006622086215148319,0.0006622086215148319,0.00020833333333333335,5.108760636751697e-17,8.465450562766818e-17,,0.2898269412245349,0.10607413130571396,0.5729444729566993
hierarchy_change_seed2,0.013358652050701449,0.047054501264233585,0.0638292206205034,0.0036849109547785,0.003527993690218356,6.075868974608767e-17,7.771561172376095e-17,,0.2904660820060773,2.134728656714129,13.93481015121101,0.014725772050514445,0.09319466414194903,0.07512410075747694,0.014689408612780053,0.004139425455836057,6.075868974608767e-17,7.771561172376095e-17,,0.2879372451736118,2.379171772692934,14.213018132739592
hierarchy_change_seed3,0.010840050840312086,0.008333333333333333,0.07235651254605327,0.00454931350659614,0.0037701842940921887,3.86843335142828e-17,1.412064909445121e-16,,0.29058319099153257,2.3284635260849904,14.94832748049761,0.011655789117744352,0.008333333333333333,0.08430558042307225,0.016708914813145796,0.004388427495228451,3.86843335142828e-17,1.412064909445121e-16,,0.28921397055853837,2.576019294772697,15.205939147909461
