mode,weight,temporal_lambda,scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
base,uniform,0.0,translation,ST-MTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.027090542018413544,0.04999999999999997,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
temporal,uniform,0.5,translation,ST-MTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.026270208065398037,0.04999999999999997,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
temporal,uniform,2.0,translation,ST-MTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.02696579194162041,0.04999999999999997,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
temporal,inverse,0.5,translation,ST-MTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.04988399997819215,0.04999999999999997,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
base,uniform,0.0,translation_growth,ST-MTM,defined,11,5.006060606060606,0.9966666666666671,0.9966666666666671,0.15129267275068037,1.0973206665912859e-16,1.1135904380399617e-32,,0,0.0,0.0,,,0.03413441590964794,0.041717171717171715,0.08305555555555551,0.04588888888888894,0.045888888888888944,0.008305555555555559,0.15106280378349118,0.15106280378349116,,0.04169681261032791,0.08289380830005125,0.0457081002461401,0.045708100246140096,0.008289120224396571,0.14843391637974318,0.14830145897978028,
temporal,uniform,0.5,translation_growth,ST-MTM,defined,11,5.006060606060597,0.9966666666666658,0.9966666666666658,0.15129267275068037,0.0040956206198744394,1.0571563635980195e-08,,0,0.0,7.105427357601002e-15,,,0.06861437496263534,0.04171717171717164,0.0825521994034952,0.045888888888888854,0.045888888888888854,0.008305555555555549,0.1510628037834912,0.15106280378349118,,0.04173130651021377,0.08236564284336328,0.045905263282970475,0.045905263282970475,0.00828918116147402,0.15145199315670804,0.15145880736123132,
temporal,uniform,2.0,translation_growth,ST-MTM,defined,11,5.006060606060607,0.9966666666666668,0.9966666666666668,0.15129267275068037,0.015616469682605065,7.434143202394788e-08,,0,0.0,7.105427357601002e-15,,,0.049755875021219254,0.04171717171717172,0.08107934847999997,0.045888888888888944,0.045888888888888944,0.008305555555555557,0.15106280378349118,0.15106280378349116,,0.041707673376587914,0.08103538047552837,0.0458888888888889,0.04588888888888891,0.008305555555555556,0.15302805941413813,0.15300455379669053,
temporal,inverse,0.5,translation_growth,ST-MTM,defined,11,5.006060606060602,0.9966666666666665,0.9966666666666667,0.15129267275068045,0.08050909299504706,5.569063825177627e-06,,0,0.0,7.105427357601002e-15,,,0.05795270891394466,0.04171717171717169,0.09028752768425136,0.0458888888888889,0.04588888888888891,0.008305555555555554,0.15106280378349127,0.15106280378349127,,0.04171622257050531,0.09022865979753122,0.04584434453059943,0.04584434453059942,0.00829070743612572,0.15263046245216694,0.15248883024929016,
base,uniform,0.0,topology_change,ST-MTM,defined,11,3.5862832666611677,0.07645618362887285,0.06748700377603259,0.061983793117420215,0.12629320551850817,0.01595650713550972,0.5918538458206726,0,0.0,2.5531014092472297,,,0.2978352910140529,0.029885693888843063,0.04931331409111765,0.0029865741223948574,0.0029865741223948574,0.0006371348635739405,0.06554098081270679,0.06554096228856479,0.09415254190484461,0.03013088255602386,0.05041431362568923,0.002867239861310842,0.002867239861310842,0.000616350230433332,0.062093400376550464,0.062112386713563714,0.10354067894084021
temporal,uniform,0.5,topology_change,ST-MTM,defined,11,3.580543881933274,0.07640983806504975,0.06751361749440213,0.061983793250065575,0.12629528330068038,0.015956779075461322,0.5793932609538359,0,0.0,2.55310140888675,,,0.2073603329481557,0.029837865682777284,0.0492034230564143,0.0029865741223948352,0.0029865741223948352,0.0006367486505420813,0.06554098062973857,0.06554096228856478,0.09415254329987299,0.030109741645614044,0.05054278434477468,0.002986574122394862,0.002986574122394862,0.0006908509820708224,0.0659901764860548,0.06592770916683978,0.10354067894084033
temporal,uniform,2.0,topology_change,ST-MTM,defined,11,3.5640907607429764,0.07634936271276364,0.0675892611221685,0.06198379316753444,0.12632340198032144,0.015960357771976526,0.5444074956852347,0,0.0,2.553101402701831,,,0.21103825001046062,0.029700756339524802,0.048934835265711726,0.002986574122396182,0.002986574122396182,0.0006362446892730304,0.06554098002874006,0.06554096228856486,0.094152549716924,0.029962844714051886,0.04980241548430648,0.002972969779527174,0.0029716837712967232,0.0007216836755890362,0.06767783680353083,0.06781945061450727,0.10227884912041807
