rho,extra_budget,motion_weight,scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
0.0,0.0,0.0,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.018427583971060812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,0.0,0.5,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.017051875009201467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,0.0,2.0,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.016997957951389253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,1.0,0.0,translation,RA-MTM,defined,13,5.647903797067463e-15,6.908054375445419e-16,6.908054375445419e-16,0.0,4.940208371434147e-16,6.031283484983248e-32,,0,0.0,0.0,0.0,-0.9999999999999858,0.020281583070755005,4.706586497556219e-17,1.1842378929335003e-16,4.0296983856764944e-17,5.756711979537848e-18,5.7567119795378486e-18,0.0,0.0,0.0,,,,,,,,
0.0,1.0,0.5,translation,RA-MTM,defined,13,8.198570028001155e-15,3.454027187722709e-15,3.454027187722709e-15,0.0,6.741292142261426e-16,2.6883627936940832e-31,,0,0.0,0.0,0.0,-0.9999999999999716,0.020157875027507544,6.832141690000962e-17,1.1842378929335003e-16,6.990293118010245e-17,1.0691036533427435e-17,2.878355989768924e-17,0.0,0.0,0.0,,,,,,,,
0.0,1.0,2.0,translation,RA-MTM,defined,13,7.378713025201041e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,5.229834537761772e-16,9.631351921756191e-32,,0,0.0,0.0,0.0,-0.9999999999999716,0.01964595797471702,6.148927521000867e-17,1.7763568394002506e-16,6.085666949797153e-17,4.9343245538895856e-17,3.700743415417188e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,0.0,translation,RA-MTM,defined,13,7.560903470267733e-15,3.848773152033876e-15,3.848773152033876e-15,0.0,5.238766797964088e-16,1.477430683143183e-31,,0,0.0,0.0,0.0,-2.9999999999999822,0.01999429101124406,6.300752891889777e-17,1.1842378929335003e-16,5.26327952414889e-17,2.796117247204098e-17,3.20731096002823e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,0.5,translation,RA-MTM,defined,13,1.548618783066885e-15,2.0724163126336257e-15,2.0724163126336257e-15,0.0,1.9460434165102713e-16,2.66498572592283e-32,,0,0.0,0.0,0.0,-2.9999999999999893,0.01988304196856916,1.2905156525557376e-17,5.921189464667501e-17,6.579099405186114e-17,1.1513423959075696e-17,1.7270135938613546e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,2.0,translation,RA-MTM,defined,13,1.0567045813868157e-14,3.454027187722709e-15,3.454027187722709e-15,0.0,6.428892270024061e-16,2.4171888075475487e-31,,0,0.0,0.0,0.0,-2.9999999999999716,0.02009629097301513,8.805871511556798e-17,2.3684757858670006e-16,1.0608797790862607e-16,6.332383177491633e-17,2.878355989768924e-17,0.0,0.0,0.0,,,,,,,,
0.5,0.0,0.0,translation,RA-MTM,defined,13,0.0,0.0,1.282924384011292e-15,0.0,0.0,0.0,,0,0.0,1.4210854715202004e-14,0.0,0.0,0.02108070906251669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.5,0.0,0.5,translation,RA-MTM,defined,13,0.0,0.0,2.0724163126336257e-15,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.020960125024430454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.5,0.0,2.0,translation,RA-MTM,defined,13,0.0,0.0,3.2566542055671257e-15,0.0,0.0,0.0,,0,0.0,1.4210854715202004e-14,0.0,0.0,0.020735125057399273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.5,1.0,0.0,translation,RA-MTM,defined,13,5.7302107946974535e-05,2.9605947323337506e-16,5.921189464667501e-16,0.0,1.2095326451539615e-06,1.4409224536072071e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.03288045804947615,4.775175662247878e-07,6.93804098084172e-07,1.562536108731702e-17,1.562536108731702e-17,2.467162276944792e-18,0.0,0.0,0.0,,,,,,,,
