scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
translation,Full,defined,13,1.9701453787126284e-06,3.1804735536569396e-08,2.0445484827133796e-06,0.0,1.4987181806192635e-07,1.8497845427625704e-14,,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.07637475000228733,1.641787815593857e-08,3.2555791810532736e-08,3.1563960235637803e-09,1.7038801842701376e-09,2.6503946280474495e-10,0.0,0.0,0.0,,,,,,,,
translation,RelativeWidth,defined,13,1.9701453787126284e-06,3.1804735536569396e-08,2.0445484827133796e-06,0.0,1.4987181806192635e-07,1.8497845427625704e-14,,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.06815412500873208,1.641787815593857e-08,3.2555791810532736e-08,3.1563960235637803e-09,1.7038801842701376e-09,2.6503946280474495e-10,0.0,0.0,0.0,,,,,,,,
translation,OldTime,defined,13,0.11418226485508799,0.01041670743743723,0.010418298761913962,0.0,1.5471320233912844e-07,1.8787223921222257e-14,,0,0.0,0.00028915873534884895,0.0,-0.874998007894547,0.06560054200235754,0.0009515188737923999,0.0010416832672768687,0.0010308199888277255,0.0010308199888277255,8.68058953119769e-05,0.0,0.0,0.0,,,,,,,,
translation,NoTime,defined,13,2.319776937517085e-06,6.6119949022120436e-15,5.526443500356335e-15,0.0,1.7603191797978012e-07,2.5582976153177846e-14,,0,0.0,0.00028915873537727066,0.0,-0.9999953155353154,0.06617079197894782,1.9331474479309043e-08,3.9037205705009606e-08,9.86864910777917e-17,5.921189464667501e-17,5.5099957518433694e-17,0.0,0.0,0.0,,,,,,,,
translation,NoReferencePenalty,defined,13,0.0010237029220429388,0.00017077356533088149,0.0003521807289816634,0.0,5.121646598885313e-06,1.401170678784761e-11,,0,0.0,0.003849514982263713,0.0,-0.9978426506768301,0.06611616699956357,8.530857683691157e-06,1.6587177399305375e-05,9.237158230016132e-06,9.237158230016132e-06,1.4231130444240125e-06,0.0,0.0,0.0,,,,,,,,
translation,ReferenceOnly,defined,13,2.9557666855394835e-12,3.4520534579011533e-12,3.216192744225231e-13,0.0,2.9671084751188236e-13,6.002346742692227e-26,,0,0.0,1.3066880910628242e-11,0.0,-0.9999999999881339,0.06110237503889948,2.4631389046162364e-14,7.050952414526065e-14,2.4054009812786075e-14,5.674473236973023e-17,2.8767112149176276e-14,0.0,0.0,0.0,,,,,,,,
translation,LegacyObjective,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.07015683397185057,5.796720513662011e-09,2.6263541353562503e-08,6.369491681251164e-08,5.756711979537848e-17,5.382669030660367e-09,0.0,0.0,0.0,,,,,,,,
translation,TightBudget,defined,13,0.0,0.0,2.0724163126336257e-15,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.04181791597511619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
translation,LooseBudget,defined,13,4.370415466836127e-06,8.448491398915792e-06,0.0005310038188238843,0.0,6.34259242561591e-07,2.895568603846185e-13,,0,0.0,0.0026197414484165904,0.0,-119.9999414260478,0.19515320903155953,3.642012889030106e-08,2.0267804886249993e-07,3.96437680732436e-08,2.586721505223774e-08,7.040409499096492e-08,0.0,0.0,0.0,,,,,,,,
growth,Full,defined,11,5.81353147440082e-15,1.2434497875801753e-14,7.460698725481052e-15,3.027880976250427e-17,3.0634191734047814e-16,1.1426503784446483e-32,1.4210854715202004e-14,0,0.0,1.4210854715202004e-14,0.0,-0.9999999999999858,0.039241750026121736,4.8446095620006835e-17,1.1842378929335003e-16,6.809367884367626e-17,4.4408920985006264e-17,1.0362081563168128e-16,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,RelativeWidth,defined,11,3.875687649600546e-15,5.329070518200751e-15,8.171241461241152e-15,0.11642596934383849,2.573786914528958e-16,1.0694923053396253e-32,1.4210854715202004e-14,0,0.0,2.842170943040401e-14,0.0,-0.9999999999999858,0.038666583015583456,3.229739708000455e-17,1.1842378929335003e-16,5.625129991434126e-17,3.848773152033876e-17,4.4408920985006264e-17,0.1177947714037045,0.11779477140370456,0.20815576034871786,,,,,,,,
growth,OldTime,defined,11,0.04715198864842533,0.00902668029917777,0.009026680299185585,3.027880976250427e-17,0.0012223830475881349,1.3386060605537277e-32,0.02767360167447208,0,0.0,2.842170943040401e-14,0.0,-0.9164236207783887,0.04387216700706631,0.0003929332387368778,0.0006964333926348882,0.00043222656261059214,0.00043222656261059214,7.522233582648142e-05,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,NoTime,defined,11,4.844609562000683e-15,6.7501559897209515e-15,6.7501559897209515e-15,3.027880976250427e-17,2.9251477991392115e-16,5.476927398924962e-33,1.4210854715202004e-14,0,0.0,2.842170943040401e-14,0.0,-0.9999999999999858,0.03951812500599772,4.037174635000569e-17,1.1842378929335003e-16,5.921189464667501e-17,5.921189464667501e-17,5.625129991434126e-17,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,NoReferencePenalty,defined,11,2.3471984992408e-06,6.092927964829186e-07,6.046392590874916e-06,3.027880976250427e-17,1.431210638724867e-08,8.903548460748157e-33,5.885395303550922e-06,0,0.0,2.2390986245568456e-05,0.0,-0.9999939717011159,0.05038341600447893,1.9559987493673334e-08,4.926755227193288e-08,2.151598644436111e-08,2.142417385423793e-08,5.0774399706909885e-09,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,ReferenceOnly,defined,11,4.5216355912006375e-15,8.171241461241152e-15,6.394884621840902e-15,3.027880976250427e-17,2.2289648519100455e-16,7.484306561900955e-33,1.4210854715202004e-14,0,0.0,2.842170943040401e-14,0.0,-0.9999999999999858,0.04442708392161876,3.768029659333865e-17,1.1842378929335003e-16,4.1448326252672507e-17,4.1448326252672507e-17,6.809367884367626e-17,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,LegacyObjective,defined,11,9.978688614802939e-08,4.439250780308157e-08,5.990866171146081e-07,3.027880976250427e-17,3.7175714588498086e-09,8.46809610874448e-33,3.3480196748314484e-07,0,0.0,4.661521060711493e-06,0.0,-0.9999996652653707,0.05065533297602087,8.315573845669115e-10,2.149414823904294e-09,9.147131496689553e-10,8.512228995745848e-10,3.6993756502567975e-10,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
