t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.014958672846707924,,,,0.0,13233.462048716752,37728.458643251746,0.838057220690132,5,0
1,1999-11-17 12:00:00,0,0.018762772564196575,0.010656112487517055,0.0,0.010656112487517055,0.0,6652.271901768779,18020.527265553024,1.2515327077035892,4,4
2,1999-11-18 00:00:00,0,0.019591138966412045,0.012495486268544614,1.1102230246251565e-16,0.02691645312668777,1.6653345369377348e-16,11876.66662822445,42854.48291197174,2.184089460044561,6,2
3,1999-11-18 12:00:00,0,0.0386892523880336,0.020236119778166476,0.0,0.033378535695718595,1.1102230246251565e-16,17202.785971492918,47775.69777131372,3.9789726696797203,7,2
4,1999-11-19 00:00:00,0,0.03506875695002641,0.006667250430994829,1.295260195396016e-16,0.022137156178189153,0.0,3219.607727820263,18164.149759046966,4.986010502766646,5,3
5,1999-11-19 12:00:00,0,0.008333333333333333,0.020586987233868235,0.0,0.02409202438640642,1.6653345369377348e-16,552.9657317906244,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.008333333333333333,0.0,1.1102230246251565e-16,0.02768659664221474,0.0,1124.8814785755278,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.008333333333333333,0.0,0.0,0.02768659664221474,1.1102230246251565e-16,2300.0673936346125,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.049035998229355754,0.03285014767766503,0.0,0.05172496441226291,1.1102230246251565e-16,2945.7704895594243,11088.9442252836,6.826621853725584,4,2
9,1999-11-21 12:00:00,0,0.007321640426305671,0.04486933156268909,2.7755575615628914e-17,0.04228755604496394,0.0,9019.021948756017,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.019046962562819302,0.010713629229485969,0.0,0.02768659664221474,0.0,2434.2989614904773,13170.127228093646,1.2856355075383163,4,2
11,1999-11-22 12:00:00,0,0.07268289272662941,0.06839644160364027,5.724587470723463e-17,0.07979716185917775,0.0,14594.65952387491,38018.88460752566,12.787492369230339,5,2
12,1999-11-23 00:00:00,0,0.0709479825936031,0.11066724573143047,0.0,0.08545798627724965,1.249000902703301e-16,13041.938393805229,38656.573597538205,8.889088876640614,5,5
13,1999-11-23 12:00:00,0,0.008333333333333333,0.05974937641566927,5.551115123125783e-17,0.0717477992837913,0.0,5363.85404273653,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.008333333333333333,0.0,0.0,0.06516663212688073,2.220446049250313e-16,7985.139343683038,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.008333333333333333,0.0,7.401486830834377e-17,0.05399494221336041,0.0,1948.7722599368144,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.01356042042550212,0.005296578335797097,0.0,0.059291520549157505,0.0,5015.381787828172,46299.42057099687,1.0210371488934165,5,3
17,1999-11-25 12:00:00,1,0.007486621076274729,0.01223201612265265,6.661338147750939e-17,0.03478436778252397,1.1102230246251565e-16,11080.870680254695,63265.79155736668,0.0,6,5
18,1999-11-26 00:00:00,1,0.012567952436250413,0.00508133135997568,0.0,0.031245225110134254,0.0,13763.546527216064,61054.28314682403,0.5081542923500493,6,6
19,1999-11-26 12:00:00,1,0.06282850002128601,0.06431592030729115,3.3306690738754695e-17,0.08579583798507928,1.3877787807814457e-16,19808.550092758855,57378.81975057557,7.766792169699144,6,5
20,1999-11-27 00:00:00,1,0.011291387561341609,0.05898876192151148,0.0,0.041690426891865986,0.0,10253.344464277778,40052.76372256911,0.5909191205392474,5,4
21,1999-11-27 12:00:00,1,0.06962593782511374,0.09055560408894785,0.0,0.08367905812379095,1.942890293094024e-16,10905.22824777541,36082.66668761158,15.46462346587164,5,4
22,1999-11-28 00:00:00,1,0.04314999603035796,0.08698963711636085,2.2204460492503132e-17,0.04119252170378811,0.0,13526.113327299092,60617.648132087284,6.9119239996932365,6,5
23,1999-11-28 12:00:00,1,0.03679167998042579,0.011605707537396353,4.4408920985006264e-17,0.03266052604310897,1.3877787807814457e-16,16800.11085451753,63825.22309827395,5.497221807385586,6,5
24,1999-11-29 00:00:00,1,0.04419867999732235,0.01669322293792419,2.7755575615628914e-17,0.04244973850395943,1.942890293094024e-16,8819.61161457846,40344.21211858167,4.373595449388688,5,4
25,1999-11-29 12:00:00,1,0.09082782508147892,0.04017009706651929,6.418476861114186e-17,0.08261983557047872,1.942890293094024e-16,9594.605553140571,39465.58803603207,15.069435907953377,5,4
26,1999-11-30 00:00:00,1,0.10545801088850126,0.014630185807022317,4.4408920985006264e-17,0.08072605426340529,0.0,12168.79173510286,41504.68517790583,18.094116827588522,5,5
27,1999-11-30 12:00:00,1,0.12091221076047358,0.2213497464003572,5.551115123125783e-17,0.1389637953463593,1.3877787807814457e-16,13815.922672868162,41184.15416244837,19.914140597985053,5,4
28,1999-12-01 00:00:00,2,0.15578741060733245,0.2571942452070658,7.632783294297951e-17,0.11823044986070655,1.1102230246251565e-16,26469.718612558227,77477.72847657466,31.91220730978555,6,4
29,1999-12-01 12:00:00,2,0.09309511251679992,0.06554171561489322,1.5265566588595902e-16,0.06170045437523041,0.0,4244.1056132035865,16015.480847754048,16.899396501463414,4,4
30,1999-12-02 00:00:00,2,0.008333333333333333,0.08892844585013325,5.377642775528102e-17,0.03981564626195874,2.220446049250313e-16,6990.116518037361,20978.505507222195,0.0,5,4
31,1999-12-02 12:00:00,2,0.008333333333333333,0.0,0.0,0.03981564626195874,0.0,4458.383824244458,25190.02848145358,0.0,5,4
32,1999-12-03 00:00:00,2,0.035361876419685634,0.028389602504856035,0.0,0.06395092731309222,0.0,15113.768908561253,54875.049046410735,3.406752300582724,6,4
33,1999-12-03 12:00:00,2,0.007782599608902633,0.028389602504856035,0.0,0.05308752834927832,0.0,7477.821220166976,25967.91298403781,0.0,4,3
34,1999-12-04 00:00:00,2,0.008333333333333333,0.0005507337244307002,5.551115123125783e-17,0.04036637998638944,1.6653345369377348e-16,7759.863493158788,23877.313619110962,0.0,4,4
35,1999-12-04 12:00:00,2,0.09029838437639028,0.09569671826292332,0.0,0.13606309824931276,1.249000902703301e-16,27406.441028363413,68099.4532148222,14.389133219553244,6,4
36,1999-12-05 00:00:00,2,0.09967508225691918,0.026942410724748803,0.0,0.10478342661686119,1.3877787807814457e-16,30466.08977857901,70951.48290010258,18.050412025086025,6,6
37,1999-12-05 12:00:00,2,0.0726256168027532,0.056806178414144946,0.0,0.09989921760202289,0.0,28973.02890066567,106158.8830480295,14.127243385923933,8,5
38,1999-12-06 00:00:00,2,0.02214314734653583,0.04566906042475733,0.0,0.05434925131250687,0.0,13946.356876439393,53390.352954670576,2.483255015982209,6,4
39,1999-12-06 12:00:00,2,0.04350790104955231,0.020839215260237607,3.700743415417188e-17,0.05271527259606636,1.6653345369377348e-16,56117.700970665996,215371.96084313653,5.026880739330181,11,6
40,1999-12-07 00:00:00,2,0.049521432789775464,0.03961363745830588,9.020562075079397e-17,0.08086783194205077,2.1510571102112408e-16,14892.535874105888,56425.093368672664,8.959288089511375,6,5
41,1999-12-07 12:00:00,2,0.022552331645944397,0.02999525491683137,7.632783294297951e-17,0.044015936401684774,1.6653345369377348e-16,11096.28686237625,31619.759306834967,3.1989677405070296,5,4
42,1999-12-08 00:00:00,3,0.040770778574233606,0.014344949287277985,4.163336342344337e-17,0.05573420308898655,1.6653345369377348e-16,7304.281377564117,22170.620497627984,5.502032985352457,4,4
43,1999-12-08 12:00:00,3,0.008333333333333333,0.033522057584110206,0.0,0.018305069279808624,1.942890293094024e-16,4337.8461777902085,12017.470860045181,0.0,3,3
44,1999-12-09 00:00:00,3,0.011455834270977761,0.0031225009376444272,5.551115123125783e-17,0.01726423563392715,0.0,4782.875963181547,11237.222474815124,0.37470011251733126,3,3
45,1999-12-09 12:00:00,3,0.028761761629844246,0.026138161027097855,3.700743415417188e-17,0.014654986765320724,1.3877787807814457e-16,24372.165671105267,72471.92963287796,3.1062151758179652,6,3
46,1999-12-10 00:00:00,3,0.007012178407136413,0.03135511517724454,7.401486830834377e-17,0.02291651359277466,0.0,11812.069296295153,48760.745695005906,0.0,5,3
47,1999-12-10 12:00:00,3,0.03246084454539981,0.024220333792097336,5.551115123125783e-17,0.0181182598541776,0.0,5893.16784331348,39105.664434657396,3.9103966142017015,5,4
48,1999-12-11 00:00:00,3,0.04433854042014512,0.025007832705993938,9.71445146547012e-17,0.03944473300377553,1.6653345369377348e-16,4415.818429824124,35478.43727670012,6.707353164634938,5,4
49,1999-12-11 12:00:00,3,0.06551830206229169,0.04401482701676697,0.0,0.05144230827220411,0.0,16670.552048382273,54370.69672126992,11.306768157921464,6,4
50,1999-12-12 00:00:00,3,0.063114926709225,0.02094606053954827,9.367506770274758e-17,0.0337889200067196,2.220446049250313e-16,13151.9667295362,48547.56533473617,11.556080057198322,6,4
51,1999-12-12 12:00:00,3,0.00826120640403601,0.04765138819397266,1.1102230246251565e-16,0.03391271945284113,1.249000902703301e-16,2109.001840400416,19855.93987344179,0.0,4,4
52,1999-12-13 00:00:00,3,0.007200928118283123,0.0010602782857528877,0.0,0.03497299773859401,0.0,1059.5598286828583,20427.954878944554,0.0,4,4
53,1999-12-13 12:00:00,3,0.006854443944039931,1.0430173654304061e-05,1.1102230246251565e-16,0.034983427912248316,1.1102230246251565e-16,1117.5141587501082,28808.73576136702,0.0,5,4
54,1999-12-14 00:00:00,3,0.008200341077290967,0.0023318233927799724,0.0,0.03290826525561374,1.1102230246251565e-16,130.193866852649,8323.627777031028,0.0,3,3
55,1999-12-14 12:00:00,3,0.008333333333333333,0.00019948838406354716,8.326672684688674e-17,0.001411552695824477,2.220446049250313e-16,249.64015269821275,2681.990803431742,0.0,3,2
56,1999-12-15 00:00:00,4,0.008333333333333333,0.008333333333333333,0.0,0.00974488602915781,1.6653345369377348e-16,13292.384973008682,43791.31992442668,0.0,5,2
57,1999-12-15 12:00:00,4,0.010695537174174445,0.006862931524251807,1.1102230246251565e-16,0.0034020412054973784,0.0,13205.866253821932,87581.25798633699,0.3860258864727797,7,4
58,1999-12-16 00:00:00,4,0.02171583530811662,0.02153980111460882,1.1058862159352145e-16,0.022529180529651322,1.1102230246251565e-16,4069.486882802308,24691.636589381058,1.6059002369739943,4,4
59,1999-12-16 12:00:00,4,0.06538876135277519,0.08818933030853604,4.163336342344337e-17,0.07235140076627637,0.0,8429.184732666143,41246.87590204591,12.78519744419279,5,4
60,1999-12-17 00:00:00,4,0.060339778277885864,0.011678674132202286,8.326672684688674e-17,0.06756992722446332,1.6653345369377348e-16,12764.403577387444,58622.5993287405,15.017985631536362,6,5
61,1999-12-17 12:00:00,4,0.0690665384201582,0.017054076752356116,8.881784197001253e-17,0.06538345155371954,0.0,17824.471405451583,72450.67825898578,13.964814120801591,6,5
62,1999-12-18 00:00:00,4,0.059438835164305245,0.015487188973160357,8.326672684688674e-17,0.05738848522706004,0.0,12292.251329365148,48480.54106838224,11.472182553944819,5,5
63,1999-12-18 12:00:00,4,0.07411703615379475,0.02481324488399324,4.302114220422482e-17,0.08220173011105328,0.0,27802.562647709055,110872.69813526458,17.024628306802384,7,5
64,1999-12-19 00:00:00,4,0.036150417166797774,0.03802400598070453,7.771561172376095e-17,0.03538955552036206,2.220446049250313e-16,12036.685013358672,36820.08120440248,5.327349507324072,5,5
65,1999-12-19 12:00:00,4,0.012596617977265839,0.03190663312188383,5.551115123125783e-17,0.011854902922717894,2.220446049250313e-16,12983.73099111284,39396.84835914016,0.5115941572719009,5,5
66,1999-12-20 00:00:00,4,0.008003200397642284,0.008099818374908125,0.0,0.010431974974422675,1.1102230246251565e-16,4976.008189811157,24841.57076789314,0.0,4,4
67,1999-12-20 12:00:00,4,0.051735162214325836,0.05140502927863479,5.551115123125783e-17,0.04097305430421211,0.0,5502.15274555848,28188.038766387883,6.678007099728845,4,4
68,1999-12-21 00:00:00,4,0.06022183424942786,0.01670866031873448,3.700743415417188e-17,0.04018581039681858,0.0,11169.967669645073,32384.480933168805,8.545331809342926,5,3
69,1999-12-21 12:00:00,4,0.06300219112030678,0.039266006360548125,3.3306690738754695e-17,0.030397286640099337,2.7755575615628914e-16,10453.080467946196,35350.31786427819,9.554431268093936,5,5
70,1999-12-22 00:00:00,5,0.05472741262619498,0.008274778494111802,7.771561172376095e-17,0.022967934376378847,2.220446049250313e-16,10291.209948267144,41302.58014617845,8.291703940225531,5,5
71,1999-12-22 12:00:00,5,0.0459165897550465,0.016129360067818094,5.551115123125783e-17,0.02188799787411174,1.6653345369377348e-16,18119.465050571678,73961.83752787182,5.744751637414765,6,4
72,1999-12-23 00:00:00,5,0.04779375829852919,0.014336064300625425,9.367506770274758e-17,0.02507958198865843,1.1102230246251565e-16,16027.977799524253,47434.50023429328,6.050526274404945,5,4
73,1999-12-23 12:00:00,5,0.008333333333333333,0.04307797696191062,4.163336342344337e-17,0.05555229587889208,0.0,4279.857377891415,42644.858132977046,0.0,5,4
74,1999-12-24 00:00:00,5,0.061347943847497234,0.08785730239379098,6.938893903907228e-17,0.018707893711508192,0.0,17493.466407156455,70549.38786807212,11.868741000429718,6,2
75,1999-12-24 12:00:00,5,0.057004934339680034,0.01844372230720301,0.0,0.018257985703112656,2.1510571102112408e-16,12739.594984272393,42416.67808764403,9.579216970067055,5,4
76,1999-12-25 00:00:00,5,0.04578231448269659,0.019181490133554358,9.020562075079397e-17,0.020816475103535334,1.6653345369377348e-16,10800.885002378891,32246.647879852044,6.875441003429859,5,4
77,1999-12-25 12:00:00,5,0.0436207257795985,0.011898260506359983,4.625929269271486e-17,0.025783282874963065,2.220446049250313e-16,8154.569714099987,23400.274938143873,4.421535213302249,4,3
78,1999-12-26 00:00:00,5,0.04059052186549573,0.003607958523456883,0.0,0.024866266228690235,0.0,10986.658201768649,23853.192624819076,3.8708626238594874,4,3
79,1999-12-26 12:00:00,5,0.0,0.04059052186549573,0.0,0.009534571303810028,0.0,0.0,0.0,0.0,1,1
80,1999-12-27 00:00:00,5,0.008333333333333333,0.008333333333333333,0.0,0.0012012379704766948,0.0,245.7796453698825,3498.1336988074568,0.0,2,1
81,1999-12-27 12:00:00,5,0.008333333333333333,0.0,1.1102230246251565e-16,0.0006006189852383474,0.0,7651.165812790792,17202.289342665135,0.0,4,2
82,1999-12-28 00:00:00,5,0.008333333333333333,0.016666666666666666,0.0,0.016666666666666666,1.1102230246251565e-16,543.2277341749154,13548.93331878835,0.0,4,1
83,1999-12-28 12:00:00,5,0.005848594800243224,0.002808060755079743,0.0,0.0027474948004758124,1.3877787807814457e-16,490.1033479827564,14202.75183665134,0.0,4,3
84,1999-12-29 00:00:00,6,0.050282329102420656,0.03643568414393553,0.0,0.03368818934345972,0.0,2926.013532981513,13279.001154956612,10.007769805516418,4,3
85,1999-12-29 12:00:00,6,0.041416256516756254,0.019685741003404842,1.1102230246251565e-16,0.028518984162276013,1.6653345369377348e-16,2784.728593519657,8022.390245193295,5.065296147086009,3,2
86,1999-12-30 00:00:00,6,0.07083300337879977,0.04143137420936741,0.0,0.05512319127280814,0.0,7107.006926897011,16576.836507160555,9.385137858174964,4,2
87,1999-12-30 12:00:00,6,0.09800252286980247,0.06087543760332614,1.0177044392397268e-16,0.06515518707798153,0.0,8156.192142219716,24111.075351704374,13.729320515527867,4,3
88,1999-12-31 00:00:00,6,0.1236527472199252,0.03280580806870079,1.0408340855860843e-16,0.08167219837718694,0.0,6196.65619462038,23684.148918830473,21.401986397773257,4,4
89,1999-12-31 12:00:00,6,0.04095801522824479,0.1357282410392778,9.71445146547012e-17,0.06121162638066893,1.1102230246251565e-16,10597.148865165316,35886.824486461075,5.259524034552541,5,4
90,2000-01-01 00:00:00,6,0.018453241099571648,0.02463683087542909,1.6167622796103843e-16,0.04867541773326266,1.1102230246251565e-16,10062.32036689378,34624.12259755617,1.6080819089290515,5,5
91,2000-01-01 12:00:00,6,0.005268276248784225,0.013473497838252232,1.249000902703301e-16,0.054825198051183216,1.1102230246251565e-16,4314.906779904076,19581.28821223102,0.0,4,4
92,2000-01-02 00:00:00,6,0.04846768235631698,0.04074922174900071,5.551115123125783e-17,0.02823877675081782,0.0,14639.883618703992,70270.87477094447,9.094350408481194,6,4
93,2000-01-02 12:00:00,6,0.06389274769452297,0.028484895379288853,0.0,0.03759760724343939,1.1102230246251565e-16,26999.525305658324,86427.12340902284,10.835439490593473,7,5
94,2000-01-03 00:00:00,6,0.07528363465430238,0.007975074919320544,0.0,0.015916910187267243,1.1102230246251565e-16,22114.30417125111,56725.004189895095,11.30167348789979,6,5
95,2000-01-03 12:00:00,6,0.06754451692189864,0.012583976192035256,1.6653345369377348e-16,0.014303259552659299,0.0,18553.908587800608,58255.326815245935,10.765044902752635,6,4
96,2000-01-04 00:00:00,6,0.04095390912495711,0.027575056595186647,0.0,0.020662664580725618,1.1102230246251565e-16,6719.102827687817,25316.57625887992,4.894996463728031,4,4
97,2000-01-04 12:00:00,6,0.03939088657622839,0.0033424541169458405,0.0,0.023400031716343646,1.249000902703301e-16,23394.857238888122,90684.2198145198,4.7497755882093635,7,4
98,2000-01-05 00:00:00,7,0.023788357054975482,0.019861137016399445,1.0061396160665481e-16,0.036360723206912235,2.0816681711721685e-16,12808.176315070723,40648.33684806704,2.55711550615365,5,4
99,2000-01-05 12:00:00,7,0.0336999921898568,0.03193579801224606,1.1102230246251565e-16,0.05555703602283645,2.7755575615628914e-16,2880.3695876660254,10467.911132404111,3.0439990627828166,3,2
