method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
RA-MTM,0,0,0.0153171435057511,,,,False,True,,19.039176783791405,17.201119563101273,0.01248966380869934,2.9975193140878416
RA-MTM,0,1,0.0153171435057511,,,,False,True,,63.76896463621363,61.9309074155235,0.5995038628175683,143.88092707621638
RA-MTM,0,2,0.0153171435057511,,,,False,False,,68.67572991732196,70.51378713801209,0.14987596570439207,35.970231769054095
RA-MTM,0,3,0.013524790210535216,,,,False,True,,20.404537557665027,22.027512382929253,0.1873449571304901,44.962789711317626
RA-MTM,0,4,0.0153171435057511,,,,False,True,,65.81147482166696,67.6495320423571,5.395534765358114,1294.9283436859475
RA-MTM,1,1,0.018762772564196575,0.0034456290584454763,0.0,0.0034456290584454763,True,True,0.5625,67.07964845712246,64.82811574941887,0.33722092283488214,80.93302148037172
RA-MTM,1,2,0.018762772564196575,0.0034456290584454763,0.0,0.0034456290584454763,True,False,0.375,70.50687783019934,72.75841053790293,0.3996692418783789,95.92061805081093
RA-MTM,1,4,0.018762772564196575,0.0034456290584454763,0.0,0.0034456290584454763,True,True,0.7690631808278867,68.63231384008257,70.88384654778616,4.746072247305749,1139.0573393533798
RA-MTM,1,3,0.018762772564196575,0.03228756277473179,0.0,0.03228756277473179,True,True,0.14150943396226415,25.704971127938553,23.453438420234964,1.32390436372213,317.7370472933112
RA-MTM,2,5,0.026534078833704674,,,,False,False,,71.94690677139417,68.76281731134961,0.02497932761739868,5.995038628175683
RA-MTM,2,6,0.026534078833704674,,,,False,False,,73.6536077387362,76.83769719878076,0.01248966380869934,2.9975193140878416
RA-MTM,2,7,0.009867412167038125,,,,False,False,,77.49368491525576,76.30959545521118,0.09991731046959472,23.980154512702732
RA-MTM,2,4,0.0015431062966154486,0.01721966626758113,0.0,0.013774037209135651,True,True,0.7376623376623377,69.98626759783863,70.17144035343249,3.6095128407141095,866.2830817713863
