t,current,previous,track,iou,boundary
1,28,25,1,0.5625,True
1,1010,1009,2,0.375,False
1,1841,2229,4,0.7690631808278867,True
1,1960,2058,3,0.14150943396226415,True
2,1744,1841,4,0.7376623376623377,True
2,1960,1960,3,0.29245283018867924,True
3,1646,1744,4,0.296551724137931,True
3,2352,1960,3,0.24545454545454545,True
4,1450,1646,4,0.10112359550561797,False
4,2352,2352,3,0.7142857142857143,True
4,2388,2387,13,0.18181818181818182,True
5,1011,1007,14,0.09688581314878893,False
5,1371,1221,15,0.2828282828282828,True
5,2352,2352,3,0.3569682151589242,True
6,1162,1011,14,0.1903820816864295,True
6,2352,2352,3,0.8147410358565738,True
7,564,1162,14,0.22661396574440051,True
7,2356,2352,3,0.9328214971209213,True
8,713,564,14,0.6471816283924844,True
8,2357,2356,3,0.9343629343629344,True
9,862,713,14,0.36444444444444446,True
9,930,974,17,0.14285714285714285,True
9,1600,1555,18,0.19607843137254902,False
9,2362,2357,3,0.8843283582089553,True
10,813,862,14,0.5795454545454546,False
10,2367,2362,3,0.029239766081871343,True
11,816,813,14,0.5673076923076923,False
11,2058,2162,21,0.10714285714285714,True
12,0,0,22,0.5,True
12,13,16,23,0.041666666666666664,True
12,870,816,14,0.42720763723150357,True
12,2009,2058,21,0.3181818181818182,True
12,2169,2168,24,0.37209302325581395,False
13,0,0,22,0.46153846153846156,True
13,12,13,23,0.3829787234042553,True
13,1021,870,14,0.5837479270315091,True
13,2168,2169,24,0.058186738836265225,True
14,0,12,23,0.08866995073891626,True
14,1073,1021,14,0.0016722408026755853,True
14,2118,2168,24,0.035182679296346414,True
15,0,0,23,0.6157635467980296,True
15,1077,1025,25,0.0016778523489932886,True
15,2372,2118,24,0.03002309468822171,True
16,0,0,23,0.296,True
16,1077,1077,25,0.06711409395973154,True
16,2172,2372,24,0.32909930715935337,True
17,0,0,23,0.6756756756756757,True
17,489,538,27,0.38636363636363635,True
17,1028,1077,25,0.225,True
17,1621,1470,28,0.08148148148148149,True
17,2276,2172,24,0.58,True
18,26,27,29,0.56,True
18,245,0,23,0.29069767441860467,True
18,342,489,27,0.4174757281553398,True
18,979,1028,25,0.5555555555555556,True
18,1773,1621,28,0.35323383084577115,True
18,2377,2276,24,0.42328042328042326,True
19,0,245,23,0.6515151515151515,True
19,25,26,29,0.7241379310344828,True
19,146,342,27,0.7021276595744681,True
19,1975,1773,28,0.26455026455026454,True
19,2377,2377,24,0.0875,True
20,0,0,23,0.42424242424242425,True
20,25,25,29,0.6363636363636364,True
20,48,146,27,0.7246376811594203,True
20,2128,1975,28,0.27371273712737126,True
21,25,25,29,0.7586206896551724,True
21,48,48,27,0.9230769230769231,True
21,1675,1568,31,0.20567375886524822,True
21,2330,2128,28,0.6731234866828087,True
22,25,25,29,0.7466666666666667,True
22,48,48,27,0.78,True
22,1126,1224,32,0.1111111111111111,True
22,1828,1675,31,0.1497005988023952,True
22,2387,2330,28,0.6184615384615385,True
