t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.0028122821389367065,,,,0.0,14202.324686032873,37728.458643251746,0.838057220690132,5,0
1,1999-11-17 12:00:00,0,0.0052241022755344785,0.001736879659655847,0.0,0.001736879659655847,0.0,7220.943328036795,18020.527265553024,1.2515327077035892,4,4
2,1999-11-18 00:00:00,0,0.010746519613763683,0.005895192244441787,1.1102230246251565e-16,0.005867061983575539,1.6653345369377348e-16,13122.799464304246,42854.48291197174,2.184089460044561,6,2
3,1999-11-18 12:00:00,0,0.01727994714828552,0.004114056589591586,0.0,0.001753007119248832,1.1102230246251565e-16,21093.895018748146,47775.69777131372,3.9789726696797203,7,2
4,1999-11-19 00:00:00,0,0.020294075276721307,0.02730813316491013,1.295260195396016e-16,0.028476802285409882,0.0,3863.9427507778273,18164.149759046966,4.986010502766646,5,3
5,1999-11-19 12:00:00,0,0.0014008012390648377,0.01120640385473113,0.0,0.011206404093515697,1.6653345369377348e-16,655.4113950160108,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.00024355230460028446,0.0018677344763839384,1.1102230246251565e-16,0.018677339071742856,0.0,1258.8871863645356,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,2.5637084694846773e-05,0.0002050966775580143,0.0,0.01887394270083589,1.1102230246251565e-16,2530.523868240909,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.028448103286560767,3.076450163381021e-05,0.0,0.01890343324519989,1.1102230246251565e-16,4117.233636707429,11088.9442252836,6.826621853725584,4,2
9,1999-11-21 12:00:00,0,0.003075448120309474,0.024603793426814582,2.7755575615628914e-17,0.03405537329133168,0.0,9509.419255220315,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.005356816863400631,0.004760730897738045,0.0,0.014149084877422865,0.0,2986.451748258476,13170.127228093646,1.2856355075383163,4,2
11,1999-11-22 12:00:00,0,0.043078473788146956,0.05274253298705243,5.724587470723463e-17,0.0668916133671599,0.0,20501.388582655614,38018.88460752566,12.787492369230339,5,2
12,1999-11-23 00:00:00,0,0.029680685092857644,0.01339778869528931,0.0,0.030122718779115387,1.249000902703301e-16,17564.44390282449,38656.573597538205,8.889088876640614,5,5
13,1999-11-23 12:00:00,0,0.002090334604577304,0.01672307149274021,5.551115123125783e-17,0.03608901623680327,0.0,5686.226808965513,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.00028832441650375056,0.002306576870709027,0.0,0.05042525948140041,2.220446049250313e-16,8448.950375641009,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,5.3214341242894635e-05,0.0004257145786136205,7.401486830834377e-17,0.0382453794790907,0.0,2128.314857612926,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.003403457977768204,0.0025204543378331717,0.0,0.03572492675403843,0.0,5497.698313527265,46299.42057099687,1.0210371488934165,5,3
17,1999-11-25 12:00:00,1,0.00037002103256671164,0.0029598106160646626,6.661338147750939e-17,0.024394763390035816,1.1102230246251565e-16,11712.122767511775,63265.79155736668,0.0,6,5
