method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
RA-MTM,0,0,3.2566542055671256e-16,,,,False,True,,19.039176783791405,19.039176783791365,0.01248966380869934,2.9975193140878416
RA-MTM,0,1,0.007030705347341678,,,,False,True,,63.76896463621363,62.92527999453263,0.5995038628175683,143.88092707621638
RA-MTM,0,2,0.0069369149974939145,,,,False,False,,68.67572991732196,69.50815971702123,0.14987596570439207,35.970231769054095
RA-MTM,0,3,2.6645352591003756e-16,,,,False,True,,20.404537557665027,20.40453755766506,0.1873449571304901,44.962789711317626
RA-MTM,0,4,9.379034984734839e-05,,,,False,True,,65.81147482166696,65.82272966364864,5.395534765358114,1294.9283436859475
RA-MTM,1,1,0.010448202377108019,0.0034174970297663402,0.0,0.0034174970297663402,True,True,0.5625,67.07964845712246,65.8258641718695,0.33722092283488214,80.93302148037172
RA-MTM,1,2,0.010410676084618467,0.0034737610871245534,0.0,0.0034737610871245534,True,False,0.375,70.50687783019934,71.75615896035356,0.3996692418783789,95.92061805081093
RA-MTM,1,4,3.753023426327218e-05,5.626011558407621e-05,0.0,5.626011558407621e-05,True,True,0.7690631808278867,68.63231384008257,68.63681746819417,4.746072247305749,1139.0573393533798
RA-MTM,1,3,4.061481521470493e-10,4.061484186005752e-10,0.0,4.061484186005752e-10,True,True,0.14150943396226415,25.704971127938553,25.704971079200774,1.32390436372213,317.7370472933112
RA-MTM,2,5,0.01624927324290972,,,,False,False,,71.94690677139417,69.996993982245,0.02497932761739868,5.995038628175683
RA-MTM,2,6,0.01820006367016115,,,,False,False,,73.6536077387362,75.83761537915554,0.01248966380869934,2.9975193140878416
RA-MTM,2,7,0.01820142733058153,,,,False,False,,77.49368491525576,75.30951363558597,0.09991731046959472,23.980154512702732
RA-MTM,2,4,0.011827911887410399,0.011790381653147127,0.0,0.011734121537563051,True,True,0.7376623376623377,69.98626759783863,71.40561702432788,3.6095128407141095,866.2830817713863
RA-MTM,2,8,4.391219309951566e-07,,,,False,False,,34.399485489869626,34.39943279523791,0.01248966380869934,2.9975193140878416
RA-MTM,2,3,2.429588293513992e-09,2.835736445661041e-09,2.220446049250313e-16,2.429588027060466e-09,True,True,0.29245283018867924,23.44356637693211,23.443566668482706,0.38717957806967956,92.92309873672309
RA-MTM,3,9,0.03680447901552597,,,,False,True,,77.06700967342024,81.48354715528336,0.01248966380869934,2.9975193140878416
RA-MTM,3,10,0.029511732145802702,,,,False,False,,83.89381354278834,80.35240568529201,0.01248966380869934,2.9975193140878416
RA-MTM,3,11,0.019559971283025016,,,,False,False,,82.18711257544632,79.83991602148332,0.01248966380869934,2.9975193140878416
RA-MTM,3,12,0.00960821042024745,,,,False,False,,80.4804116081043,79.32742635767461,0.01248966380869934,2.9975193140878416
RA-MTM,3,4,0.003599800433492106,0.008228111453918293,0.0,0.0035060100836447577,True,False,0.296551724137931,69.27896043164114,69.71093648366019,1.0866007513568428,260.78418032564224
RA-MTM,3,3,4.154853172622097e-09,1.7252648791081052e-09,0.0,4.154852906168571e-09,True,True,0.24545454545454545,26.703230184308417,26.703230682890798,1.32390436372213,317.7370472933112
RA-MTM,3,13,0.021875432585052222,,,,False,True,,78.26170035055966,80.88675226076593,0.1248966380869934,29.975193140878417
RA-MTM,4,14,0.037821611762581496,,,,False,False,,66.64394305143858,71.18253646294836,0.3497105866435815,83.93054079445956
RA-MTM,4,15,0.0,,,,False,True,,92.1261358558499,92.1261358558499,1.061621423739444,254.78914169746653
RA-MTM,4,4,0.0183702006211418,0.014770400187649694,0.0,0.018276410271294452,True,False,0.10112359550561797,69.77474190386796,71.97916597840498,0.13738630189569273,32.972712454966256
RA-MTM,4,3,7.163539687364088e-10,3.438499203885688e-09,1.6653345369377348e-16,7.163537022828829e-10,True,True,0.7142857142857143,31.10298088171584,31.102980967678317,1.8234909160701036,437.6378198568249
RA-MTM,4,13,0.04527856328352928,0.06715399586858149,2.220446049250313e-16,0.06715399586858149,True,True,0.18181818181818182,75.85680353294137,70.42337593891786,0.6869315094784637,164.86356227483128
RA-MTM,5,14,0.004202401599614328,0.03361921016296717,0.0,0.03361921016296717,True,False,0.09688581314878893,72.11226188241702,72.61655007437074,3.6095128407141095,866.2830817713863
RA-MTM,5,15,1.1453305859276953e-09,1.1453305859276953e-09,0.0,1.1453305859276953e-09,True,True,0.2828282828282828,96.69407079785356,96.69407066041389,0.5245658799653723,125.89581119168935
RA-MTM,5,3,9.722495993476818e-10,2.5589563061127286e-10,0.0,9.722493328941558e-10,True,True,0.3569682151589242,50.569329618110096,50.56932973478005,5.10827249775803,1225.9853994619273
RA-MTM,6,14,0.0004770191141483101,0.0037253824854660187,2.220446049250313e-16,0.037344592648433185,True,True,0.1903820816864295,66.45016037525777,66.50740266895556,18.959309661605598,4550.234318785344
RA-MTM,6,3,1.0085495052258863e-05,1.0086467301858211e-05,0.0,1.0085495052525318e-05,True,True,0.8147410358565738,53.50297699483943,53.50176673543316,6.2698112319670685,1504.7546956720964
RA-MTM,7,14,7.531880749726365e-05,0.0004017003066510464,0.0,0.037746292955084235,True,True,0.22661396574440051,65.65592762433113,65.6649658812308,4.296444350192573,1031.1466440462175
RA-MTM,7,16,0.0,,,,False,False,,82.18711257544632,82.18711257544632,0.01248966380869934,2.9975193140878416
