run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
RelativeWidth,0,RA-MTM,32768,False,False,True,True,0.0,0.006098466108824141,0.0013813639100987984,0.002579190756269334
RelativeWidth,1,RA-MTM,32768,False,False,True,True,0.0,0.016517928072062205,0.0016263617461476088,0.00303822866615
RelativeWidth,2,RA-MTM,32768,False,False,True,True,0.0,0.002698794799471216,0.0015360810765656652,0.0015991694409676072
RelativeWidth,3,RA-MTM,32768,False,False,True,True,0.0,0.014155828659340841,0.0014843585015853478,0.002545269523380189
RelativeWidth,4,RA-MTM,32768,False,False,True,True,0.0,0.03484352626605869,0.0010487406726156223,0.002708622829674434
RelativeWidth,5,RA-MTM,32768,False,False,True,True,0.0,0.010949122189458649,0.0011665271954584,0.0022202992567934565
RelativeWidth,6,RA-MTM,32768,False,False,True,True,0.0,0.028703626149081174,0.0013747730919391188,0.0016529012672525933
RelativeWidth,7,RA-MTM,32768,False,True,True,True,0.0,0.03821203619122571,0.0006638345965512826,0.00312190896644271
RelativeWidth,8,RA-MTM,32768,False,False,True,True,0.0,0.07363057341558488,0.0006688621319170807,0.0021924477739634074
RelativeWidth,9,RA-MTM,32768,False,False,True,True,0.0,0.08897299479235699,0.0011898598529711535,0.0013245801343717972
RelativeWidth,10,RA-MTM,32768,False,False,True,True,0.0,0.08674947336544392,0.001620315282295337,0.0025655110056058694
RelativeWidth,11,RA-MTM,32768,False,False,True,True,0.0,0.027919269788526435,0.0009301032011705956,0.00232337600648283
RelativeWidth,12,RA-MTM,32768,False,False,True,True,0.0,0.016974141564105594,0.0016890129990301261,0.002751641061294219
RelativeWidth,13,RA-MTM,32768,False,False,True,True,0.0,0.13554545039141885,0.001661794653614379,0.0016981312451573305
RelativeWidth,14,RA-MTM,32768,False,False,True,True,0.0,0.2250422023437295,0.0014877142041740399,0.002597240173041193
