t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.01387668962986511,,,,0.0,13252.005741592178,37728.458643251746,0.838057220690132,5,0
1,1999-11-18 00:00:00,0,0.018070493983594574,0.018591693854333315,1.942890293094024e-16,0.018591693854333315,1.6653345369377348e-16,12052.52531847498,42854.48291197174,2.184089460044561,6,2
2,1999-11-19 00:00:00,0,0.026843150959955077,0.03073007858242905,2.220446049250313e-16,0.04333673924688444,0.0,3565.990847065025,18164.149759046966,4.986010502766646,5,2
3,1999-11-20 00:00:00,0,0.008333333333333333,0.005924436317913366,0.0,0.01119028175101322,0.0,1124.8814785755278,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.04097751833191493,0.01673318788278338,5.551115123125783e-17,0.024521653334924638,1.1102230246251565e-16,3322.780288828723,11088.9442252836,6.826621853725584,4,2
5,1999-11-22 00:00:00,0,0.01708365772239097,0.013331371583911416,0.0,0.01597155493812723,0.0,2466.5337468776,13170.127228093646,1.2856355075383163,4,2
6,1999-11-23 00:00:00,0,0.05317270051086546,0.0008081720813083375,1.1102230246251565e-16,0.005589445268422348,1.249000902703301e-16,14755.914371495284,38656.573597538205,8.889088876640614,5,1
7,1999-11-24 00:00:00,1,0.008193376411985583,0.03941411342326979,3.7007434154171886e-16,0.037550965000462344,2.220446049250313e-16,7987.572656867958,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.011333190364390506,0.005008009156647524,1.4802973661668753e-16,0.036886545552146446,0.0,5056.481019674716,46299.42057099687,1.0210371488934165,5,3
9,1999-11-26 00:00:00,1,0.01220052104699218,0.009479306883923082,5.551115123125783e-17,0.03233974159241616,0.0,13776.356597804575,61054.28314682403,0.5081542923500493,6,4
10,1999-11-27 00:00:00,1,0.01109640337607349,0.0021341624355896488,7.771561172376095e-17,0.02711464280037032,0.0,10254.168833116735,40052.76372256911,0.5909191205392474,5,5
11,1999-11-28 00:00:00,1,0.03594166092335524,0.034534717831886136,0.0,0.058241725740016605,0.0,14366.498801702919,60617.648132087284,6.9119239996932365,6,4
12,1999-11-29 00:00:00,1,0.034295565170720806,0.021940597181227473,1.6653345369377348e-16,0.04123186033120525,1.942890293094024e-16,9420.625963915421,40344.21211858167,4.373595449388688,5,4
13,1999-11-30 00:00:00,1,0.08750273402798976,0.037140582914805695,1.5265566588595902e-16,0.06925654868054246,0.0,13930.373491562184,41504.68517790583,18.094116827588522,5,4
14,1999-12-01 00:00:00,2,0.13039207189373184,0.04583383099868295,1.5681900222830337e-16,0.06951931233927985,1.1102230246251565e-16,31711.493740666036,77477.72847657466,31.91220730978555,6,5
15,1999-12-02 00:00:00,2,0.007451091192050565,0.10982226690555993,0.0,0.050924620284473074,2.220446049250313e-16,7071.238290579833,20978.505507222195,0.0,5,4
16,1999-12-03 00:00:00,2,0.0283206909137535,0.026467985299361153,0.0,0.07102097457865314,0.0,15678.514625339161,54875.049046410735,3.406752300582724,6,4
17,1999-12-04 00:00:00,2,0.008333333333333333,0.02389787770070788,0.0,0.06914843139690001,1.6653345369377348e-16,7759.863493158788,23877.313619110962,0.0,4,3
18,1999-12-05 00:00:00,2,0.0962307542980414,0.08500199584853241,0.0,0.1541504272454324,1.3877787807814457e-16,31199.855410053966,70951.48290010258,18.050412025086025,6,3
19,1999-12-06 00:00:00,2,0.019904298659731985,0.061630826142181336,0.0,0.06831713505185025,0.0,14063.229146055577,53390.352954670576,2.483255015982209,6,4
20,1999-12-07 00:00:00,2,0.039893437206528104,0.02154202329797924,2.7755575615628914e-17,0.08547022906800106,2.1510571102112408e-16,16089.621650315012,56425.093368672664,8.959288089511375,6,4
21,1999-12-08 00:00:00,3,0.03723846818977868,0.0185925217417287,5.551115123125783e-17,0.06513606369873606,1.6653345369377348e-16,7438.364355320238,22170.620497627984,5.502032985352457,4,4
22,1999-12-09 00:00:00,3,0.011455834270977761,0.028378795962156807,7.401486830834377e-17,0.010713718866168362,0.0,4782.875963181547,11237.222474815124,0.37470011251733126,3,3
23,1999-12-10 00:00:00,3,0.006440534860131705,0.00627716505964714,1.295260195396016e-16,0.008673782916843504,0.0,11817.625072537163,48760.745695005906,0.0,5,3
24,1999-12-11 00:00:00,3,0.03693155322667069,0.0395522005127449,7.401486830834377e-17,0.04432512311836403,1.6653345369377348e-16,4924.8642783089,35478.43727670012,6.707353164634938,5,3
25,1999-12-12 00:00:00,3,0.054501896533950545,0.041117855890891224,2.220446049250313e-16,0.030200508881150865,2.220446049250313e-16,14559.151584164378,48547.56533473617,11.556080057198322,6,2
26,1999-12-13 00:00:00,3,0.006996015182857996,0.041466669674696775,5.551115123125783e-17,0.028802250813063333,0.0,1060.127593633544,20427.954878944554,0.0,4,4
27,1999-12-14 00:00:00,3,0.0071424274943215444,0.002674636300950676,1.1102230246251565e-16,0.052494029746234,1.1102230246251565e-16,133.3848778743236,8323.627777031028,0.0,3,2
28,1999-12-15 00:00:00,4,0.008333333333333333,0.0,0.0,0.00868739234914866,1.6653345369377348e-16,13292.384973008682,43791.31992442668,0.0,5,1
29,1999-12-16 00:00:00,4,0.02171583530811662,0.013382501974783285,0.0,0.010486704525067066,1.1102230246251565e-16,4069.486882802308,24691.636589381058,1.6059002369739943,4,3
30,1999-12-17 00:00:00,4,0.05171913554756677,0.06887636391688604,0.0,0.06887636391688602,1.6653345369377348e-16,13899.743761273076,58622.5993287405,15.017985631536362,6,3
31,1999-12-18 00:00:00,4,0.0508952299517891,0.015372980280424034,8.881784197001253e-17,0.043186780603046315,0.0,12974.571213212359,48480.54106838224,11.472182553944819,5,5
32,1999-12-19 00:00:00,4,0.03288082818612746,0.02099991288054821,4.163336342344337e-17,0.04199282786178728,2.220446049250313e-16,12163.052006609072,36820.08120440248,5.327349507324072,5,4
33,1999-12-20 00:00:00,4,0.006624102024483342,0.037325201072385183,5.551115123125783e-17,0.005442086815689525,1.1102230246251565e-16,4984.007624073367,24841.57076789314,0.0,4,4
34,1999-12-21 00:00:00,4,0.05605399505406609,0.057524048222668676,5.551115123125783e-17,0.06478016397692136,0.0,11469.411915065233,32384.480933168805,8.545331809342926,5,3
35,1999-12-22 00:00:00,5,0.04599193657547892,0.039183846875114905,3.700743415417188e-17,0.030259657485269435,2.220446049250313e-16,11038.932207569049,41302.58014617845,8.291703940225531,5,3
36,1999-12-23 00:00:00,5,0.03839489615728304,0.02199655564604907,4.85722573273506e-17,0.02466613091247756,1.1102230246251565e-16,16848.501657166846,47434.50023429328,6.050526274404945,5,4
37,1999-12-24 00:00:00,5,0.049991996379998536,0.023289583968011642,0.0,0.019492802609292818,0.0,18683.930823485858,70549.38786807212,11.868741000429718,6,4
38,1999-12-25 00:00:00,5,0.03581514536996492,0.03247894765411172,0.0,0.026084745281955684,1.6653345369377348e-16,11286.600919712366,32246.647879852044,6.875441003429859,5,3
39,1999-12-26 00:00:00,5,0.04059052186549573,0.024640537156358187,8.326672684688674e-17,0.016984011650341187,0.0,10986.658201768649,23853.192624819076,3.8708626238594874,4,2
40,1999-12-27 00:00:00,5,0.008333333333333333,0.0322571885321624,2.220446049250313e-16,0.0322571885321624,0.0,245.7796453698825,3498.1336988074568,0.0,2,2
41,1999-12-28 00:00:00,5,0.006750438894129355,0.0118115612177539,0.0,0.04406874974991629,1.1102230246251565e-16,556.1991619468639,13548.93331878835,0.0,4,1
42,1999-12-29 00:00:00,6,0.046210866236750435,0.007334334190359263,5.551115123125783e-17,0.018112328730297497,0.0,2978.223011521666,13279.001154956612,10.007769805516418,4,2
43,1999-12-30 00:00:00,6,0.07083300337879977,0.057442708912199755,0.0,0.039330380181902255,0.0,7132.930265734096,16576.836507160555,9.385137858174964,4,2
44,1999-12-31 00:00:00,6,0.10956156700056488,0.09154968317716165,1.295260195396016e-16,0.08485318102431272,0.0,6977.567409579081,23684.148918830473,21.401986397773257,4,3
45,2000-01-01 00:00:00,6,0.017183303492703934,0.10818292473717689,4.163336342344337e-17,0.044543038968942336,1.1102230246251565e-16,10186.341216304652,34624.12259755617,1.6080819089290515,5,4
46,2000-01-02 00:00:00,6,0.03513154015660164,0.02802969756302679,1.3877787807814457e-16,0.05144376197574505,0.0,15770.733525655627,70270.87477094447,9.094350408481194,6,4
47,2000-01-03 00:00:00,6,0.05929644004710825,0.01504944430135528,4.85722573273506e-17,0.04287463421689727,1.1102230246251565e-16,24363.190365726838,56725.004189895095,11.30167348789979,6,4
48,2000-01-04 00:00:00,6,0.030347542987659744,0.02570593360281391,5.551115123125783e-17,0.046171672933308296,1.1102230246251565e-16,7069.420273357795,25316.57625887992,4.894996463728031,4,4
49,2000-01-05 00:00:00,7,0.018787712044368805,0.01052971910206389,5.5077470362263625e-17,0.05607418671701964,2.0816681711721685e-16,12949.071261102355,40648.33684806704,2.55711550615365,5,4
50,2000-01-06 00:00:00,7,0.025807899939218736,0.022580974873765286,1.1102230246251565e-16,0.10641092560878973,0.0,3584.7308017241253,26527.465847221145,4.5631829945750155,4,2
51,2000-01-07 00:00:00,7,0.026965794502804386,0.021201180830203666,2.220446049250313e-16,0.07343611131323136,1.1102230246251565e-16,7203.656147532673,22600.77620076499,4.0462747035802025,4,3
52,2000-01-08 00:00:00,7,0.007314839720283306,0.030209009990725122,0.0,0.044831711958895855,0.0,2994.5825070170363,11365.838269810725,0.0,4,3
53,2000-01-09 00:00:00,7,0.0200180385324132,0.021559779935288,0.0,0.0719478699420476,0.0,9239.627309262009,33157.33487053559,3.2030488734706424,6,2
54,2000-01-10 00:00:00,7,0.07517766388350497,0.05032254246562844,5.551115123125783e-17,0.06370407875892736,1.249000902703301e-16,35566.84235574582,93133.8903966865,18.37787680201035,8,4
55,2000-01-11 00:00:00,7,0.06723688966126044,0.06342874477188032,2.7755575615628914e-17,0.10208957886147015,1.6653345369377348e-16,14644.564357166648,48559.38383135592,12.108866273208339,5,4
56,2000-01-12 00:00:00,8,0.09021849266387914,0.03496611982534473,0.0,0.13486902616518132,0.0,26056.33054055784,61925.846903457554,20.16795969706032,6,4
57,2000-01-13 00:00:00,8,0.014070565720611442,0.09353294725144796,0.0,0.041336078913733365,1.1102230246251565e-16,14910.65016595429,51439.0455061527,1.0692445021211938,5,4
58,2000-01-14 00:00:00,8,0.04864034693919081,0.06512292323503069,1.1102230246251565e-16,0.03544621044949026,0.0,18942.069381609348,37640.10857240182,8.300536879453382,6,2
