t,rmse_hPa,max_change_hPa,input_min_hPa,smoothed_min_hPa
0,1.1910569561389872,7.908459962691154,993.4428945411686,999.8361164121351
1,1.1582214120789747,5.457080550461569,994.9579986860065,998.8637685470464
2,1.4152591335917408,8.087178001641405,993.2458413580358,999.9066768298202
3,1.7014664219627516,9.388207383747044,984.4158256182591,990.3189246331285
4,1.727974912229711,12.337667037245183,971.7734091670403,977.3216482470741
5,1.641721215461048,10.379039220969844,978.7163841970148,987.3760717176709
6,1.969171752597892,11.118244183935644,970.315581534567,980.8372130907949
7,1.9572685097202935,10.439195886069456,976.7235505761543,984.7798340322555
8,1.516217656610723,8.41938332295183,988.9808355632441,994.8189283516396
9,1.8782201334325357,15.744418601752841,967.305585725165,982.9954574839747
10,1.662535628210981,11.748201900083473,963.7333624944159,974.1346272291308
11,1.9171743871629057,12.271759306216609,971.6985165274108,978.8272947644319
12,1.7303051640737066,13.511381613029698,971.5311069888709,978.0207235849763
13,2.1381844982959315,11.821340704752743,967.6397522475071,974.4949643849081
14,1.7121342884618564,13.275950665074788,953.557493833193,964.4563334544381
15,1.5695004980423206,7.960963981921054,957.427470296381,963.1439445834799
16,1.5416455720566384,8.116182809213115,973.8041957158887,976.9176883859423
17,1.8138274339930853,16.54436990658121,957.8132929587247,973.7768344106406
18,1.4380537392210682,8.35532744793295,979.2728424814734,984.2452717430607
19,1.7853469883264026,12.387062784947148,965.7900405742539,977.3430212771549
20,1.968533482598257,13.335498927340382,967.4046388367645,980.3997880631593
21,1.5636700380562314,10.077960083600601,974.9842107872596,981.9116110169339
22,1.6398619549573967,7.575720167372538,966.8986727348697,973.4376616636916
23,1.5062135819333016,6.769654716822629,975.6120364728162,980.811424540279
24,1.5937879048316559,8.040382209722111,980.264494270676,985.4767910132406
25,1.9366005599630296,10.410052854397122,973.7231982799137,981.5095659168779
26,2.0087796001309033,11.361291590297355,977.544633150602,983.6269519235705
27,1.657298613153928,8.540317686338199,985.4282976848435,992.5545983039523
28,1.6645985083205073,17.72594089216102,978.0781628988877,993.4559816319565
29,1.8353340132300238,10.690110887424225,978.9147868665959,988.2759827773987
30,1.748898905519922,8.716310286256316,977.628360077934,984.2919075426287
31,1.6768499137171002,10.900211120316158,963.4586197151399,973.4348866395936
32,1.5702873070537438,7.875753728729023,970.1091962799927,977.6430156042755
33,1.3977146542601304,7.253109013091262,984.1680430711982,987.452600652013
34,1.7104939366048018,8.305301399100927,978.1652116028204,985.492358494712
35,1.5551705527079227,7.507274510291722,981.9516136548397,988.3659510349921
36,1.7923059341528018,8.540163779551449,971.5394669176056,979.2700965227172
37,1.874798096206331,9.731408480596315,957.2252227658452,966.5529995555813
38,2.1708452320618257,17.052479059587313,945.4733041930057,961.9013636576983
39,1.9745644982760948,12.520693152906574,947.6990493648946,957.7467642182814
40,1.5750551339654604,8.878853646952393,959.7546680269114,966.0889031526358
41,1.6099302444006678,12.990943121335931,971.0106819763928,982.5952474170878
42,1.3603629168326012,7.680172318956011,984.7644104692667,988.3753176502314
43,1.5439007008175052,9.818955938639988,978.4721187430333,988.2910746816733
44,1.652160673582957,13.472387597244506,955.1410560088559,966.9011301609046
45,1.515549716445525,8.518730277635086,970.8460052032964,975.432307404358
46,1.7435650229138409,12.064991747799695,969.5776198289653,980.1744551571176
47,2.031059074782314,21.31528454262252,960.0535485712915,980.4864373266697
48,1.7172540495772597,15.99158580223866,961.9628950785024,976.4031424855551
49,1.7065198272840978,8.237937812106452,968.0389238511332,974.7705589200345
50,1.6494415614261009,10.862027341434214,963.8471567619345,974.531482849228
51,1.985666860452791,11.498652344310813,949.782816902565,960.6075589862002
52,1.6820526627913295,13.8597612155354,944.17045077727,956.9987102177913
53,1.5139664537129434,9.573742539165096,959.3306695902277,966.2246883329323
54,1.9619931580791097,13.796191601995702,951.9588988344381,964.6379363479388
55,1.975722985891,12.922644929483909,971.5346564096047,983.2450585452157
56,1.5589741970281106,10.542771966860755,983.2572916518594,991.0037543154447
57,1.2673181291964986,7.291814799304916,994.0430501906491,996.5973389189174
58,1.5810472863128617,6.224119045248699,998.5809276617952,1002.7271461154598
