run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
beta8,0,RA-MTM,16384,False,False,True,True,0.0,0.006098466108824141,0.0028042362380595875,0.005164997996577018
beta8,1,RA-MTM,16384,False,True,True,True,0.0,0.002698794799471216,0.0019528296176076765,0.004319335631090607
beta8,2,RA-MTM,16384,False,False,True,True,0.0,0.03484352626605869,0.002672997117599607,0.0018733723382899359
beta8,3,RA-MTM,16384,False,False,True,True,0.0,0.028703626149081174,0.002687088576692531,0.004250125979094577
beta8,4,RA-MTM,16384,False,False,True,True,0.0,0.07363057341558488,0.0036079644957567325,0.0033709700559656497
beta8,5,RA-MTM,16384,False,False,True,True,0.0,0.08674947336544392,0.0023782607263207467,0.006427651841816484
beta8,6,RA-MTM,16384,False,False,True,True,0.0,0.016974141564105594,0.0033401780384565427,0.002536987096459234
beta8,7,RA-MTM,16384,False,False,True,True,0.0,0.2250422023437295,0.0032804923863380964,0.006257283640479727
beta8,8,RA-MTM,16384,False,False,True,True,0.0,0.04992124030832201,0.003235176775650217,0.005815388688466594
beta8,9,RA-MTM,16384,False,False,True,True,0.0,0.017945363239050494,0.003400441960671685,0.003759968742859554
beta8,10,RA-MTM,16384,False,False,True,True,0.0,0.03770190349882796,0.003344369445635209,0.003630817400660291
beta8,11,RA-MTM,16384,False,False,True,True,0.0,0.04659195391354842,0.0036574213146423062,0.0045924070420663154
beta8,12,RA-MTM,16384,False,False,True,True,0.0,0.05239695756927176,0.0016868908781759728,0.003382649461945636
beta8,13,RA-MTM,16384,False,False,True,True,0.0,0.03378007889909895,0.002583785959146212,0.0017955726009110107
beta8,14,RA-MTM,16384,False,False,True,True,0.0,0.0579589910953473,0.003537162611095823,0.004319335631090607
beta8,15,RA-MTM,16384,False,False,True,True,0.0,0.015638227701856522,0.0030050398328285155,0.005558630664369346
beta8,16,RA-MTM,16384,False,False,True,True,0.0,0.0029375177564361366,0.0035813168307470278,0.004228311827432052
beta8,17,RA-MTM,16384,False,False,True,True,0.0,0.021369388134417022,0.003256053463374542,0.004059488286394464
beta8,18,RA-MTM,16384,False,False,True,True,0.0,0.005640194181523839,0.002917499593692696,0.0038245444139586304
beta8,19,RA-MTM,16384,False,False,True,True,0.0,0.09830220639969411,0.0017628437695833554,0.004450031633588036
beta8,20,RA-MTM,16384,False,False,True,True,0.0,0.03327511705742836,0.003512800946722905,0.006205932035660222
beta8,21,RA-MTM,16384,False,False,True,True,0.0,0.04354706946992337,0.0023868107537339256,0.0015489493224949413
beta8,22,RA-MTM,16384,False,False,True,True,0.0,0.008682810274876829,0.003446065119661057,0.0048654784530419715
beta8,23,RA-MTM,16384,False,False,True,True,0.0,0.004762934358723214,0.0029367500965626903,0.0070383703348669835
beta8,24,RA-MTM,16384,False,False,True,True,0.0,0.03499747398996078,0.0028621731415299223,0.00206864401188675
beta8,25,RA-MTM,16384,False,False,True,True,0.0,0.010134268855608752,0.0035470039289435817,0.006387979642977354
beta8,26,RA-MTM,16384,False,False,True,True,0.0,0.014158663999069176,0.0019896248118591586,0.004033040153835266
beta8,27,RA-MTM,16384,False,False,True,True,0.0,0.0011831692095256585,0.0021174561754762067,0.0026147868338382008
beta8,28,RA-MTM,16384,False,False,True,True,0.0,0.013373588326430763,0.0019717208786431684,0.004319335631090607
beta8,29,RA-MTM,16384,False,False,True,True,0.0,0.010048540451862209,0.003258010747458684,0.0038774406790773597
beta8,30,RA-MTM,16384,False,False,True,True,0.0,0.046651237477362884,0.003494601243311024,0.004787678715663088
beta8,31,RA-MTM,16384,False,False,True,True,0.0,0.00567246464515847,0.0033935430947025225,0.005686237346268275
beta8,32,RA-MTM,16384,False,False,True,True,0.0,0.002764711354075189,0.0036397586701468754,0.005451293473832386
beta8,33,RA-MTM,16384,False,False,True,True,0.0,0.04861667793397828,0.0034319773759818872,0.006010660362063429
beta8,34,RA-MTM,16384,False,False,True,True,0.0,0.06855460324322848,0.003017015652275745,0.00612813229828113
beta8,35,RA-MTM,16384,False,False,True,True,0.0,0.041731463964651994,0.003472320366988413,0.002121540277006062
beta8,36,RA-MTM,16384,False,False,True,True,0.0,0.00866281226421961,0.0036092961744387253,0.0038377684802384238
