t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.006983810172417766,,,,0.0,13858.080356324203,37728.458643251746,0.838057220690132,5,0
1,1999-11-18 00:00:00,0,0.01681336118863427,0.01403859256516006,1.942890293094024e-16,0.01403859256516006,1.6653345369377348e-16,12524.274895904082,42854.48291197174,2.184089460044561,6,2
2,1999-11-19 00:00:00,0,0.03348393244320129,0.025990651947921873,2.220446049250313e-16,0.037136615055550916,0.0,3383.5416511744957,18164.149759046966,4.986010502766646,5,2
3,1999-11-20 00:00:00,0,0.0,0.022402957652834933,0.0,0.016517101617438357,0.0,1263.03848978705,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.04614192672471865,0.035395338001724175,5.551115123125783e-17,0.03801027906342738,1.1102230246251565e-16,3142.960432870284,11088.9442252836,6.826621853725584,4,2
5,1999-11-22 00:00:00,0,0.010713629229485969,0.0246817087722382,0.0,0.016517101617438357,0.0,2774.662788372006,13170.127228093646,1.2856355075383163,4,2
6,1999-11-23 00:00:00,0,0.06468979982003811,0.01717334414598793,1.1102230246251565e-16,0.0018365803130149536,1.249000902703301e-16,13698.267721832606,38656.573597538205,8.889088876640614,5,1
7,1999-11-24 00:00:00,1,0.0,0.05843250594094898,3.7007434154171886e-16,0.05782031250327733,2.220446049250313e-16,8494.13493578866,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.0074978969357127195,0.006824066287891117,1.4802973661668753e-16,0.05099624621538621,0.0,5350.641609189758,46299.42057099687,1.0210371488934165,5,3
9,1999-11-26 00:00:00,1,0.004234619102917077,0.005517753918388032,5.551115123125783e-17,0.04337508555286074,0.0,14581.35189982885,61054.28314682403,0.5081542923500493,6,4
10,1999-11-27 00:00:00,1,0.004637156440574053,0.0007009937048656312,7.771561172376095e-17,0.03048614183398456,0.0,10840.745572366613,40052.76372256911,0.5909191205392474,5,5
11,1999-11-28 00:00:00,1,0.03969408587386878,0.04830738072785074,0.0,0.06683416387307364,0.0,13930.175067725308,60617.648132087284,6.9119239996932365,6,4
12,1999-11-29 00:00:00,1,0.036446628744905736,0.025918106795270037,1.6653345369377348e-16,0.05253641036413071,1.942890293094024e-16,9480.910494711612,40344.21211858167,4.373595449388688,5,4
13,1999-11-30 00:00:00,1,0.10364244459712364,0.05541035027735608,1.5265566588595902e-16,0.09789320728562015,0.0,12495.180356977027,41504.68517790583,18.094116827588522,5,4
14,1999-12-01 00:00:00,2,0.15528131857800073,0.03883507827894398,1.5681900222830337e-16,0.10782269134199747,1.1102230246251565e-16,26593.08245158085,77477.72847657466,31.91220730978555,6,5
15,1999-12-02 00:00:00,2,0.0,0.15067155691584758,0.0,0.05921559317890861,2.220446049250313e-16,7533.796495528025,20978.505507222195,0.0,5,4
16,1999-12-03 00:00:00,2,0.028389602504856035,0.028389602504856035,0.0,0.08123356467858354,0.0,15944.142697130736,54875.049046410735,3.406752300582724,6,4
17,1999-12-04 00:00:00,2,0.0,0.028389602504856035,0.0,0.0761179099360631,1.6653345369377348e-16,8181.5563793355295,23877.313619110962,0.0,4,3
18,1999-12-05 00:00:00,2,0.10076359539248902,0.09949206066227467,0.0,0.17560997059833774,1.3877787807814457e-16,30868.202796468973,70951.48290010258,18.050412025086025,6,3
19,1999-12-06 00:00:00,2,0.016462875106692487,0.07084242673170782,0.0,0.07188829593544233,0.0,14674.054873504409,53390.352954670576,2.483255015982209,6,4
20,1999-12-07 00:00:00,2,0.047654490399149714,0.03416422782933915,2.7755575615628914e-17,0.1060525237647815,2.1510571102112408e-16,15519.178258749313,56425.093368672664,8.959288089511375,6,4
21,1999-12-08 00:00:00,3,0.0383777476902844,0.025123336215790534,5.551115123125783e-17,0.07328001842398132,1.6653345369377348e-16,7535.985310920931,22170.620497627984,5.502032985352457,4,4
22,1999-12-09 00:00:00,3,0.0031225009376444272,0.034846071648518676,7.401486830834377e-17,0.004112700349623043,0.0,5147.466416516701,11237.222474815124,0.37470011251733126,3,3
23,1999-12-10 00:00:00,3,0.0,0.0031225009376444272,1.295260195396016e-16,0.00723520128726747,0.0,12410.08627296497,48760.745695005906,0.0,5,3
24,1999-12-11 00:00:00,3,0.0417252169644441,0.04434297029656777,7.401486830834377e-17,0.04117636727892556,1.6653345369377348e-16,4712.6695954784,35478.43727670012,6.707353164634938,5,3
25,1999-12-12 00:00:00,3,0.060116643886795884,0.05774763376374667,2.220446049250313e-16,0.02630591122578892,2.220446049250313e-16,14098.406695155722,48547.56533473617,11.556080057198322,6,2
26,1999-12-13 00:00:00,3,0.0,0.046733547690891414,5.551115123125783e-17,0.03358059207799695,0.0,1264.9889728760786,20427.954878944554,0.0,4,4
27,1999-12-14 00:00:00,3,0.0,0.0,1.1102230246251565e-16,0.06452858918098911,1.1102230246251565e-16,199.57089750204494,8323.627777031028,0.0,3,2
28,1999-12-15 00:00:00,4,0.0,0.0,0.0,0.03275651121865888,1.6653345369377348e-16,14281.49269827477,43791.31992442668,0.0,5,1
29,1999-12-16 00:00:00,4,0.013382501974783285,0.013382501974783285,0.0,0.015379671064480722,1.1102230246251565e-16,4539.891893328402,24691.636589381058,1.6059002369739943,4,3
30,1999-12-17 00:00:00,4,0.05821845781910898,0.07453073396822545,0.0,0.07453073396822543,1.6653345369377348e-16,13280.370028346497,58622.5993287405,15.017985631536362,6,3
31,1999-12-18 00:00:00,4,0.0595254360317531,0.01659265854356682,8.881784197001253e-17,0.0493793935306959,0.0,12459.17757914651,48480.54106838224,11.472182553944819,5,5
32,1999-12-19 00:00:00,4,0.034166393813857145,0.02660787956168997,4.163336342344337e-17,0.03768335574847086,2.220446049250313e-16,12477.87776610495,36820.08120440248,5.327349507324072,5,4
33,1999-12-20 00:00:00,4,0.0,0.0341677978180875,5.551115123125783e-17,0.00525928472500757,1.1102230246251565e-16,5357.686885600314,24841.57076789314,0.0,4,4
34,1999-12-21 00:00:00,4,0.06049356806753633,0.05980302330113537,5.551115123125783e-17,0.06171231165098079,0.0,11304.587620756643,32384.480933168805,8.545331809342926,5,3
35,1999-12-22 00:00:00,5,0.054317269863702555,0.02208476289590061,3.700743415417188e-17,0.024629658233251927,2.220446049250313e-16,10664.51813622601,41302.58014617845,8.291703940225531,5,3
36,1999-12-23 00:00:00,5,0.04060477308577669,0.018071965825495397,4.85722573273506e-17,0.01987961144472207,1.1102230246251565e-16,16692.076537576922,47434.50023429328,6.050526274404945,5,4
37,1999-12-24 00:00:00,5,0.06091258435234873,0.021977381977602614,0.0,0.014703033604557514,0.0,17803.41753840516,70549.38786807212,11.868741000429718,6,4
