run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
budget0,0,RA-MTM,16384,False,False,True,True,0.0,0.006098466108824141,0.0027085809712588116,0.003942016350176686
budget0,1,RA-MTM,16384,False,True,True,True,0.0,0.002698794799471216,0.0032967301085733425,0.0030053301810317144
budget0,2,RA-MTM,16384,False,False,True,True,0.0,0.03484352626605869,0.0026733679208632566,0.0018733723382899359
budget0,3,RA-MTM,16384,False,False,True,True,0.0,0.028703626149081174,0.0036179030979894833,0.004250125979094577
budget0,4,RA-MTM,16384,False,False,True,True,0.0,0.07363057341558488,0.0035332556661415992,0.004878702519321654
budget0,5,RA-MTM,16384,False,False,True,True,0.0,0.08674947336544392,0.003161255504025462,0.005164997996577018
budget0,6,RA-MTM,16384,False,False,True,True,0.0,0.016974141564105594,0.0030702299274238953,0.005633341081149504
budget0,7,RA-MTM,16384,False,True,True,True,0.0,0.2250422023437295,0.003016335495772182,0.005164997996577018
budget0,8,RA-MTM,16384,False,False,True,True,0.0,0.04992124030832201,0.0029252289081185268,0.0017823485346313839
budget0,9,RA-MTM,16384,False,False,True,True,0.0,0.017945363239050494,0.0033725934855866058,0.004306111564810977
budget0,10,RA-MTM,16384,False,False,True,True,0.0,0.03770190349882796,0.0020858313641021198,0.0037731928091393474
budget0,11,RA-MTM,16384,False,False,True,True,0.0,0.04659195391354842,0.0014781654551185852,0.006257283640479727
budget0,12,RA-MTM,16384,False,False,True,True,0.0,0.05239695756927176,0.0034701787907636117,0.004150512090053127
budget0,13,RA-MTM,16384,False,False,True,True,0.0,0.03378007889909895,0.003478692900387159,0.0017955726009110107
budget0,14,RA-MTM,16384,False,False,True,True,0.0,0.0579589910953473,0.0035214497937232636,0.0053205974713348425
budget0,15,RA-MTM,16384,False,False,True,True,0.0,0.015638227701856522,0.00328550108339698,0.005164997996577018
budget0,16,RA-MTM,16384,False,False,True,True,0.0,0.0029375177564361366,0.0030741065490786923,0.004228311827432052
budget0,17,RA-MTM,16384,False,False,True,True,0.0,0.021369388134417022,0.0031112323042208345,0.003265177525727969
budget0,18,RA-MTM,16384,False,False,True,True,0.0,0.005640194181523839,0.003566413426497661,0.006752074857611645
budget0,19,RA-MTM,16384,False,False,True,True,0.0,0.09830220639969411,0.003463953745466597,0.004450031633588036
budget0,20,RA-MTM,16384,False,False,True,True,0.0,0.03327511705742836,0.0026883128163319725,0.004175415562313045
budget0,21,RA-MTM,16384,False,False,True,True,0.0,0.04354706946992337,0.003057026405265617,0.006530355051455938
budget0,22,RA-MTM,16384,False,False,True,True,0.0,0.008682810274876829,0.0033891052139551903,0.005307373405055049
budget0,23,RA-MTM,16384,False,True,True,True,0.0,0.004762934358723214,0.0031778348483442187,0.006023884428343118
budget0,24,RA-MTM,16384,False,False,True,True,0.0,0.03499747398996078,0.0031621715991150268,0.005673013279988481
budget0,25,RA-MTM,16384,False,False,True,True,0.0,0.010134268855608752,0.0029055809397178223,0.003473673265604195
budget0,26,RA-MTM,16384,False,False,True,True,0.0,0.014158663999069176,0.003604352064204619,0.0038377684802384238
budget0,27,RA-MTM,16384,False,False,True,True,0.0,0.0011831692095256585,0.0034338223090628617,0.0061794839031010795
budget0,28,RA-MTM,16384,False,False,True,True,0.0,0.013373588326430763,0.0032644094163458703,0.0032768569317083163
budget0,29,RA-MTM,16384,False,False,True,True,0.0,0.010048540451862209,0.002819840042462829,0.005542317277490938
budget0,30,RA-MTM,16384,False,False,True,True,0.0,0.046651237477362884,0.0034602051260606004,0.004787678715663088
budget0,31,RA-MTM,16384,False,False,True,True,0.0,0.00567246464515847,0.003138075615382263,0.005100422325478249
budget0,32,RA-MTM,16384,False,False,True,True,0.0,0.002764711354075189,0.0034836443995587274,0.00693412246492886
budget0,33,RA-MTM,16384,False,False,True,True,0.0,0.04861667793397828,0.0031097029942230847,0.002224243486644184
budget0,34,RA-MTM,16384,False,False,True,True,0.0,0.06855460324322848,0.002483963581852322,0.003225505326888367
budget0,35,RA-MTM,16384,False,False,True,True,0.0,0.041731463964651994,0.0021438828714934743,0.005203125535116371
budget0,36,RA-MTM,16384,False,True,True,True,0.0,0.00866281226421961,0.0031403802658758195,0.0038377684802384238
budget0,37,RA-MTM,16384,False,False,True,True,0.0,0.04902432477433649,0.003329915266654382,0.006101684165721988
budget0,38,RA-MTM,16384,False,False,True,True,0.0,0.17812774533581432,0.003416106827181409,0.005256021800235572
budget0,39,RA-MTM,16384,False,False,True,True,0.0,0.005772271773139437,0.003546554525684087,0.004423583501028894
budget0,40,RA-MTM,16384,False,False,True,True,0.0,0.015852192330839898,0.0034678613171976735,0.003473673265604195
budget0,41,RA-MTM,16384,False,False,True,True,0.0,0.013043715870026062,0.0034151488093101534,0.004228311827432052
budget0,42,RA-MTM,16384,False,False,True,True,0.0,0.0855806388858582,0.003210180343387492,0.005438069407552648
budget0,43,RA-MTM,16384,False,False,True,True,0.0,0.049738642133661415,0.003588651166744228,0.0032534981197462898
budget0,44,RA-MTM,16384,False,False,True,True,0.0,0.0109897371335137,0.002735169288285988,0.005932860624684455
budget0,45,RA-MTM,16384,False,False,True,True,0.0,0.01622943999564086,0.003005257817150664,0.0036821690054806844
budget0,46,RA-MTM,16384,False,False,True,True,0.0,0.005069982549912311,0.0035608323942994957,0.003850992546518127
budget0,47,RA-MTM,16384,False,False,True,True,0.0,0.01266267134519694,0.0035486961061224065,0.00515177393029731
budget0,48,RA-MTM,16384,False,False,True,True,0.0,0.0006708560888455395,0.00177984802732567,0.004383911302189958
budget0,49,RA-MTM,16384,False,False,True,True,0.0,0.019810636343436272,0.003370410615389119,0.004072712352674479
budget0,50,RA-MTM,16384,False,False,True,True,0.0,0.02871697894738645,0.0033311999740845977,0.005034301994079726
budget0,51,RA-MTM,16384,False,False,True,True,0.0,0.017969257808999828,0.0036100887221550693,0.0040579436260950175
budget0,52,RA-MTM,16384,False,False,True,True,0.0,0.043084698450911674,0.0035008335534882917,0.00313448152323037
budget0,53,RA-MTM,16384,False,False,True,True,0.0,0.02222055189963612,0.0034349918349967368,0.005868284953585157
budget0,54,RA-MTM,16384,False,False,True,True,0.0,0.0003413509434722073,0.0033485193115723177,0.004319335631090607
budget0,55,RA-MTM,16384,False,False,True,True,0.0,0.013454117622586637,0.0028099866737534285,0.0028878582448137458
budget0,56,RA-MTM,16384,False,False,True,True,0.0,0.024627418906675302,0.0034855396970527863,0.003486897331883898
budget0,57,RA-MTM,16384,False,False,True,True,0.0,0.03645892377949167,0.002592151960058686,0.0024195151602413034
budget0,58,RA-MTM,16384,False,True,True,True,0.0,0.042992379791712665,0.0028894025868666517,0.005164997996577018
