t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.03328503633352664,,,,0.0,11726.60841285501,37728.458643251746,0.838057220690132,5,0
1,1999-11-18 00:00:00,0,0.03861309488399286,0.06823133500506612,1.942890293094024e-16,0.06823133500506612,1.6653345369377348e-16,8383.612433505028,42854.48291197174,2.184089460044561,6,2
2,1999-11-19 00:00:00,0,0.03854754702587989,0.013121919100559095,2.220446049250313e-16,0.07450544044998585,0.0,2864.626698078381,18164.149759046966,4.986010502766646,5,2
3,1999-11-20 00:00:00,0,0.03333333333333333,0.010218571707919052,0.0,0.029100388715437592,0.0,758.4104449409617,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.04914704614279425,0.018608577696052966,5.551115123125783e-17,0.03717263221997967,1.1102230246251565e-16,2860.8856970986703,11088.9442252836,6.826621853725584,4,2
5,1999-11-22 00:00:00,0,0.03525379004587837,0.018608577696052966,0.0,0.03981401794492356,0.0,1688.6380948988917,13170.127228093646,1.2856355075383163,4,2
6,1999-11-23 00:00:00,0,0.0786171664001147,0.008106304249393641,1.1102230246251565e-16,0.013189236858489177,1.249000902703301e-16,12112.494474721354,38656.573597538205,8.889088876640614,5,1
7,1999-11-24 00:00:00,1,0.029583831366603447,0.03886471130969298,3.7007434154171886e-16,0.04061679455199621,2.220446049250313e-16,6714.321760038052,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.02466964028725465,0.01671028437234642,1.4802973661668753e-16,0.04550615479091291,0.0,4326.052209105193,46299.42057099687,1.0210371488934165,5,3
9,1999-11-26 00:00:00,1,0.031145818753543348,0.02195173597415547,5.551115123125783e-17,0.048904092100164415,0.0,11940.011837395165,61054.28314682403,0.5081542923500493,6,4
10,1999-11-27 00:00:00,1,0.03117963971542288,0.004750232279263453,7.771561172376095e-17,0.038495041476304684,0.0,8744.925788491952,40052.76372256911,0.5909191205392474,5,5
