method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
RA-MTM,0,0,0.0403171435057511,,,,False,True,,19.039176783791405,14.201119563101273,0.01248966380869934,2.9975193140878416
RA-MTM,0,1,0.0311882189312349,,,,False,True,,63.76896463621363,60.026378364465444,0.5995038628175683,143.88092707621638
RA-MTM,0,2,0.0403171435057511,,,,False,False,,68.67572991732196,73.51378713801209,0.14987596570439207,35.970231769054095
RA-MTM,0,3,0.014285532219145006,,,,False,True,,20.404537557665027,22.118801423962427,0.1873449571304901,44.962789711317626
RA-MTM,0,4,0.0403171435057511,,,,False,True,,65.81147482166696,70.6495320423571,5.395534765358114,1294.9283436859475
RA-MTM,1,5,0.05153407883370467,,,,False,False,,71.94690677139417,78.13099623143873,0.02497932761739868,5.995038628175683
RA-MTM,1,6,0.03306684370705,,,,False,False,,73.6536077387362,77.6216289835822,0.01248966380869934,2.9975193140878416
RA-MTM,1,7,0.025434312060091814,,,,False,False,,77.49368491525576,74.44156746804474,0.09991731046959472,23.980154512702732
RA-MTM,1,4,0.05153407883370467,0.09185122233945578,1.6653345369377348e-16,0.09185122233945578,True,True,0.5572354211663066,69.98626759783863,63.80217813779407,3.6095128407141095,866.2830817713863
RA-MTM,1,8,0.03978334041787456,,,,False,False,,34.399485489869626,29.62548463972468,0.01248966380869934,2.9975193140878416
RA-MTM,1,3,0.030325915451531436,0.04461144767067644,2.220446049250313e-16,0.04461144767067644,True,True,0.21052631578947367,23.44356637693211,19.80445652274834,0.38717957806967956,92.92309873672309
RA-MTM,2,9,0.039363509587552296,,,,False,False,,66.64394305143858,71.36756420194486,0.3497105866435815,83.93054079445956
RA-MTM,2,10,0.022751421454936485,,,,False,True,,92.1261358558499,94.85630643044227,1.061621423739444,254.78914169746653
RA-MTM,2,11,0.0362145989118351,,,,False,False,,69.77474190386796,74.12049377328817,0.13738630189569273,32.972712454966256
RA-MTM,2,3,0.02347810179589208,0.0068478136556393565,2.220446049250313e-16,0.03776363401503709,True,True,0.17218543046357615,31.10298088171584,28.28560866620879,1.8234909160701036,437.6378198568249
RA-MTM,2,4,0.07093010337918351,0.019396024545478834,2.220446049250313e-16,0.1112472468849346,True,True,0.12418300653594772,75.85680353294137,67.34519112743935,0.6869315094784637,164.86356227483128
