t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.014958672846707924,,,,0.0,13233.462048716752,37728.458643251746,0.838057220690132,5,0
1,1999-11-18 00:00:00,0,0.019591138966412045,0.02691645312668777,1.942890293094024e-16,0.02691645312668777,1.6653345369377348e-16,11876.66662822445,42854.48291197174,2.184089460044561,6,2
2,1999-11-19 00:00:00,0,0.03523777964244479,0.02853849690076058,2.220446049250313e-16,0.049804483378931355,0.0,3217.1491014395096,18164.149759046966,4.986010502766646,5,2
3,1999-11-20 00:00:00,0,0.008333333333333333,0.014666181337381876,0.0,0.019320103683388976,0.0,1124.8814785755278,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.04751661136018557,0.029811373939324662,5.551115123125783e-17,0.04107128954506988,1.1102230246251565e-16,3013.7834887998047,11088.9442252836,6.826621853725584,4,2
5,1999-11-22 00:00:00,0,0.019046962562819302,0.021751185861680906,0.0,0.019320103683388976,0.0,2434.2989614904773,13170.127228093646,1.2856355075383163,4,2
6,1999-11-23 00:00:00,0,0.069968943444177,0.010769397387518727,1.1102230246251565e-16,0.004700942794095298,1.249000902703301e-16,13085.168432076394,38656.573597538205,8.889088876640614,5,1
7,1999-11-24 00:00:00,1,0.008333333333333333,0.05334218975895827,3.7007434154171886e-16,0.05177520882759318,2.220446049250313e-16,7985.139343683038,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.013544381009248901,0.005016993494685718,1.4802973661668753e-16,0.0487625579726973,0.0,5016.280057411517,46299.42057099687,1.0210371488934165,5,3
9,1999-11-26 00:00:00,1,0.012567952436250413,0.010056572514542202,5.551115123125783e-17,0.04300792446276428,0.0,13763.546527216064,61054.28314682403,0.5081542923500493,6,4
10,1999-11-27 00:00:00,1,0.011432028380566492,0.002239455098206526,7.771561172376095e-17,0.0335845362031582,0.0,10252.817824127744,40052.76372256911,0.5909191205392474,5,5
11,1999-11-28 00:00:00,1,0.04001075725764469,0.04140252921054251,0.0,0.0657314747814519,0.0,13819.37622479414,60617.648132087284,6.9119239996932365,6,4
