t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18546789476943176,,,,0.0,36573.29855947101,37728.458643251746,0.0,5,0
1,1999-11-18 00:00:00,0,0.19787212775605958,0.030057589980994816,0.4253464786620262,0.030057589980994816,0.4253464786619935,41488.92930748996,42854.48291197174,0.0,6,2
2,1999-11-19 00:00:00,0,0.21922439194470802,0.05637479349953778,0.021309786586759416,0.08643238348053259,0.446656265248748,17626.51823734768,18164.149759046966,0.0,5,2
3,1999-11-20 00:00:00,0,0.09995379850519737,0.20069106090725222,1.82702760806552,0.2451617112835256,1.3803713428167719,2272.572719951762,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.2045785931106431,0.01798639003974459,0.6931471805599513,0.2631481013232702,0.687224162256822,10752.636277242018,11088.9442252836,0.0,4,2
5,1999-11-22 00:00:00,0,0.1465024289869423,0.07998479354416181,1.3009345121687388,0.1831633077791084,0.6137103499119095,12744.386557102109,13170.127228093646,0.0,4,2
6,1999-11-23 00:00:00,0,0.16672017656482516,0.10085746310821277,0.5187937934151692,0.09176282326433831,0.09491655649674242,37488.01899771465,38656.573597538205,0.0,5,1
7,1999-11-24 00:00:00,1,0.203266930528983,0.055255263768688716,0.6632942174102597,0.024667656013909283,0.7582107739070074,35981.49769103725,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.2568359810539852,0.06640340715051737,0.493876065452216,0.08378300294892006,0.2643347084547869,44934.349918191736,46299.42057099687,0.0,5,3
9,1999-11-26 00:00:00,1,0.23121644701748237,0.05011909593572625,0.10227884912041138,0.10966488573356566,0.16205585933436964,59322.64513782014,61054.28314682403,0.0,6,4
10,1999-11-27 00:00:00,1,0.2018125999016053,0.03370670253468634,0.326836009871339,0.09965190516596568,0.1647801505369667,38851.69327774158,40052.76372256911,0.0,5,5
11,1999-11-28 00:00:00,1,0.23787600944817092,0.03466381363942346,0.3199155670267608,0.12502136421930482,0.1551354164897954,59061.25164204163,60617.648132087284,0.0,6,4
12,1999-11-29 00:00:00,1,0.24348511453511662,0.026887381511245825,0.27728336523089175,0.08482857896472998,0.1221479487410863,39181.88493899933,40344.21211858167,0.0,5,4
13,1999-11-30 00:00:00,1,0.18756184409779658,0.03774848997554347,0.13203922621984623,0.10070931473883521,0.009891277478742445,40259.143071931445,41504.68517790583,0.0,5,4
14,1999-12-01 00:00:00,2,0.2591859457639556,0.04327812222242294,0.1157969376847497,0.1018804038777474,0.1256882151634963,75221.25517665593,77477.72847657466,0.0,6,5
15,1999-12-02 00:00:00,2,0.21302545379219037,0.03766838696827918,1.1834511686051365,0.11476910811574523,1.0577629534416422,20361.642064219894,20978.505507222195,0.0,5,4
16,1999-12-03 00:00:00,2,0.2444060911443018,0.04387904425471661,0.7720513249771424,0.15864815237046181,0.2857116284644807,53308.46549187506,54875.049046410735,0.0,6,4
17,1999-12-04 00:00:00,2,0.254388202771949,0.04507580542357151,0.06572265389878562,0.2340473164544937,0.21998897456569325,23194.81268443587,23877.313619110962,0.0,4,3
18,1999-12-05 00:00:00,2,0.25347829306500674,0.013139404549277985,0.41021571086675984,0.24586659484892848,0.1902267363010662,69282.45497019487,70951.48290010258,0.0,6,3
19,1999-12-06 00:00:00,2,0.24479393550570475,0.05265505522812609,0.20778816323101587,0.19483913861647717,0.01756142692994854,51936.306489992385,53390.352954670576,0.0,6,4
20,1999-12-07 00:00:00,2,0.23301836769033027,0.055358274683724076,0.024834132037751727,0.18755888334402204,0.04239555896768842,54790.21794403436,56425.093368672664,0.0,6,4
21,1999-12-08 00:00:00,3,0.18420703463921662,0.06468514338149972,0.3838495176322226,0.11418104422973738,0.42624507659990996,21519.142856737097,22170.620497627984,0.0,4,4
22,1999-12-09 00:00:00,3,0.25524633443030514,0.09424576541854808,0.41061975869682876,0.2438269358120042,0.015625317903080145,10899.303981309846,11237.222474815124,0.0,3,3
23,1999-12-10 00:00:00,3,0.2407781683922011,0.09580814834246358,0.37398897600613834,0.24991276706439045,0.3583636581030642,47343.75485009133,48760.745695005906,0.0,5,3
24,1999-12-11 00:00:00,3,0.23416643857581293,0.06430086632642275,0.09446546625274967,0.2719003605081234,0.45282912435582395,34385.320978708034,35478.43727670012,0.0,5,3
25,1999-12-12 00:00:00,3,0.1796114629014368,0.023908907287633847,0.018750549345385115,0.28202634623524186,0.4715796737011982,47189.001479111095,48547.56533473617,0.0,6,2
26,1999-12-13 00:00:00,3,0.2470589273535889,0.05441595312238029,0.4273068500232229,0.19542912624000125,0.044272823677982596,19790.868628113534,20427.954878944554,0.0,4,4
27,1999-12-14 00:00:00,3,0.20986899383101817,0.07056443496213419,0.7568629949460863,0.1420426782292402,0.8011358186240425,8059.092793947686,8323.627777031028,0.0,3,2
28,1999-12-15 00:00:00,4,0.21959354559191008,0.06560480434016108,1.185379971249319,0.19298167991650317,0.38424415262527783,42452.682827812314,43791.31992442668,0.0,5,1
29,1999-12-16 00:00:00,4,0.24250754916903572,0.04982187351187652,0.3921493321324032,0.1141491001507109,0.00790517950711426,23901.330479552198,24691.636589381058,0.0,4,3
30,1999-12-17 00:00:00,4,0.20502214815128547,0.024660025228208107,0.24622535877339038,0.013114916176194235,0.2541305382805514,57053.49637135858,58622.5993287405,0.0,6,3
31,1999-12-18 00:00:00,4,0.25237799868335686,0.03392947616044078,0.42722328863686904,0.03283320960336246,0.17309275035633181,47055.69415259176,48480.54106838224,0.0,5,5
32,1999-12-19 00:00:00,4,0.19226812757539924,0.02632468511827744,0.7217089004998287,0.04316287965230976,0.8948016439322282,35779.81897918529,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.22444935989413844,0.04486972225975411,0.3835824037823645,0.05975273208274071,0.5112192470735779,24136.78788963803,24841.57076789314,0.0,4,4
34,1999-12-21 00:00:00,4,0.20132630412002794,0.035863182266349096,0.4707122627938169,0.10159451616932637,0.04050698427981408,31429.0867639786,32384.480933168805,0.0,5,3
35,1999-12-22 00:00:00,5,0.2602055666064688,0.03273963324692686,0.6496830723903826,0.12577676974841584,0.6901900566702046,40125.04899351141,41302.58014617845,0.0,5,3
36,1999-12-23 00:00:00,5,0.24987944441197243,0.03889115680927624,0.22240345013331317,0.13113178869634354,0.4677866065369296,46041.92639414371,47434.50023429328,0.0,5,4
37,1999-12-24 00:00:00,5,0.21916436353928717,0.02838952906238495,1.4252684955513992,0.0615961284919759,0.9574818890147385,68527.86684868122,70549.38786807212,0.0,6,4
38,1999-12-25 00:00:00,5,0.1216757372987933,0.052106689117615825,0.6268977950187852,0.04949758634845736,0.33058409399599203,31263.6063755073,32246.647879852044,0.0,5,3
39,1999-12-26 00:00:00,5,0.11584927575991219,0.04247719376184117,1.255506454441106,0.06309693047908557,1.5860905484371106,23083.06959683066,23853.192624819076,0.0,4,2
40,1999-12-27 00:00:00,5,0.17721538928693797,0.018226651766236612,3.1027740673796,0.018226651766236612,1.5166835189418557,3373.4014993098535,3498.1336988074568,0.0,2,2
41,1999-12-28 00:00:00,5,0.19028554419348212,0.07580592842617359,2.409626886819013,0.039553241237771354,0.8929433678771629,13123.571051801904,13548.93331878835,0.0,4,1
42,1999-12-29 00:00:00,6,0.16139390118931346,0.0690053231250135,0.9465960813694779,0.049228702506127826,0.05365271349231911,12894.928651739057,13279.001154956612,0.0,4,2
43,1999-12-30 00:00:00,6,0.1830009391801021,0.10166784783461458,0.3359390454595542,0.08203285842725366,0.3895917589518755,16063.976744001524,16576.836507160555,0.0,4,2
44,1999-12-31 00:00:00,6,0.19522731621108141,0.08904088235988121,0.35159539819543256,0.11154425996241102,0.7411871571473065,22974.43374520151,23684.148918830473,0.0,4,3
45,2000-01-01 00:00:00,6,0.23791163628027454,0.03173174805206469,0.09231280026534952,0.09377193172440826,0.6488743568819568,33599.15787633964,34624.12259755617,0.0,5,4
46,2000-01-02 00:00:00,6,0.251672224761892,0.021236333597181897,1.1427835069812455,0.11091869464402875,0.4939091500992866,68194.2060219842,70270.87477094447,0.0,6,4
47,2000-01-03 00:00:00,6,0.13424088220073607,0.045751276905468166,0.41403047096707246,0.0709283465168803,0.07987867913220416,55014.32337138159,56725.004189895095,0.0,6,4
48,2000-01-04 00:00:00,6,0.18726071277962855,0.03188910559965052,0.5138062519041384,0.09504470449527187,0.4339275727719263,24585.632130555106,25316.57625887992,0.0,4,4
49,2000-01-05 00:00:00,7,0.16747148935115108,0.03653499158096391,0.3508609740733545,0.12858953312229152,0.0830665986986117,39470.35888260409,40648.33684806704,0.0,5,4
50,2000-01-06 00:00:00,7,0.266096261921408,0.07931332063121675,0.00909924385511457,0.25256377967547383,0.07396735484349473,25699.123544214468,26527.465847221145,0.0,4,2
51,2000-01-07 00:00:00,7,0.16493984313372673,0.08377891852882223,0.5144752628536688,0.20576681862949,0.5884426176970414,21922.65532227108,22600.77620076499,0.0,4,3
52,2000-01-08 00:00:00,7,0.14530700697906018,0.08590710701563535,0.6392620920649623,0.18784356516167108,1.2277047097620053,11016.728855026504,11365.838269810725,0.0,4,3
53,2000-01-09 00:00:00,7,0.16598490344722922,0.02857503977916241,0.2842278375836892,0.29295840082749447,0.9434768721783164,32156.176431578602,33157.33487053559,0.0,6,2
54,2000-01-10 00:00:00,7,0.19246150201660556,0.06657619148367262,1.0106435421817241,0.10003254318505524,0.06716664354383657,90330.02282302477,93133.8903966865,0.0,8,4
55,2000-01-11 00:00:00,7,0.17586856687254235,0.04770222642139439,0.4012633947948999,0.14082069860011326,0.46843006479830424,47114.32671021971,48559.38383135592,0.0,5,4
56,2000-01-12 00:00:00,8,0.1512802513223234,0.05409883502866768,0.16734000317833747,0.15718237420255815,0.6357700679766429,60045.3617544095,61925.846903457554,0.0,6,4
