t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.2978021387623214,,,,0.0,2098.0854273764153,37728.458643251746,0.0,5,0
1,1999-11-18 00:00:00,0,0.3916368650392124,0.0433142846225217,0.4253464786620262,0.04331428462252168,0.4253464786619935,653.9690692597046,42854.48291197174,0.0,6,2
2,1999-11-19 00:00:00,0,0.30508041786714596,0.05637479350018976,0.021309786586759416,0.08643238348118462,0.446656265248748,1625.2926392216002,18164.149759046966,0.0,5,2
3,1999-11-20 00:00:00,0,0.2617020481685411,0.22323108158602686,1.82702760806552,0.2613102828327862,1.3803713428167719,1.8902730073997238,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.22733088670160895,0.05507131934819851,0.6931471805599514,0.20623896348458765,0.687224162256822,416.5368518934665,11088.9442252836,0.0,4,2
5,1999-11-22 00:00:00,0,0.3683118381013515,0.0622102884887287,1.3009345121687388,0.14402867499585897,0.6137103499119094,106.47234904133146,13170.127228093646,0.0,4,2
6,1999-11-23 00:00:00,0,0.3399631469552674,0.1008574648641081,0.5187937934151692,0.059019637844773896,0.09491655649674254,2613.0528029215006,38656.573597538205,0.0,5,1
7,1999-11-24 00:00:00,1,0.3916241142618633,0.06503310721337169,0.6632942174102597,0.04535989459844705,0.7582107739070076,3143.4679813576786,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.07357871113239604,0.2820145193569257,0.4938760654522161,0.23665462475847865,0.2643347084547869,3191.59051651802,46299.42057099687,0.0,5,3
9,1999-11-26 00:00:00,1,0.15720562875412472,0.247241537772844,0.10227884912041132,0.42473250634170295,0.16205585933436986,6668.938390880926,61054.28314682403,0.0,6,4
10,1999-11-27 00:00:00,1,0.20141108665910404,0.05724876375924039,0.326836009871339,0.30196710944912025,0.16478015053696649,2655.1060764472522,40052.76372256911,0.0,5,5
11,1999-11-28 00:00:00,1,0.3622343445200933,0.07918682630406962,0.31991556702676077,0.41546250544233243,0.1551354164897954,12948.473158782943,60617.648132087284,0.0,6,4
12,1999-11-29 00:00:00,1,0.38271628389611934,0.26801421031461237,0.2772833652308917,0.5471670653006819,0.1221479487410863,3918.2938585992592,40344.21211858167,0.0,5,4
13,1999-11-30 00:00:00,1,0.36679551314336756,0.12417120746277183,0.1320392262198462,0.4905623814565371,0.009891277478742334,2340.886819647182,41504.68517790583,0.0,5,4
14,1999-12-01 00:00:00,2,0.5079116302197512,0.05144986659290972,0.11579693768474966,0.43893020822922013,0.1256882151634964,7970.443220132452,77477.72847657466,0.0,6,5
15,1999-12-02 00:00:00,2,0.4351010859802689,0.20133314107927225,1.1834511686051365,0.606068608169599,1.0577629534416422,1936.8118712884539,20978.505507222195,0.0,5,4
16,1999-12-03 00:00:00,2,0.5420182560419744,0.062007943070303106,0.7720513249771424,0.6680765512399021,0.28571162846448095,6442.50974362528,54875.049046410735,0.0,6,4
17,1999-12-04 00:00:00,2,0.4986567973502636,0.13485559831202942,0.06572265389878569,0.6224333026130067,0.21998897456569325,2411.1312796394413,23877.313619110962,0.0,4,3
18,1999-12-05 00:00:00,2,0.3506662781347936,0.33214243000778454,0.4102157108667597,0.5157500330739134,0.1902267363010662,17848.871002377375,70951.48290010258,0.0,6,3
19,1999-12-06 00:00:00,2,0.515668077644725,0.40089795650397714,0.20778816323101595,0.6382897716754011,0.01756142692994865,5089.238653776478,53390.352954670576,0.0,6,4
20,1999-12-07 00:00:00,2,0.4874747359925291,0.06852377483828039,0.024834132037751783,0.6969050010557024,0.04239555896768853,5873.583398308882,56425.093368672664,0.0,6,4
21,1999-12-08 00:00:00,3,0.4811672313679066,0.0912475899578909,0.3838495176322225,0.5383663837524064,0.4262450765999102,2650.4345374601226,22170.620497627984,0.0,4,4
22,1999-12-09 00:00:00,3,0.48282466605446855,0.09424576541854801,0.4106197586968287,0.592034013568386,0.015625317903080145,596.7272799695236,11237.222474815124,0.0,3,3
23,1999-12-10 00:00:00,3,0.5035687504378501,0.15192263972151798,0.3739889760061381,0.44011137384686805,0.3583636581030643,5375.765369314524,48760.745695005906,0.0,5,3
24,1999-12-11 00:00:00,3,0.47417302079135404,0.076936714463971,0.09446546625274967,0.34991748897120445,0.45282912435582395,1466.637180973812,35478.43727670012,0.0,5,3
25,1999-12-12 00:00:00,3,0.48885796263994247,0.02654482062477436,0.018750549345385115,0.018520803805649303,0.4715796737011982,6608.437241964193,48547.56533473617,0.0,6,2
26,1999-12-13 00:00:00,3,0.5039119682249522,0.1278906246751742,0.4273068500232229,0.12942506687322014,0.044272823677982596,193.97689455877634,20427.954878944554,0.0,4,4
27,1999-12-14 00:00:00,3,0.4736854637486834,0.08619526899943333,0.7568629949460863,0.2233770712715055,0.8011358186240425,3.369312914638653,8323.627777031028,0.0,3,2
28,1999-12-15 00:00:00,4,0.6509820803205806,0.06560480428689543,1.185379971249319,0.2976693054150005,0.38424415262527783,2501.683952806897,43791.31992442668,0.0,5,1
29,1999-12-16 00:00:00,4,0.42123996943410424,0.06397259658452056,0.3921493321324032,0.1490449726581288,0.007905179507114482,284.38270911548926,24691.636589381058,0.0,4,3
30,1999-12-17 00:00:00,4,0.32846540680066516,0.10557410892336144,0.24622535877339038,0.10420054062091637,0.2541305382805514,10562.21692312729,58622.5993287405,0.0,6,3
31,1999-12-18 00:00:00,4,0.533793343839732,0.1851900203518379,0.42722328863686904,0.2326496480047981,0.17309275035633181,3095.3266286590365,48480.54106838224,0.0,5,5
32,1999-12-19 00:00:00,4,0.47671257638420866,0.16127339547352343,0.7217089004998287,0.13219515504804066,0.8948016439322282,4354.027081937028,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.4867574463972029,0.0861790569993117,0.38358240378236463,0.08204675909453489,0.5112192470735779,2881.035443614331,24841.57076789314,0.0,4,4
34,1999-12-21 00:00:00,4,0.3870241336246988,0.03836369455320949,0.4707122627938169,0.09251581303283435,0.04050698427981408,2770.6422276961703,32384.480933168805,0.0,5,3
35,1999-12-22 00:00:00,5,0.3431097027122303,0.08404462682675136,0.6496830723903826,0.11051366205460662,0.6901900566702046,4688.66347438563,41302.58014617845,0.0,5,3
36,1999-12-23 00:00:00,5,0.5218337466009035,0.21462935993911172,0.22240345013331317,0.2789855586484733,0.4677866065369296,4188.717239003941,47434.50023429328,0.0,5,4
37,1999-12-24 00:00:00,5,0.45407051021287553,0.10865374300834678,1.4252684955513992,0.12114838523271344,0.9574818890147385,7607.816023021622,70549.38786807212,0.0,6,4
38,1999-12-25 00:00:00,5,0.5421492584069105,0.05210669011251292,0.6268977950187852,0.1220293917825636,0.3305840939959918,2057.480612991492,32246.647879852044,0.0,5,3
39,1999-12-26 00:00:00,5,0.7383278671928183,0.09659142207592489,1.255506454441106,0.11451903333645536,1.5860905484371104,307.9278021841715,23853.192624819076,0.0,4,2
40,1999-12-27 00:00:00,5,0.734457773219379,0.07964613665981507,3.1027740673795994,0.07964613665981508,1.5166835189418557,35.494217338025386,3498.1336988074568,0.0,2,2
41,1999-12-28 00:00:00,5,0.4373873887479727,0.0758059284250594,2.409626886819013,0.13722541331863786,0.8929433678771628,428.83287757061396,13548.93331878835,0.0,4,1
42,1999-12-29 00:00:00,6,0.29955202437715905,0.14653759972275568,0.9465960813694777,0.09481796928962224,0.053652713492318885,1562.2401162090327,13279.001154956612,0.0,4,2
43,1999-12-30 00:00:00,6,0.37631463812958604,0.12147893925003744,0.3359390454595542,0.1308689465520713,0.38959175895187537,718.9633061864799,16576.836507160555,0.0,4,2
44,1999-12-31 00:00:00,6,0.42009788262115133,0.08904088235993483,0.35159539819543256,0.09229610027091473,0.7411871571473065,2052.698779520379,23684.148918830473,0.0,4,3
45,2000-01-01 00:00:00,6,0.48237113384103775,0.03376371240498739,0.09231280026534948,0.07472081565649794,0.6488743568819566,2942.158472933048,34624.12259755617,0.0,5,4
46,2000-01-02 00:00:00,6,0.583428529524729,0.021228719566866568,1.1427835069812455,0.08358003351166998,0.4939091500992866,6077.165195763385,70270.87477094447,0.0,6,4
47,2000-01-03 00:00:00,6,0.3899783943879001,0.07847932125363474,0.41403047096707235,0.0753619161441052,0.07987867913220416,4447.897850169646,56725.004189895095,0.0,6,4
48,2000-01-04 00:00:00,6,0.38108912491919916,0.04009390611453245,0.5138062519041384,0.11545582225863764,0.4339275727719264,2857.603093638604,25316.57625887992,0.0,4,4
49,2000-01-05 00:00:00,7,0.3381275148646524,0.03653499151781295,0.3508609740733546,0.1451253501385977,0.08306659869861148,4186.4557525934,40648.33684806704,0.0,5,4
50,2000-01-06 00:00:00,7,0.5655252482074753,0.07931332128683462,0.009099243855114653,0.19188717298149302,0.07396735484349473,899.0779056362646,26527.465847221145,0.0,4,2
51,2000-01-07 00:00:00,7,0.36050616679483233,0.19203011620746802,0.5144752628536687,0.19151139580781865,0.5884426176970415,2328.706969619932,22600.77620076499,0.0,4,3
52,2000-01-08 00:00:00,7,0.212604801237749,0.1277613502077812,0.6392620920649624,0.2086043631053521,1.2277047097620053,939.955184997728,11365.838269810725,0.0,4,3
53,2000-01-09 00:00:00,7,0.18526835214138407,0.02857503972287967,0.2842278375836891,0.3060208891751989,0.9434768721783163,2258.980640513226,33157.33487053559,0.0,6,2
