t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18538665830323875,,,,0.0,36284.68479338684,37728.458643251746,0.0,5,0
1,1999-11-18 00:00:00,0,0.19341956214678402,0.03763503215901036,1.942890293094024e-16,0.03763503215901036,0.0,42160.30429467079,42854.48291197174,0.0,6,2
2,1999-11-19 00:00:00,0,0.21738458828000212,0.044336544056714444,1.1102230246251565e-16,0.08197157621572479,1.6653345369377348e-16,17468.14720931642,18164.149759046966,0.0,5,2
3,1999-11-20 00:00:00,0,0.09779902334779299,0.19921617192129787,3.3306690738754696e-16,0.24280465708162347,2.220446049250313e-16,2198.4528266835755,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.20439000009070313,0.02051150375180848,1.6653345369377348e-16,0.263316160833432,1.1102230246251565e-16,10706.5675628274,11088.9442252836,0.0,4,2
5,1999-11-22 00:00:00,0,0.14504572938485047,0.07767084921354446,0.0,0.1856453116198875,2.220446049250313e-16,12919.385313968347,13170.127228093646,0.0,4,2
6,1999-11-23 00:00:00,0,0.16515721352770202,0.10076521595687057,1.1102230246251565e-16,0.09026425119616573,3.608224830031759e-16,37139.55141254595,38656.573597538205,0.0,5,1
7,1999-11-24 00:00:00,1,0.20329632759198177,0.056454573257597535,3.7007434154171886e-16,0.026366489525542294,2.220446049250313e-16,35669.018857852934,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.266410938083706,0.07184056991955595,1.4802973661668753e-16,0.09019505442382401,2.7755575615628914e-16,45032.67327033434,46299.42057099687,0.0,5,3
9,1999-11-26 00:00:00,1,0.23650773009929282,0.05184054708010086,5.551115123125783e-17,0.11156213921255266,1.3877787807814457e-16,59473.73915183033,61054.28314682403,0.0,6,4
