t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.21721813061888923,,,,0.0,7290.97835898319,37728.458643251746,0.0,5,0
1,1999-11-18 00:00:00,0,0.1705645543928265,0.2696409233143282,1.1102230246251565e-16,0.2696409233143282,1.6653345369377348e-16,25236.238127128614,42854.48291197174,0.0,6,2
2,1999-11-19 00:00:00,0,0.2334417660886124,0.3242502065004731,0.0,0.08126297755323503,0.0,3802.246012019973,18164.149759046966,0.0,5,2
3,1999-11-20 00:00:00,0,0.26457159741840974,0.1655248816404822,0.0,0.17885172882402728,2.220446049250313e-16,4.258295625598238,2350.9344937571113,0.0,2,2
4,1999-11-21 00:00:00,0,0.21601670741039514,0.06065861013433735,1.6653345369377348e-16,0.23951033895836465,2.220446049250313e-16,2400.502268345435,11088.9442252836,0.0,4,2
5,1999-11-22 00:00:00,0,0.21232743781989263,0.052740081799055004,0.0,0.2417302140035209,2.220446049250313e-16,6430.571003109483,13170.127228093646,0.0,4,2
6,1999-11-23 00:00:00,0,0.2508377926041972,0.09794079641237108,0.0,0.027723532710819163,3.608224830031759e-16,6790.739865724174,38656.573597538205,0.0,5,1
7,1999-11-24 00:00:00,1,0.31365694869961713,0.08725419590952088,3.7007434154171886e-16,0.07801301833924783,1.1102230246251565e-16,7110.148586680401,37069.00137035612,0.0,5,3
8,1999-11-25 00:00:00,1,0.4156694063553149,0.22825961421731514,1.4802973661668753e-16,0.25549084586143883,1.6653345369377348e-16,15712.959399868023,46299.42057099687,0.0,5,3
9,1999-11-26 00:00:00,1,0.32566717860856315,0.08462398822161313,1.1102230246251565e-16,0.2174778721312847,1.3877787807814457e-16,22746.056956808625,61054.28314682403,0.0,6,4
10,1999-11-27 00:00:00,1,0.24771388448349313,0.12625807385676066,1.2281842209915794e-16,0.22465118962118485,0.0,15528.421790965422,40052.76372256911,0.0,5,5
11,1999-11-28 00:00:00,1,0.407300277336433,0.15246571038861279,1.1796119636642288e-16,0.43294623715654,2.7755575615628914e-16,16488.158228261014,60617.648132087284,0.0,6,4
12,1999-11-29 00:00:00,1,0.1348330647157437,0.5391459467546746,1.5265566588595902e-16,0.44559060542960394,0.0,12413.576973385801,40344.21211858167,0.0,5,4
13,1999-11-30 00:00:00,1,0.25707719661281747,0.2012508103461117,1.3877787807814457e-16,0.18544147134185296,1.1275702593849246e-16,11287.196224931771,41504.68517790583,0.0,5,4
14,1999-12-01 00:00:00,2,0.27247290396535856,0.09066058627227722,1.554312234475219e-16,0.10933549685226696,0.0,23642.636587525805,77477.72847657466,0.0,6,5
15,1999-12-02 00:00:00,2,0.264529606823693,0.05495352791587168,4.163336342344337e-17,0.10522396777156523,0.0,5782.147498392291,20978.505507222195,0.0,5,4
16,1999-12-03 00:00:00,2,0.31224860502974805,0.06719012047310427,0.0,0.17241408824466947,1.6653345369377348e-16,17812.798442889838,54875.049046410735,0.0,6,4
17,1999-12-04 00:00:00,2,0.15090302838418643,0.20946318515352422,0.0,0.29354809327295683,1.6653345369377348e-16,4588.446295703934,23877.313619110962,0.0,4,3
18,1999-12-05 00:00:00,2,0.2908141342522406,0.23785174610828097,1.295260195396016e-16,0.2608443243015311,2.7755575615628914e-16,22289.697343627624,70951.48290010258,0.0,6,3
19,1999-12-06 00:00:00,2,0.17524130057568224,0.03034787066415314,8.326672684688674e-17,0.17325294826775325,0.0,17328.956689042476,53390.352954670576,0.0,6,4
20,1999-12-07 00:00:00,2,0.1660720900114967,0.22213603384924605,5.551115123125783e-17,0.27034409822673716,4.3021142204224816e-16,16427.815428083835,56425.093368672664,0.0,6,4
21,1999-12-08 00:00:00,3,0.17116513735159655,0.07659341128068096,1.700029006457271e-16,0.18738449664425028,0.0,5807.106889499265,22170.620497627984,0.0,4,4
22,1999-12-09 00:00:00,3,0.10948427218198727,0.06799576541854813,0.0,0.23401424907480883,2.185751579730777e-16,2368.60668403974,11237.222474815124,0.0,3,3
23,1999-12-10 00:00:00,3,0.12179162452390031,0.079523233504096,5.551115123125783e-17,0.21428639551000153,0.0,8260.959494831955,48760.745695005906,0.0,5,3
24,1999-12-11 00:00:00,3,0.2410649527790903,0.1071090120630555,7.401486830834377e-17,0.29971786585625193,1.6653345369377348e-16,10241.970723417218,35478.43727670012,0.0,5,3
25,1999-12-12 00:00:00,3,0.25621400258771315,0.055367240650854486,2.220446049250313e-16,0.32068761803466816,0.0,11687.178135578053,48547.56533473617,0.0,6,2
26,1999-12-13 00:00:00,3,0.1774382537218666,0.09134746625298834,1.3877787807814457e-16,0.1763587349775981,2.3592239273284576e-16,6879.022906204071,20427.954878944554,0.0,4,4
27,1999-12-14 00:00:00,3,0.08808559676917137,0.07204744514147887,0.0,0.173518723186361,0.0,2248.956767430172,8323.627777031028,0.0,3,2
28,1999-12-15 00:00:00,4,0.21973625006852182,0.018521471007712797,0.0,0.23665891451330415,1.6653345369377348e-16,3852.443629074554,43791.31992442668,0.0,5,1
29,1999-12-16 00:00:00,4,0.1597378134071285,0.0689799494785679,1.4802973661668753e-16,0.14786625431633596,1.1102230246251565e-16,5696.450625344895,24691.636589381058,0.0,4,3
30,1999-12-17 00:00:00,4,0.15802891062683302,0.051208741234514556,2.0354088784794536e-16,0.06865270337216885,3.3306690738754696e-16,17762.86599589365,58622.5993287405,0.0,6,3
31,1999-12-18 00:00:00,4,0.19533478197033943,0.053329576711647765,6.245004513516506e-17,0.08034577975562937,0.0,11628.083763679473,48480.54106838224,0.0,5,5
32,1999-12-19 00:00:00,4,0.23562374525372332,0.06380741438476879,9.020562075079397e-17,0.10477275449938223,2.220446049250313e-16,6771.496223509452,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.26927878350244994,0.14131640127250386,9.020562075079397e-17,0.14294939804637335,0.0,4313.247598194022,24841.57076789314,0.0,4,4
34,1999-12-21 00:00:00,4,0.32064490820421593,0.05627984887420173,7.401486830834377e-17,0.16807704493241893,2.0816681711721685e-16,7717.661671660609,32384.480933168805,0.0,5,3
35,1999-12-22 00:00:00,5,0.34412681080841956,0.07564481714547872,1.8503717077085943e-16,0.16131308770649413,0.0,14671.852471907225,41302.58014617845,0.0,5,3
36,1999-12-23 00:00:00,5,0.3116163444836255,0.14167377883522903,2.1510571102112408e-16,0.13357361797364103,0.0,9362.253936734887,47434.50023429328,0.0,5,4
37,1999-12-24 00:00:00,5,0.3802706631969415,0.1274190848488245,1.1102230246251565e-16,0.21848009173085947,0.0,20546.161661091017,70549.38786807212,0.0,6,4
38,1999-12-25 00:00:00,5,0.29551725578576793,0.3072430829817285,0.0,0.07995363262401689,1.6653345369377348e-16,4736.060220122283,32246.647879852044,0.0,5,3
39,1999-12-26 00:00:00,5,0.18199070061217187,0.03803639480788333,8.326672684688674e-17,0.08974252906932847,2.220446049250313e-16,1946.8411817669064,23853.192624819076,0.0,4,2
40,1999-12-27 00:00:00,5,0.10196426058371234,0.0248572359056883,2.220446049250313e-16,0.0248572359056883,2.220446049250313e-16,1.550081284045408,3498.1336988074568,0.0,2,2
41,1999-12-28 00:00:00,5,0.15624838077443307,0.09580592842619211,4.440892098500626e-16,0.060013707420933864,2.220446049250313e-16,3686.0881219360926,13548.93331878835,0.0,4,1
42,1999-12-29 00:00:00,6,0.23740378683921792,0.12203859384461924,5.551115123125783e-17,0.15204544755508617,0.0,3716.658559125487,13279.001154956612,0.0,4,2
43,1999-12-30 00:00:00,6,0.28445561163163674,0.11883867762387644,8.326672684688674e-17,0.15851309148420195,1.6653345369377348e-16,4840.251928114605,16576.836507160555,0.0,4,2
44,1999-12-31 00:00:00,6,0.23900440443434393,0.148546942152063,0.0,0.2542223364748643,0.0,3489.3152984098206,23684.148918830473,0.0,4,3
45,2000-01-01 00:00:00,6,0.3033770898872038,0.0369245802098382,8.326672684688674e-17,0.22049107646689792,1.1102230246251565e-16,5588.827876232682,34624.12259755617,0.0,5,4
46,2000-01-02 00:00:00,6,0.38986011174958574,0.022034364000685737,1.1102230246251565e-16,0.1380436863991792,1.6653345369377348e-16,22877.001480279356,70270.87477094447,0.0,6,4
47,2000-01-03 00:00:00,6,0.2795099060892364,0.04076109581958394,2.7755575615628914e-17,0.09022376879926945,2.3592239273284576e-16,11127.512347634698,56725.004189895095,0.0,6,4
48,2000-01-04 00:00:00,6,0.2693922203706851,0.03977361247534881,0.0,0.10326310001264541,1.6653345369377348e-16,5884.270332509604,25316.57625887992,0.0,4,4
49,2000-01-05 00:00:00,7,0.23974328780880222,0.048826658248679836,1.1058862159352145e-16,0.11043323862802537,0.0,7747.836670537497,40648.33684806704,0.0,5,4
50,2000-01-06 00:00:00,7,0.3200401508507444,0.10035498728699002,8.326672684688674e-17,0.3006552821698858,2.0816681711721685e-16,9718.055308900963,26527.465847221145,0.0,4,2
51,2000-01-07 00:00:00,7,0.3375962080692298,0.09628583165699456,1.4802973661668753e-16,0.26574448696545444,1.1102230246251565e-16,5382.2210780158875,22600.77620076499,0.0,4,3
52,2000-01-08 00:00:00,7,0.3414557120727233,0.07799044035944923,1.4802973661668753e-16,0.22529596144305888,4.440892098500626e-16,3256.9973105262393,11365.838269810725,0.0,4,3
53,2000-01-09 00:00:00,7,0.22298265798792796,0.023172366218887054,6.938893903907228e-17,0.32012316912207717,1.1102230246251565e-16,11364.30825718052,33157.33487053559,0.0,6,2
54,2000-01-10 00:00:00,7,0.23628897177997144,0.22118317048862013,0.0,0.2239274273122811,1.1102230246251565e-16,20313.150019721295,93133.8903966865,0.0,8,4
55,2000-01-11 00:00:00,7,0.26833784247252224,0.07744608954601555,2.7755575615628914e-17,0.23250937292481694,1.6653345369377348e-16,13616.92131189884,48559.38383135592,0.0,5,4
56,2000-01-12 00:00:00,8,0.18728034656189152,0.07134810471777997,6.960577947356938e-17,0.3038574776425969,2.220446049250313e-16,21382.530282510845,61925.846903457554,0.0,6,4
57,2000-01-13 00:00:00,8,0.2137908092066446,0.056556490450977326,1.249000902703301e-16,0.3328933495065942,2.7755575615628914e-16,23379.25573414892,51439.0455061527,0.0,5,4
58,2000-01-14 00:00:00,8,0.12465555273535212,0.07730006340845764,0.0,0.533931546349542,2.220446049250313e-16,15837.140410625647,37640.10857240182,0.0,6,2
