method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.08474333367049673,,,,False,True,,19.039176783791405,8.869976743331797,0.05,2.9975193140878416
TMTM,0,1,0.2133248991073486,,,,False,True,,63.76896463621363,38.1699767433318,2.4000000000000004,143.88092707621638
TMTM,0,2,0.180881276449918,,,,False,False,,68.67572991732196,46.9699767433318,0.6000000000000001,35.970231769054095
TMTM,0,3,0.5430453265472232,,,,False,True,,20.404537557665027,85.56997674333181,0.75,44.962789711317626
TMTM,0,4,0.06409581731945971,,,,False,True,,65.81147482166696,58.1199767433318,21.6,1294.9283436859475
TMTM,1,5,0.30272441690051977,,,,False,False,,71.94690677139417,35.6199767433318,0.1,5.995038628175683
TMTM,1,6,0.31486359162837,,,,False,False,,73.6536077387362,35.8699767433318,0.05,2.9975193140878416
TMTM,1,7,0.22353090143269963,,,,False,False,,77.49368491525576,50.6699767433318,0.4,23.980154512702732
TMTM,1,4,0.0984690904542236,0.03437327313476389,0.0,0.03437327313476389,True,True,0.5572354211663066,69.98626759783863,58.1699767433318,14.450000000000001,866.2830817713863
TMTM,1,8,0.045662572887815236,,,,False,False,,34.399485489869626,28.919976743331798,0.05,2.9975193140878416
TMTM,1,3,0.03813675305333071,0.5049085734938925,2.220446049250313e-16,0.5049085734938925,True,True,0.21052631578947367,23.44356637693211,28.019976743331796,1.55,92.92309873672309
TMTM,2,9,0.09811638590088988,,,,False,False,,66.64394305143858,54.8699767433318,1.4000000000000001,83.93054079445956
TMTM,2,10,0.34380132593765084,,,,False,True,,92.1261358558499,50.8699767433318,4.25,254.78914169746653
TMTM,2,11,0.137123043004468,,,,False,False,,69.77474190386796,53.3199767433318,0.55,32.972712454966256
TMTM,2,3,0.5163916321801331,0.47825487912680237,0.0,0.026653694367090117,True,True,0.17218543046357615,31.10298088171584,93.06997674333181,7.300000000000001,437.6378198568249
TMTM,2,4,0.07177644341992023,0.17024553387414385,0.0,0.13587226073937994,True,True,0.12418300653594772,75.85680353294137,84.4699767433318,2.75,164.86356227483128
TMTM,3,10,0.18358486359938303,0.16021646233826778,0.0,0.16021646233826778,True,True,0.055994729907773384,66.45016037525777,44.4199767433318,75.9,4550.234318785344
TMTM,3,3,0.3455583312374364,0.17083330094269664,0.0,0.19748699530978678,True,True,0.2908366533864542,53.50297699483943,94.9699767433318,25.1,1504.7546956720964
TMTM,4,10,0.16761679006056188,0.015968073538821178,2.220446049250313e-16,0.17618453587708896,True,True,0.29314888010540185,62.933991550599224,42.8199767433318,22.25,1333.8960947690896
TMTM,4,12,0.31724925846464813,,,,False,False,,92.68988775908957,54.6199767433318,1.3,77.93550216628388
TMTM,4,13,0.13899159660878765,,,,False,False,,79.74896833638631,63.06997674333179,2.1,125.89581119168935
TMTM,4,3,0.2402091845075829,0.10534914672985352,1.1102230246251565e-16,0.3028361420396403,True,True,0.8992395437262357,54.594874602421854,83.4199767433318,24.85,1489.7670991016573
TMTM,5,10,0.21813699681446058,0.05052020675389871,0.0,0.12566432912319023,True,False,0.41140529531568226,68.94641636106707,42.769976743331796,12.4,743.3847898937847
TMTM,5,14,0.16600190883933627,,,,False,False,,70.24020580405215,50.3199767433318,0.05,2.9975193140878416
TMTM,5,15,0.27992161796240206,,,,False,False,,29.279382587843553,62.869976743331804,0.55,32.972712454966256
TMTM,5,3,0.1852492276633716,0.054959956844211295,0.0,0.3577960988838516,True,True,0.030181086519114688,41.3400694237272,63.56997674333179,0.75,44.962789711317626
TMTM,6,16,0.08841959307521084,,,,False,True,,21.030327912357098,10.419976743331796,0.30000000000000004,17.985115884527048
TMTM,6,17,0.23113270362585914,,,,False,True,,39.555901178434894,11.819976743331797,2.35,140.88340776212854
TMTM,6,10,0.31607779322683166,0.09794079641237108,0.0,0.027723532710819163,True,True,0.23469387755102042,81.0493119305516,43.1199767433318,17.85,1070.1143951293595
TMTM,6,18,0.3797283168738029,,,,False,True,,22.452578718475454,68.0199767433318,0.45,26.977673826790575
TMTM,6,19,0.23883055621928134,,,,False,False,,40.710309997018044,69.3699767433318,2.15,128.8933305057772
TMTM,7,17,0.16416535774239038,0.06696734588346877,0.0,0.06696734588346877,True,True,0.2315270935960591,33.86981967241864,14.169976743331798,10.15,608.4964207598318
