t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.12845436842809532,,,,0.0,8275.797360843282,37728.45864325171,0.0,5,0
1,1999-11-18 00:00:00,0,0.1649786512115682,0.03280921107200223,0.4253464786620262,0.03280921107200223,0.4253464786619937,8010.357220658264,42854.482911971696,0.0,6,2
2,1999-11-19 00:00:00,0,0.23716061977288674,0.10854931539603818,0.021309786586746204,0.10750455719626073,0.4466562652487436,4471.225178695801,18164.14975904693,0.0,5,2
3,1999-11-20 00:00:00,0,0.03208046251934246,0.19553163994559086,1.82702760806552,0.23153246128007293,1.380371342816772,375.8572526338716,2350.93449375711,0.0,2,2
4,1999-11-21 00:00:00,0,0.08801492814677982,0.03689354240928635,0.6931471805599514,0.23357099719667324,0.687224162256822,2413.5527879081365,11088.944225283576,0.0,4,2
5,1999-11-22 00:00:00,0,0.11734870740728814,0.04433087444587386,1.3009345121687388,0.18924012275079938,0.6137103499119094,2338.1106573482707,13170.127228093652,0.0,4,2
6,1999-11-23 00:00:00,0,0.11234673082339483,0.08884848872847785,0.5187937934151692,0.1401526633154648,0.09491655649674254,8862.397623888854,38656.57359753824,0.0,5,1
7,1999-11-24 00:00:00,1,0.14068010487362023,0.07162166876618195,0.66329421741026,0.04149048459955191,0.7582107739070079,9212.786403231781,37069.001370356105,0.0,5,3
8,1999-11-25 00:00:00,1,0.10540556329207522,0.1742099440422288,0.49387606545221624,0.14930582971453518,0.2643347084547867,11157.229396106637,46299.42057099689,0.0,5,3
9,1999-11-26 00:00:00,1,0.2436169972602349,0.15060147962505158,0.10227884912041132,0.26258085191095293,0.16205585933437008,16575.657141843745,61054.28314682402,0.0,6,4
10,1999-11-27 00:00:00,1,0.28213122641570365,0.04130935394470979,0.32683600987133926,0.1918897210467123,0.16478015053696649,9311.344219086453,40052.76372256906,0.0,5,5
11,1999-11-28 00:00:00,1,0.3726548751427603,0.06756723754897201,0.31991556702676077,0.24349683089292817,0.15513541648979529,21048.290544458523,60617.64813208738,0.0,6,4
12,1999-11-29 00:00:00,1,0.289942387324829,0.15687924867976621,0.27728336523089164,0.3028348995872251,0.12214794874108618,10515.467939506627,40344.21211858177,0.0,5,4
13,1999-11-30 00:00:00,1,0.29373765252947487,0.08179626989358023,0.13203922621984615,0.28583699331757373,0.00989127747874289,9496.639188008276,41504.685177905776,0.0,5,4
14,1999-12-01 00:00:00,2,0.420560778005584,0.03599982439208436,0.11579693768474911,0.25659084526785236,0.1256882151634963,19976.47681372477,77477.7284765746,0.0,6,5
15,1999-12-02 00:00:00,2,0.22572988804409738,0.1342237979190127,1.1834511686051365,0.32081143583276367,1.0577629534416422,5245.590681707538,20978.505507222144,0.0,5,4
16,1999-12-03 00:00:00,2,0.35460147708907913,0.05206137143622039,0.7720513249771425,0.3728728072689841,0.28571162846448095,14894.79065117246,54875.049046410815,0.0,6,4
17,1999-12-04 00:00:00,2,0.4264013192020598,0.07044413684217558,0.06572265389878577,0.41129133877069085,0.21998897456569325,6336.265123168943,23877.31361911094,0.0,4,3
18,1999-12-05 00:00:00,2,0.31040791416036667,0.18976921838147517,0.41021571086675984,0.33580834119355013,0.1902267363010662,27850.961028482736,70951.48290010254,0.0,6,3
19,1999-12-06 00:00:00,2,0.27939735909669605,0.2225136198728782,0.20778816323101593,0.3768929528046304,0.017561426929948762,15155.391986222956,53390.3529546706,0.0,6,4
20,1999-12-07 00:00:00,2,0.3097891037544222,0.05198217413600298,0.02483413203775167,0.42887512694063334,0.042395558967688644,14699.403686945605,56425.0933686726,0.0,6,4
21,1999-12-08 00:00:00,3,0.24514180520497053,0.060934121478144636,0.38384951763222264,0.34216561936958706,0.4262450765999102,5753.450478838795,22170.620497628,0.0,4,4
22,1999-12-09 00:00:00,3,0.33787464936838824,0.07243435847116382,0.4106197586968288,0.3873543547261689,0.015625317903080367,2548.227019683056,11237.222474815115,0.0,3,3
23,1999-12-10 00:00:00,3,0.3863564746917434,0.0958007460862222,0.37398897600613806,0.2915536086399468,0.3583636581030642,12740.472430155472,48760.745695005884,0.0,5,3
24,1999-12-11 00:00:00,3,0.24431893665483978,0.05370735234333104,0.09446546625274965,0.23262291690572315,0.4528291243558234,7508.350384861983,35478.43727670013,0.0,5,3
25,1999-12-12 00:00:00,3,0.34653707344886775,0.03640368535863109,0.01875054934538506,0.07714000421471509,0.4715796737011982,13897.065629852117,48547.56533473615,0.0,6,2
26,1999-12-13 00:00:00,3,0.39147307781569995,0.0853756965518992,0.4273068500232229,0.11936467538961261,0.04427282367798282,3988.0860451201415,20427.95487894455,0.0,4,4
27,1999-12-14 00:00:00,3,0.3282128410608889,0.07502338037827283,0.7568629949460861,0.16108422386382337,0.8011358186240425,1524.7647222677838,8323.627777031033,0.0,3,2
28,1999-12-15 00:00:00,4,0.4675183058956982,0.14172546089818863,1.185379971249319,0.17091272057388654,0.38424415262527783,9660.617575348306,43791.31992442663,0.0,5,1
29,1999-12-16 00:00:00,4,0.4240555804770854,0.05042624752490779,0.3921493321324032,0.10739715438286997,0.007905179507114482,4531.204085081838,24691.636589381065,0.0,4,3
30,1999-12-17 00:00:00,4,0.3275092612961305,0.09878788198749644,0.24622535877339038,0.09711417737133193,0.2541305382805514,18729.511473201877,58622.59932874047,0.0,6,3
31,1999-12-18 00:00:00,4,0.4804425964941183,0.11415613772147944,0.4272232886368691,0.16643982859455303,0.17309275035633181,11668.32149190482,48480.5410683822,0.0,5,5
32,1999-12-19 00:00:00,4,0.30960985777277805,0.1147155036465736,0.7217089004998363,0.1366049165905867,0.8948016439322337,10169.150074044133,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.36068124496648485,0.10416501585915075,0.3835824037823721,0.03627345295717576,0.511219247073578,6797.338396727464,24841.570767893067,0.0,4,4
34,1999-12-21 00:00:00,4,0.3062045472871503,0.04455578912767617,0.470712262793817,0.06701347898403222,0.040506984279813855,7976.320251929986,32384.48093316878,0.0,5,3
35,1999-12-22 00:00:00,5,0.3423777574744927,0.08530662420223319,0.6496830723903826,0.12605009771849215,0.6901900566702046,11180.74627041843,41302.58014617839,0.0,5,3
36,1999-12-23 00:00:00,5,0.4268118054903048,0.13742920611330628,0.22240345013331314,0.1922316207268038,0.4677866065369296,11830.152675905281,47434.50023429331,0.0,5,4
37,1999-12-24 00:00:00,5,0.313242969398626,0.05524585156939829,1.4252684955513992,0.10590934434564535,0.9574818890147387,18809.33087568088,70549.38786807212,0.0,6,4
38,1999-12-25 00:00:00,5,0.2607825696675911,0.06259489376879065,0.6268977950187853,0.08000557258022897,0.3305840939959918,7226.94916185544,32246.647879852044,0.0,5,3
39,1999-12-26 00:00:00,5,0.4829134590757128,0.05638985383139284,1.255506454441106,0.07528539250953958,1.5860905484371104,4287.949739872447,23853.19262481908,0.0,4,2
40,1999-12-27 00:00:00,5,0.5198649940159362,0.135381684656567,3.1027740673795994,0.13538168465656703,1.5166835189418557,447.3491659652096,3498.133698807458,0.0,2,2
41,1999-12-28 00:00:00,5,0.2066580591472739,0.11487877122250124,2.409626886819013,0.0906616331541521,0.8929433678771606,2703.639278730245,13548.933318788353,0.0,4,1
42,1999-12-29 00:00:00,6,0.14113575965784328,0.07229653447291874,0.9465960813694778,0.04741231962652763,0.053652713492318885,3530.1332218563907,13279.00115495663,0.0,4,2
43,1999-12-30 00:00:00,6,0.16333855120721788,0.11541392928629761,0.33593904545955433,0.08844821139045492,0.3895917589518756,3487.543189197415,16576.83650716055,0.0,4,2
44,1999-12-31 00:00:00,6,0.18205182432502903,0.08504269749059025,0.3515953981954325,0.125178909474382,0.7411871571473065,5676.118600283959,23684.148918830473,0.0,4,3
45,2000-01-01 00:00:00,6,0.23079002942266738,0.040204147062955484,0.0923128002653495,0.11625026785320813,0.6488743568819566,8468.315025304131,34624.122597556285,0.0,5,4
46,2000-01-02 00:00:00,6,0.23306445250716554,0.043569215763296004,1.1427835069812455,0.10123995920965626,0.4939091500992867,17275.80857344942,70270.8747709445,0.0,6,4
47,2000-01-03 00:00:00,6,0.10644976317306375,0.09972706134586444,0.41403047096707235,0.08561104861138219,0.07987867913220438,13272.705559939597,56725.00418989505,0.0,6,4
48,2000-01-04 00:00:00,6,0.15236383225463643,0.0053313527491154105,0.5138062519041383,0.08824836533537793,0.4339275727719262,6709.147188689254,25316.576258879915,0.0,4,4
49,2000-01-05 00:00:00,7,0.17916144633726247,0.03589108420779631,0.3508609740733544,0.12413944954317424,0.08306659869861148,10570.918097263388,40648.33684806702,0.0,5,4
50,2000-01-06 00:00:00,7,0.28066288921628674,0.07964032556569951,0.00909924385511457,0.1631196445517042,0.07396735484349473,5381.109770521216,26527.465847221094,0.0,4,2
51,2000-01-07 00:00:00,7,0.13985161640361993,0.13264756692680651,0.5144752628536687,0.15408143360954735,0.5884426176970415,5527.824572252281,22600.776200764918,0.0,4,3
52,2000-01-08 00:00:00,7,0.05824659396804052,0.08167696369536166,0.6392620920649624,0.10662354833642347,1.2277047097620053,2579.915046818949,11365.838269810707,0.0,4,3
53,2000-01-09 00:00:00,7,0.0668347789947317,0.0318436499081954,0.2842278375836893,0.18368102683959053,0.9434768721783163,7625.104524283339,33157.334870535655,0.0,6,2
54,2000-01-10 00:00:00,7,0.07880906467221518,0.05469507981428727,1.01064353973899,0.07474333347483746,0.06716664354383835,21557.762590126466,93133.89039668642,0.0,8,4
55,2000-01-11 00:00:00,7,0.1825741486063556,0.13399261739643611,0.40126339723763127,0.17113805100194412,0.46843006479830435,11255.076857618154,48559.3838313559,0.0,5,4
56,2000-01-12 00:00:00,8,0.15668062324122478,0.044091032735480935,0.16734000317833753,0.21149310281398848,0.6357700679766429,13920.262735636086,61925.84690345751,0.0,6,4
57,2000-01-13 00:00:00,8,0.13135706031737307,0.09795946733430978,1.0836307350524896,0.1335760253710379,0.44786066707585187,12724.413139505932,51439.04550615278,0.0,5,4
58,2000-01-14 00:00:00,8,0.086958876287714,0.1056161357728364,1.094845805872633,0.3248471182710003,0.6469851387967763,7566.779768885664,37640.10857240183,0.0,6,2
