t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.14072867511141135,,,,0.0,10546.295191845316,37728.45864325171,0.0,5,0
1,1999-11-18 00:00:00,0,0.15211118517935765,0.19429921435811925,1.942890293094024e-16,0.19429921435811923,0.0,27816.231063482846,42854.482911971696,0.0,6,2
2,1999-11-19 00:00:00,0,0.175568033423888,0.2017928044854592,0.0,0.036120076158643113,0.0,5265.714492497828,18164.14975904693,0.0,5,2
3,1999-11-20 00:00:00,0,0.07221148442951325,0.15379122067495282,3.3306690738754696e-16,0.16810446369060444,0.0,52.86099351841808,2350.93449375711,0.0,2,2
4,1999-11-21 00:00:00,0,0.10420569094403663,0.07918694406443266,5.551115123125783e-17,0.2472914077550371,2.220446049250313e-16,3475.989687810158,11088.944225283576,0.0,4,2
5,1999-11-22 00:00:00,0,0.12312211937423684,0.09182331957023313,1.1102230246251565e-16,0.2596811263763511,2.220446049250313e-16,7490.27602580192,13170.127228093652,0.0,4,2
6,1999-11-23 00:00:00,0,0.08700260435385565,0.0864703871512112,1.1102230246251565e-16,0.10692137522253926,1.249000902703301e-16,10171.805078805919,38656.57359753824,0.0,5,1
7,1999-11-24 00:00:00,1,0.15378246662035014,0.07298616103987181,3.7007434154171886e-16,0.03734570263235871,1.1102230246251565e-16,10417.938890922593,37069.001370356105,0.0,5,3
8,1999-11-25 00:00:00,1,0.27620432238736703,0.17804678254284415,1.4802973661668753e-16,0.16871761239279057,0.0,19889.16125506056,46299.42057099689,0.0,5,3
9,1999-11-26 00:00:00,1,0.20279230957315278,0.08631081780620056,1.1102230246251565e-16,0.15101786121310312,0.0,28006.0765494204,61054.28314682402,0.0,6,4
10,1999-11-27 00:00:00,1,0.2373074823560719,0.09896592276507385,1.3322676295501878e-16,0.17569130785304266,1.942890293094024e-16,17702.300726966387,40052.76372256906,0.0,5,5
11,1999-11-28 00:00:00,1,0.37459358182478003,0.1378043707188335,1.249000902703301e-16,0.32698387146885627,2.7755575615628914e-16,19849.63990920565,60617.64813208738,0.0,6,4
12,1999-11-29 00:00:00,1,0.16430489151738586,0.456835577212972,1.249000902703301e-16,0.3841944370764436,0.0,13960.933870839646,40344.21211858177,0.0,5,4
13,1999-11-30 00:00:00,1,0.12234174036589178,0.1678450509334509,1.3877787807814457e-16,0.17615590887311583,1.1275702593849246e-16,15033.748574563435,41504.685177905776,0.0,5,4
14,1999-12-01 00:00:00,2,0.18998506008498958,0.08473599428683748,1.554312234475219e-16,0.0939599747538726,1.1102230246251565e-16,30526.004044800862,77477.7284765746,0.0,6,5
15,1999-12-02 00:00:00,2,0.0934416220032585,0.0766281437016037,4.163336342344337e-17,0.08386209551530924,0.0,7574.587638064138,20978.505507222144,0.0,5,4
16,1999-12-03 00:00:00,2,0.16185789569633371,0.07457207051389447,0.0,0.1584341660292037,1.6653345369377348e-16,22675.30114583759,54875.049046410815,0.0,6,4
17,1999-12-04 00:00:00,2,0.24241008062286426,0.17765058257920952,0.0,0.23386490528163764,1.6653345369377348e-16,5813.170159163196,23877.31361911094,0.0,4,3
18,1999-12-05 00:00:00,2,0.19886160049074683,0.1908501823110321,5.551115123125783e-17,0.20596923317851798,1.3877787807814457e-16,28635.671318099277,70951.48290010254,0.0,6,3
19,1999-12-06 00:00:00,2,0.14068647252474695,0.0352621713920578,8.326672684688674e-17,0.1326323964240208,0.0,20418.364186851384,53390.3529546706,0.0,6,4
20,1999-12-07 00:00:00,2,0.20693892803678315,0.17393237667649217,1.6653345369377348e-16,0.20824794652970652,4.3021142204224816e-16,20563.734797088156,56425.0933686726,0.0,6,4
21,1999-12-08 00:00:00,3,0.19732241702524483,0.06737523247267962,1.1796119636642288e-16,0.1452923770184508,1.6653345369377348e-16,6575.2506557111665,22170.620497628,0.0,4,4
22,1999-12-09 00:00:00,3,0.2753305664509493,0.05103145365177699,0.0,0.18068422325623323,2.185751579730777e-16,3401.072985025142,11237.222474815115,0.0,3,3
23,1999-12-10 00:00:00,3,0.18693507186361222,0.053419215622835324,5.551115123125783e-17,0.18761525948834704,0.0,11639.807834937588,48760.745695005884,0.0,5,3
24,1999-12-11 00:00:00,3,0.21032199470934487,0.109094603467307,6.47630097698008e-17,0.25948318307197016,0.0,12582.225730260385,35478.43727670013,0.0,5,3
25,1999-12-12 00:00:00,3,0.16689383267911717,0.06205319934431556,1.1102230246251565e-16,0.27236455978384405,0.0,15376.499423572743,48547.56533473615,0.0,6,2
26,1999-12-13 00:00:00,3,0.18101114178695582,0.07785091164039643,1.942890293094024e-16,0.1559455953958405,2.3592239273284576e-16,8194.14905263437,20427.95487894455,0.0,4,4
27,1999-12-14 00:00:00,3,0.1668769822440698,0.07212564732133382,0.0,0.1360711277741056,1.1102230246251565e-16,3030.3284090836387,8323.627777031033,0.0,3,2
28,1999-12-15 00:00:00,4,0.14482741846194092,0.10333612371406543,0.0,0.14583158995859585,1.6653345369377348e-16,6338.072484066002,43791.31992442663,0.0,5,1
29,1999-12-16 00:00:00,4,0.20608318829289635,0.061648351132919534,1.4802973661668753e-16,0.11025888111911814,0.0,8117.371601540135,24691.636589381065,0.0,4,3
30,1999-12-17 00:00:00,4,0.1706275497264882,0.011712464025339547,2.0354088784794536e-16,0.019796229324072916,3.3306690738754696e-16,23074.76606965196,58622.59932874047,0.0,6,3
31,1999-12-18 00:00:00,4,0.17917115026822014,0.017425130909692922,1.0685896612017132e-16,0.02573035793835716,1.942890293094024e-16,16132.741312417545,48480.5410683822,0.0,5,5
32,1999-12-19 00:00:00,4,0.09861315681569599,0.062423242979688,1.9949319973733282e-16,0.04984235497362105,0.0,9002.64002559637,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.16223878958194093,0.0997948175761007,1.457167719820518e-16,0.0736441225533857,1.1102230246251565e-16,6117.968170266113,24841.570767893067,0.0,4,4
34,1999-12-21 00:00:00,4,0.191179085347477,0.06120249077595954,0.0,0.09975150203894538,2.0816681711721685e-16,10640.714996133787,32384.48093316878,0.0,5,3
35,1999-12-22 00:00:00,5,0.24120171311134936,0.05996311253537679,3.700743415417188e-17,0.12072390955390945,1.1102230246251565e-16,18312.831530523956,41302.58014617839,0.0,5,3
36,1999-12-23 00:00:00,5,0.2111399053492514,0.1032935567111283,4.85722573273506e-17,0.0845547053545676,0.0,13570.484694477087,47434.50023429331,0.0,5,4
37,1999-12-24 00:00:00,5,0.24444952653998644,0.1059251462295877,2.636779683484747e-16,0.1490937849907939,0.0,25292.19125399573,70549.38786807212,0.0,6,4
38,1999-12-25 00:00:00,5,0.10537181650926572,0.2350582081602253,7.401486830834377e-17,0.053129970952244594,0.0,7352.726844958008,32246.647879852044,0.0,5,3
39,1999-12-26 00:00:00,5,0.10095589459875429,0.021395989638325216,8.326672684688674e-17,0.06719856052186461,2.220446049250313e-16,3925.9507782111996,23853.19262481908,0.0,4,2
40,1999-12-27 00:00:00,5,0.049725943416275994,0.07610397105880495,3.3306690738754696e-16,0.07610397105880495,0.0,142.47596641882114,3498.133698807458,0.0,2,2
41,1999-12-28 00:00:00,5,0.16611013327771035,0.09857179612135483,4.440892098500626e-16,0.05071799256980754,2.220446049250313e-16,4647.892347855054,13548.933318788353,0.0,4,1
42,1999-12-29 00:00:00,6,0.14036837407153396,0.08021909083593724,5.551115123125783e-17,0.10557808712084102,2.1510571102112408e-16,4264.361617782657,13279.00115495663,0.0,4,2
43,1999-12-30 00:00:00,6,0.1588656775830665,0.11792853909915732,0.0,0.0983061101368907,0.0,6422.922057575331,16576.83650716055,0.0,4,2
44,1999-12-31 00:00:00,6,0.11286855420240498,0.12198953005841451,0.0,0.1596792794711965,0.0,5262.149099209899,23684.148918830473,0.0,4,3
45,2000-01-01 00:00:00,6,0.14158636783883483,0.045076993588919284,1.3877787807814457e-16,0.16483645319231666,1.1102230246251565e-16,7749.443491178007,34624.122597556285,0.0,5,4
46,2000-01-02 00:00:00,6,0.15147420079719104,0.04629145937906057,6.245004513516506e-17,0.14846474097432677,0.0,29040.463056960685,70270.8747709445,0.0,6,4
47,2000-01-03 00:00:00,6,0.08622539758736177,0.07432289986522114,1.1102230246251565e-16,0.06263898116848578,0.0,16165.856190376277,56725.00418989505,0.0,6,4
48,2000-01-04 00:00:00,6,0.11180421942638408,0.0235917675751796,3.122502256758253e-17,0.0799630891478194,1.6653345369377348e-16,8067.385529529123,25316.576258879915,0.0,4,4
49,2000-01-05 00:00:00,7,0.15432683718025242,0.041598052567896254,1.6653345369377348e-16,0.09361109216655188,0.0,11224.954023288567,40648.33684806702,0.0,5,4
50,2000-01-06 00:00:00,7,0.21196090969227652,0.09679662189702123,8.326672684688674e-17,0.23750863568171157,0.0,11737.390581783844,26527.465847221094,0.0,4,2
51,2000-01-07 00:00:00,7,0.27276676033346686,0.08008575011869092,2.220446049250313e-16,0.22643591400095567,1.1102230246251565e-16,6656.371628535887,22600.776200764918,0.0,4,3
52,2000-01-08 00:00:00,7,0.2685960932863315,0.040210207046379086,1.4802973661668753e-16,0.15377920232247033,4.440892098500626e-16,2553.5636689694566,11365.838269810707,0.0,4,3
53,2000-01-09 00:00:00,7,0.18530630182556054,0.03292668125987869,1.3877787807814457e-16,0.23774843210997584,0.0,11020.783501195283,33157.334870535655,0.0,6,2
54,2000-01-10 00:00:00,7,0.11071226147399327,0.1615740987150333,5.551115123125783e-17,0.1914303822787016,1.1102230246251565e-16,28855.515296546608,93133.89039668642,0.0,8,4
