t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.13456747857072093,,,,0.0,7290.978358983172,37728.45864325171,0.0,5,0
1,1999-11-18 00:00:00,0,0.16441357437586607,0.23853857513355586,1.1102230246251565e-16,0.23853857513355586,1.6653345369377348e-16,25236.238127128585,42854.482911971696,0.0,6,2
2,1999-11-19 00:00:00,0,0.17315525715620506,0.2720756846043486,0.0,0.050622892691112364,0.0,3802.246012019961,18164.14975904693,0.0,5,2
3,1999-11-20 00:00:00,0,0.11110365290252755,0.14736689611017206,0.0,0.1559097877203319,2.220446049250313e-16,4.258295625598267,2350.93449375711,0.0,2,2
4,1999-11-21 00:00:00,0,0.0971924055851102,0.08684227692905161,1.6653345369377348e-16,0.2427520646493835,2.220446049250313e-16,2400.502268345426,11088.944225283576,0.0,4,2
5,1999-11-22 00:00:00,0,0.11182377132228404,0.1071339852994713,0.0,0.2703755109811957,2.220446049250313e-16,6430.571003109487,13170.127228093652,0.0,4,2
6,1999-11-23 00:00:00,0,0.08579566244689592,0.08593182102003194,0.0,0.09499598231785633,3.608224830031759e-16,6790.739865724188,38656.57359753824,0.0,5,1
7,1999-11-24 00:00:00,1,0.15944981157301003,0.07885909647035005,3.7007434154171886e-16,0.04719376903106461,1.1102230246251565e-16,7110.148586680396,37069.001370356105,0.0,5,3
8,1999-11-25 00:00:00,1,0.28888986291720004,0.2078730878076748,1.4802973661668753e-16,0.20413474701938658,1.6653345369377348e-16,15712.959399868036,46299.42057099689,0.0,5,3
9,1999-11-26 00:00:00,1,0.21681811038943474,0.09256203182881662,1.1102230246251565e-16,0.17121409113232422,1.3877787807814457e-16,22746.056956808618,61054.28314682402,0.0,6,4
10,1999-11-27 00:00:00,1,0.25296590793001433,0.11883648926722576,1.2281842209915794e-16,0.1989265895124894,0.0,15528.421790965402,40052.76372256906,0.0,5,5
11,1999-11-28 00:00:00,1,0.40578938382318075,0.15969323705033217,1.1796119636642288e-16,0.38139950646301146,2.7755575615628914e-16,16488.15822826107,60617.64813208738,0.0,6,4
12,1999-11-29 00:00:00,1,0.20154904762899178,0.5518347958520511,1.5265566588595902e-16,0.45226534915656125,0.0,12413.576973385832,40344.21211858177,0.0,5,4
13,1999-11-30 00:00:00,1,0.12788743275666306,0.20894918744523705,1.3877787807814457e-16,0.1939670602114003,1.1275702593849246e-16,11287.19622493175,41504.685177905776,0.0,5,4
14,1999-12-01 00:00:00,2,0.1885078501251837,0.09884642692373329,1.554312234475219e-16,0.09539102190243455,0.0,23642.636587525776,77477.7284765746,0.0,6,5
15,1999-12-02 00:00:00,2,0.0933215986940243,0.08447582161307249,4.163336342344337e-17,0.08882459772403212,0.0,5782.147498392269,20978.505507222144,0.0,5,4
16,1999-12-03 00:00:00,2,0.17421157690533537,0.07953457272261737,0.0,0.1683591704466495,1.6653345369377348e-16,17812.798442889867,54875.049046410815,0.0,6,4
17,1999-12-04 00:00:00,2,0.25776423373737356,0.2209153951172742,0.0,0.2844644756062385,1.6653345369377348e-16,4588.446295703927,23877.31361911094,0.0,4,3
18,1999-12-05 00:00:00,2,0.20185999514537833,0.23083230604952817,1.295260195396016e-16,0.22104908485153638,2.7755575615628914e-16,22289.697343627606,70951.48290010254,0.0,6,3
19,1999-12-06 00:00:00,2,0.14774539116458105,0.03193460208155756,8.326672684688674e-17,0.13957605261529585,0.0,17328.95668904249,53390.3529546706,0.0,6,4
20,1999-12-07 00:00:00,2,0.20877537201447846,0.204784522191188,5.551115123125783e-17,0.24488967795457908,4.3021142204224816e-16,16427.815428083806,56425.0933686726,0.0,6,4
21,1999-12-08 00:00:00,3,0.2269397073391654,0.06943107976804222,1.700029006457271e-16,0.17649074361747613,0.0,5807.106889499275,22170.620497628,0.0,4,4
22,1999-12-09 00:00:00,3,0.2939085333760081,0.04618435847116387,0.0,0.2093821042462122,2.185751579730777e-16,2368.6066840397316,11237.222474815115,0.0,3,3
23,1999-12-10 00:00:00,3,0.20130718903947803,0.05331663159784875,5.551115123125783e-17,0.21441533601607535,0.0,8260.959494831952,48760.745695005884,0.0,5,3
24,1999-12-11 00:00:00,3,0.2427836835760792,0.12325119891544678,7.401486830834377e-17,0.30474838409727206,1.6653345369377348e-16,10241.970723417222,35478.43727670013,0.0,5,3
25,1999-12-12 00:00:00,3,0.19598409756466953,0.06786201975917724,2.220446049250313e-16,0.2875213494756024,0.0,11687.178135578048,48547.56533473615,0.0,6,2
26,1999-12-13 00:00:00,3,0.18931660090992697,0.0889684553483105,1.3877787807814457e-16,0.15402214492734326,2.3592239273284576e-16,6879.022906204067,20427.95487894455,0.0,4,4
27,1999-12-14 00:00:00,3,0.16054328309579666,0.07639570736139771,0.0,0.14691938841643007,0.0,2248.956767430177,8323.627777031033,0.0,3,2
28,1999-12-15 00:00:00,4,0.14836154793446865,0.09464212759645789,0.0,0.1542178340012438,1.6653345369377348e-16,3852.4436290745407,43791.31992442663,0.0,5,1
29,1999-12-16 00:00:00,4,0.18188233449826402,0.06677755238224553,1.4802973661668753e-16,0.1181834970493268,1.1102230246251565e-16,5696.4506253449,24691.636589381065,0.0,4,3
30,1999-12-17 00:00:00,4,0.1520316305970568,0.015359803476644293,2.0354088784794536e-16,0.03298388309912402,3.3306690738754696e-16,17762.86599589364,58622.59932874047,0.0,6,3
31,1999-12-18 00:00:00,4,0.1606044675859099,0.022416763107345396,6.245004513516506e-17,0.0336703614723138,0.0,11628.083763679459,48480.5410683822,0.0,5,5
32,1999-12-19 00:00:00,4,0.11513767764581155,0.0695400097131278,9.020562075079397e-17,0.04694940878245775,2.220446049250313e-16,6771.496223509444,36820.08120440248,0.0,5,4
33,1999-12-20 00:00:00,4,0.1711582275218579,0.1131243293227866,9.020562075079397e-17,0.09527265726277798,0.0,4313.247598193996,24841.570767893067,0.0,4,4
34,1999-12-21 00:00:00,4,0.21309411060534728,0.0649724536942141,7.401486830834377e-17,0.12337147379209161,2.0816681711721685e-16,7717.661671660596,32384.48093316878,0.0,5,3
