t,current,previous,track,iou,boundary
1,1744,2229,4,0.5572354211663066,True
1,1960,2058,3,0.21052631578947367,True
2,2352,1960,3,0.17218543046357615,True
2,2388,1744,4,0.12418300653594772,True
3,1162,1221,10,0.055994729907773384,True
3,2352,2352,3,0.2908366533864542,True
4,713,1162,10,0.29314888010540185,True
4,2357,2352,3,0.8992395437262357,True
5,813,713,10,0.41140529531568226,True
5,2367,2357,3,0.030181086519114688,True
6,870,813,10,0.23469387755102042,True
7,0,13,17,0.2315270935960591,True
7,1073,870,10,0.0028011204481792717,True
7,2118,2169,19,0.5333333333333333,False
8,0,0,17,0.18226600985221675,True
8,1077,1073,10,0.025,True
8,2172,2118,19,0.0912280701754386,True
9,245,0,17,0.43023255813953487,True
9,342,538,22,0.16666666666666666,True
9,979,1077,10,0.125,True
9,2377,2172,19,0.2807017543859649,True
10,0,245,17,0.6511627906976745,True
10,25,26,24,0.5,True
10,48,342,22,0.7264957264957265,True
10,1568,1773,25,0.05660377358490566,True
10,2128,2377,19,0.21739130434782608,True
11,0,0,17,0.42857142857142855,True
11,25,25,24,0.6027397260273972,True
11,48,48,22,0.78,True
11,2387,2128,19,0.43107769423558895,True
12,26,25,24,0.6636363636363637,True
12,42,48,22,0.05128205128205128,True
12,1077,1126,26,0.19047619047619047,True
12,2385,2387,19,0.47540983606557374,True
13,43,42,22,0.13333333333333333,True
13,174,26,24,0.6090909090909091,True
13,1964,2064,28,0.12631578947368421,True
13,2400,2385,19,0.454337899543379,True
14,9,406,29,0.4427860696517413,True
14,31,174,24,0.3684210526315789,True
14,48,43,22,0.4838709677419355,True
14,2089,2400,19,0.2713178294573643,True
14,2107,1964,28,0.05825242718446602,True
15,7,9,29,0.7673469387755102,True
15,42,48,22,0.03225806451612903,True
15,179,31,24,0.015873015873015872,True
15,2105,2089,19,0.097119341563786,True
16,4,7,29,0.6619318181818182,True
16,33,179,24,0.030303030303030304,True
16,42,42,22,0.2857142857142857,True
16,2351,2105,19,0.22633744855967078,True
17,5,4,29,0.7084548104956269,True
17,43,33,24,0.12307692307692308,True
17,2394,2351,19,0.2727272727272727,True
18,5,5,29,0.6032388663967612,True
18,42,43,24,0.3548387096774194,True
18,2396,2394,19,0.6538461538461539,True
19,4,5,29,0.48344370860927155,True
19,43,42,24,0.5303030303030303,True
19,1911,1764,36,0.2857142857142857,True
19,2390,2396,19,0.39705882352941174,True
20,11,4,29,0.48120300751879697,True
20,327,43,24,0.11784511784511785,True
20,1917,1911,36,0.22325581395348837,True
20,2395,2390,19,0.09558823529411764,True
21,36,327,24,0.8552188552188552,True
21,259,11,29,0.4301675977653631,True
21,1771,1917,36,0.26717557251908397,True
21,2106,1985,41,0.050359712230215826,True
22,44,36,24,0.5287356321839081,True
22,1781,1771,36,0.23397435897435898,True
22,2253,2106,41,0.3695652173913043,True
23,48,44,24,0.5655172413793104,True
23,1838,1781,36,0.32193732193732194,False
23,2385,2253,41,0.009615384615384616,True
24,47,48,24,0.1951219512195122,True
24,1867,1911,43,0.10204081632653061,True
24,2246,1838,36,0.24633431085043989,True
25,1965,1867,43,0.125,False
25,2400,2246,36,0.5350877192982456,True
26,833,588,47,0.20930232558139536,True
26,1798,1691,49,0.2367758186397985,False
26,1966,1965,43,0.410958904109589,True
26,2400,2400,36,0.23770491803278687,True
27,882,833,47,0.44,True
27,1999,1798,49,0.24043715846994534,True
28,1600,1999,49,0.17073170731707318,True
29,0,0,51,0.18181818181818182,True
29,1756,1600,49,0.2016260162601626,True
29,2381,2376,54,0.45365853658536587,True
30,0,0,51,0.4230769230769231,True
30,372,862,55,0.29375,True
30,2379,2381,54,0.2904761904761905,True
31,0,0,51,0.9615384615384616,True
31,27,372,55,0.46335078534031415,True
31,1519,1568,56,0.10465116279069768,True
31,1993,2379,54,0.2631578947368421,True
31,2400,2155,58,0.3333333333333333,True
32,0,0,51,0.65625,True
32,24,27,55,0.584375,True
32,1666,1519,56,0.6571428571428571,True
32,2049,1993,54,0.19141914191419143,True
33,0,0,51,0.14285714285714285,True
33,715,24,55,0.24172185430463577,True
33,1911,1666,56,0.3651452282157676,True
33,2106,2049,54,0.47084708470847086,True
34,718,715,55,0.034482758620689655,False
34,1911,1911,56,0.6314363143631436,True
34,2400,2106,54,0.3187066974595843,True
35,574,922,61,0.02373887240356083,True
35,1917,1911,56,0.6224137931034482,True
35,2400,2400,54,0.4965034965034965,True
36,12,11,62,0.2328767123287671,True
36,432,574,61,0.21646341463414634,True
36,2017,1917,56,0.7168508287292817,True
36,2400,2400,54,0.04225352112676056,True
37,14,12,62,0.5132743362831859,True
37,47,45,64,0.07692307692307693,True
37,286,432,61,0.1267605633802817,False
37,1874,2017,56,0.08748114630467571,True
38,13,14,62,0.25510204081632654,True
38,293,47,64,0.04377104377104377,True
38,1916,1874,56,0.07936507936507936,False
39,14,13,62,0.3870967741935484,True
39,2068,2073,68,0.13513513513513514,False
40,0,0,69,0.4,True
40,2271,2032,70,0.02554112554112554,True
41,2029,2271,70,0.047186147186147186,True
42,1165,1121,72,0.03546099290780142,False
42,2031,2029,70,0.3853211009174312,False
43,1565,1165,72,0.259927797833935,True
43,2107,2031,70,0.0582010582010582,True
44,475,19,76,0.05161290322580645,True
44,1812,1565,72,0.2896551724137931,True
44,1911,2107,70,0.7131474103585658,True
45,13,13,78,0.7606837606837606,True
45,874,475,76,0.21779859484777517,True
45,1859,1812,72,0.5098039215686274,True
45,2058,1911,70,0.7219730941704036,True
46,13,13,78,0.8111888111888111,True
46,44,142,79,0.2222222222222222,True
46,1224,874,76,0.055865921787709494,True
46,2221,2058,70,0.10307692307692308,True
47,12,13,78,0.035211267605633804,True
47,44,1224,76,0.09146341463414634,True
47,2058,2058,81,0.45714285714285713,True
47,2376,2221,70,0.38461538461538464,True
48,13,12,78,0.02857142857142857,True
48,391,44,76,0.7685459940652819,True
48,1862,2058,81,0.1797752808988764,True
48,2182,2376,70,0.32489451476793246,True
49,10,13,78,0.2857142857142857,True
49,437,391,76,0.8996655518394648,True
49,1571,1862,81,0.2782608695652174,True
49,2384,2182,70,0.029535864978902954,True
50,440,437,76,0.7578947368421053,True
50,2126,1571,81,0.20361990950226244,True
51,435,440,76,0.4954128440366973,True
51,1911,1960,85,0.020134228187919462,True
51,2377,2126,81,0.23723723723723725,True
52,11,205,87,0.5669291338582677,True
52,435,435,76,0.7607223476297968,True
52,2222,1911,85,0.12064777327935222,True
53,244,435,76,0.7906976744186046,True
53,2381,2222,85,0.8159806295399515,True
54,0,0,89,1.0,True
54,25,24,90,0.23728813559322035,True
54,342,244,76,0.5661764705882353,True
54,2009,2381,85,0.19310344827586207,True
55,0,0,89,0.2222222222222222,True
55,17,25,90,0.29838709677419356,True
55,391,342,76,0.7321428571428571,True
