t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.006988472708705527,,,,0.0,4441.7935918173225,37728.45864325173,0.0,5,0
1,1999-11-18 00:00:00,0,0.019571895464073005,0.012414612350418016,1.942890293094024e-16,0.012414612350418016,1.6653345369377348e-16,4079.9544813288903,42854.482911971754,1.489753482050162,6,2
2,1999-11-19 00:00:00,0,0.02509832632771517,0.0107380044130761,2.220446049250313e-16,0.023152616763494116,0.0,3494.153870697966,18164.14975904693,2.8003268047775265,5,2
3,1999-11-20 00:00:00,0,0.005229324136506779,0.024982862215521706,0.0,0.013314833862282011,0.0,0.2555804946263868,2350.9344937571077,0.0,2,2
4,1999-11-21 00:00:00,0,0.0051963378488121634,0.0031040091968265555,5.551115123125783e-17,0.010210824665455457,1.1102230246251565e-16,624.9713292018647,11088.944225283598,0.0,4,2
5,1999-11-22 00:00:00,0,0.008333333333333333,0.0,0.0,0.010210824665455457,0.0,894.7428448347254,13170.127228093652,0.0,4,2
6,1999-11-23 00:00:00,0,0.0071814689499874376,0.014393568442966753,1.1102230246251565e-16,0.034815217773877666,1.249000902703301e-16,3313.1240567369073,38656.57359753823,0.0,5,1
7,1999-11-24 00:00:00,1,0.005772426093418895,0.0036520223068026506,3.7007434154171886e-16,0.01027719941317628,2.220446049250313e-16,4980.014164744237,37069.001370356105,0.0,5,3
8,1999-11-25 00:00:00,1,0.0891015903859122,0.09220491466986662,1.4802973661668753e-16,0.08192771525669033,0.0,13570.068560758004,46299.42057099686,14.518112234673652,5,3
9,1999-11-26 00:00:00,1,0.0863067030531691,0.017075031153895564,5.551115123125783e-17,0.06908761637637513,0.0,13333.928968589424,61054.28314682399,16.25873147366221,6,4
10,1999-11-27 00:00:00,1,0.025521616054770095,0.04936834266752041,7.771561172376095e-17,0.05156249235568176,0.0,7121.2458521780545,40052.763722569085,2.674210186288498,5,5
11,1999-11-28 00:00:00,1,0.09261576773513001,0.06548404888139524,0.0,0.05661506439683207,0.0,16781.446268999745,60617.64813208727,17.783079580693446,6,4
12,1999-11-29 00:00:00,1,0.10830292090582642,0.0712819520418811,1.6653345369377348e-16,0.07358799607054818,1.942890293094024e-16,7730.891370896646,40344.21211858168,18.953450194179517,5,4
13,1999-11-30 00:00:00,1,0.0077628124169290425,0.09284363198842929,1.5265566588595902e-16,0.07428514363561312,0.0,4758.354491899906,41504.68517790582,0.0,5,4
14,1999-12-01 00:00:00,2,0.011811856507476022,0.009226816606990795,1.5681900222830337e-16,0.06656781761099566,1.1102230246251565e-16,12970.045670466385,77477.72847657463,0.62613417134569,6,5
15,1999-12-02 00:00:00,2,0.03590361300407603,0.03915574362161486,0.0,0.07420423768020251,2.220446049250313e-16,5224.46398102843,20978.505507222177,5.316387285913478,5,4
16,1999-12-03 00:00:00,2,0.05659980490130747,0.029328108725773096,0.0,0.09043224587790405,0.0,10980.65810323399,54875.04904641074,9.37652726445923,6,4
17,1999-12-04 00:00:00,2,0.008333333333333333,0.061880104889738496,0.0,0.045163142982395044,1.6653345369377348e-16,3177.493015552064,23877.313619110933,0.0,4,3
18,1999-12-05 00:00:00,2,0.021304647613306738,0.024082425391084548,0.0,0.04948691440905287,1.3877787807814457e-16,12102.79996879522,70951.48290010258,1.5565577135968098,6,3
19,1999-12-06 00:00:00,2,0.008074166122991026,0.017137980946640083,0.0,0.04128185247345629,0.0,8306.839162187516,53390.35295467057,0.0,6,4
20,1999-12-07 00:00:00,2,0.007502608107112243,0.0030733900091194886,2.7755575615628914e-17,0.03836127364612126,2.1510571102112408e-16,8143.335783388042,56425.09336867263,0.0,6,4
21,1999-12-08 00:00:00,3,0.015738338143638217,0.00865109264963652,5.551115123125783e-17,0.03772251259744096,1.6653345369377348e-16,3239.322842320413,22170.62049762798,0.9614797921147478,4,4
22,1999-12-09 00:00:00,3,0.008333333333333333,0.012758118102309987,7.401486830834377e-17,0.04948691440905283,0.0,997.4097945945382,11237.22247481512,0.0,3,3
23,1999-12-10 00:00:00,3,0.008333333333333333,0.011111111111111112,1.295260195396016e-16,0.04948691440905283,0.0,8598.38251181305,48760.74569500589,0.0,5,3
24,1999-12-11 00:00:00,3,0.006542352999909155,0.009583611371587806,7.401486830834377e-17,0.05907052578064064,1.6653345369377348e-16,5277.815613009031,35478.43727670013,0.0,5,3
25,1999-12-12 00:00:00,3,0.0068684066952814935,0.0027419685338406553,2.220446049250313e-16,0.01811910566352773,2.220446049250313e-16,6785.7110908695595,48547.56533473617,0.0,6,2
26,1999-12-13 00:00:00,3,0.008333333333333333,0.002197389957077759,5.551115123125783e-17,0.007956827598633904,0.0,6280.865749645984,20427.95487894454,0.0,4,4
27,1999-12-14 00:00:00,3,0.006157404066415968,0.008333333333333333,1.1102230246251565e-16,0.007238668609385534,1.1102230246251565e-16,1663.262443690332,8323.627777031048,0.0,3,2
28,1999-12-15 00:00:00,4,0.008146617182358824,0.0,0.0,0.014477337218771069,1.6653345369377348e-16,4410.668030557079,43791.31992442664,0.0,5,1
29,1999-12-16 00:00:00,4,0.008333333333333333,0.00524436197059804,0.0,0.01007014104352173,1.1102230246251565e-16,1937.021532824723,24691.63658938107,0.0,4,3
30,1999-12-17 00:00:00,4,0.009039833654918393,0.005378251078636667,0.0,0.00688779015190695,1.6653345369377348e-16,9388.183955230705,58622.59932874051,0.6722681215189965,6,3
31,1999-12-18 00:00:00,4,0.008333333333333333,0.005467844385578654,8.881784197001253e-17,0.005387510920755479,0.0,7036.119162796364,48480.54106838222,0.0,5,5
32,1999-12-19 00:00:00,4,0.008086223289987657,0.00030888755418209495,4.163336342344337e-17,0.005642717618628534,2.220446049250313e-16,4769.975000995686,36820.08120440247,0.0,5,4
33,1999-12-20 00:00:00,4,0.020651877264258513,0.02096076481844061,5.551115123125783e-17,0.01837986606283142,1.1102230246251565e-16,4561.846773700025,24841.570767893125,2.0443098715428647,4,4
34,1999-12-21 00:00:00,4,0.00672548726744227,0.022365280214746087,5.551115123125783e-17,0.017182181191271302,0.0,3601.4724327369677,32384.480933168816,0.0,5,3
35,1999-12-22 00:00:00,5,0.008329728381895003,0.00468490006589162,3.700743415417188e-17,0.016577836173925775,2.220446049250313e-16,7038.700896568195,41302.580146178414,0.0,5,3
36,1999-12-23 00:00:00,5,0.031296595543954406,0.03369504078159051,4.85722573273506e-17,0.03375780548333854,1.1102230246251565e-16,6027.835789915746,47434.50023429327,3.6021747803462034,5,4
37,1999-12-24 00:00:00,5,0.020665530668054963,0.04336630652645233,0.0,0.02531511857929042,0.0,9568.330267426438,70549.38786807214,3.282489768810656,6,4
38,1999-12-25 00:00:00,5,0.01675318229082521,0.021945930195117844,0.0,0.02890251727605167,1.6653345369377348e-16,2693.430193419274,32246.64787985203,2.384244051053244,5,3
39,1999-12-26 00:00:00,5,0.01049243215598743,0.0196469269861252,8.326672684688674e-17,0.00993435021272185,0.0,758.7353371313542,23853.192624819076,0.2590918587184916,4,2
40,1999-12-27 00:00:00,5,0.008333333333333333,0.0021590988226540967,2.220446049250313e-16,0.0021590988226540967,0.0,224.15975530755443,3498.133698807454,0.0,2,2
41,1999-12-28 00:00:00,5,0.008333333333333333,0.0,0.0,0.0021590988226540967,1.1102230246251565e-16,6366.698765432393,13548.933318788342,0.0,4,1
42,1999-12-29 00:00:00,6,0.008333333333333333,0.016666666666666666,5.551115123125783e-17,0.017746216077993714,0.0,3193.5702526982154,13279.001154956619,0.0,4,2
43,1999-12-30 00:00:00,6,0.00824707629993595,0.008333333333333333,0.0,0.009412882744660381,0.0,1394.48103838606,16576.83650716057,0.0,4,2
44,1999-12-31 00:00:00,6,0.008333333333333333,0.005555555555555556,1.295260195396016e-16,0.011830810718662476,0.0,3621.0176288096504,23684.14891883048,0.0,4,3
45,2000-01-01 00:00:00,6,0.01572732008632615,0.006828277610807681,4.163336342344337e-17,0.014621836238477487,1.1102230246251565e-16,5878.8949379659425,34624.12259755616,1.1588187986080065,5,4
46,2000-01-02 00:00:00,6,0.023613861738852993,0.015234313939439786,1.3877787807814457e-16,0.014819852390764051,0.0,10295.407327259836,70270.8747709445,3.2154045920647647,6,4
47,2000-01-03 00:00:00,6,0.006426862123240143,0.025224577422415524,4.85722573273506e-17,0.01052261210135305,1.1102230246251565e-16,4897.735890228723,56725.00418989508,0.0,6,4
48,2000-01-04 00:00:00,6,0.00784614239493561,0.0013697797761764718,5.551115123125783e-17,0.011892391877529522,1.1102230246251565e-16,3762.1126595108058,25316.57625887992,0.0,4,4
49,2000-01-05 00:00:00,7,0.005507492427997214,0.004665497847454914,5.5077470362263625e-17,0.012658884340665214,2.0816681711721685e-16,3733.732290165327,40648.33684806701,0.26873449571304775,5,4
50,2000-01-06 00:00:00,7,0.017786722242594047,0.02021373373737291,1.1102230246251565e-16,0.013397519133603215,0.0,10018.868234358499,26527.465847221123,1.1344066691112857,4,2
51,2000-01-07 00:00:00,7,0.007570645265950393,0.016025861887993525,2.220446049250313e-16,0.01865528203755519,1.1102230246251565e-16,2650.1957781237343,22600.77620076494,0.0,4,3
52,2000-01-08 00:00:00,7,0.00833333333333334,0.0010169174231772634,0.0,0.008706685191975804,0.0,1668.7946209370807,11365.838269810734,0.0,4,3
53,2000-01-09 00:00:00,7,0.008333333333333328,2.960594732333751e-17,0.0,0.013060027787963675,0.0,6259.882861254457,33157.33487053561,0.0,6,2
54,2000-01-10 00:00:00,7,0.02695136681451841,0.027810840696312813,5.551115123125783e-17,0.02600752125696133,1.249000902703301e-16,11910.756953183754,93133.89039668652,4.245475386987799,8,4
55,2000-01-11 00:00:00,7,0.007569482155772887,0.031022693391028932,2.7755575615628914e-17,0.009741866588697957,1.6653345369377348e-16,7161.966680712924,48559.3838313559,0.0,5,4
56,2000-01-12 00:00:00,8,0.010007820036808763,0.005870369700331612,0.0,0.007859272396789607,0.0,8509.996811769684,61925.84690345752,0.3190220406738611,6,4
57,2000-01-13 00:00:00,8,0.007576523037374869,0.005879170802334088,0.0,0.009750667690700432,1.1102230246251565e-16,8450.626140523847,51439.04550615268,0.0,5,4
58,2000-01-14 00:00:00,8,0.004965056680381138,0.008979554720544753,1.1102230246251565e-16,0.01607526875169989,0.0,1405.3144867357819,37640.10857240182,0.0,6,2
