t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.07102300622980626,,,,0.0,2098.0854273764144,37728.45864325173,0.0,5,0
1,1999-11-18 00:00:00,0,0.07780430109489749,0.048405423357892025,0.4253464786620262,0.048405423357892025,0.4253464786619935,653.9690692597068,42854.482911971754,0.0,6,2
2,1999-11-19 00:00:00,0,0.13284227737403817,0.09713712051998027,0.021309786586759416,0.06560201932346009,0.446656265248748,1625.2926392215948,18164.14975904693,0.0,5,2
3,1999-11-20 00:00:00,0,0.0976428909663262,0.08020909495312557,1.82702760806552,0.08541024883392558,1.3803713428167719,1.8902730073996847,2350.9344937571077,0.0,2,2
4,1999-11-21 00:00:00,0,0.13663122401753366,0.04207421796540656,0.6931471805599514,0.11243969913303671,0.6872241622568198,416.536851893466,11088.944225283598,0.0,4,2
5,1999-11-22 00:00:00,0,0.09704085635050724,0.06442504531740934,1.3009345121687388,0.07686375939787166,0.6137103499119094,106.47234904133148,13170.127228093652,0.0,4,2
6,1999-11-23 00:00:00,0,0.049252353684144365,0.024793274988900472,0.5187937934151692,0.10008513822459857,0.09491655649674309,2613.0528029215084,38656.57359753823,0.0,5,1
7,1999-11-24 00:00:00,1,0.0605639282823083,0.08462026324201505,0.6632942174102578,0.0840607428389833,0.7582107739070074,3143.467981357674,37069.001370356105,0.0,5,3
8,1999-11-25 00:00:00,1,0.36504511307045673,0.25506862473995257,0.4938760654522158,0.2891669580775656,0.2643347084547869,3191.5905165180206,46299.42057099686,0.0,5,3
9,1999-11-26 00:00:00,1,0.5062077351111743,0.22422368909060436,0.10227884912041188,0.36729468650623753,0.16205585933436953,6668.9383908809195,61054.28314682399,0.0,6,4
10,1999-11-27 00:00:00,1,0.5218112175282543,0.037442386815284535,0.3268360098713387,0.21060012012809676,0.1647801505369667,2655.106076447253,40052.763722569085,0.0,5,5
11,1999-11-28 00:00:00,1,0.5189031042005382,0.06975094981140287,0.3199155670267608,0.30239940199984405,0.15513541648979506,12948.473158782941,60617.64813208727,0.0,6,4
12,1999-11-29 00:00:00,1,0.48386832433077975,0.2686274180177472,0.2772833652309013,0.48087240315810176,0.1221479487410873,3918.2938585992574,40344.21211858168,0.0,5,4
13,1999-11-30 00:00:00,1,0.5315309357019584,0.12978205890205552,0.1320392262198335,0.4160999453504408,0.009891277478744,2340.88681964718,41504.68517790582,0.0,5,4
14,1999-12-01 00:00:00,2,0.6509397872886541,0.023563630472866703,0.11579693768474675,0.3419389444946039,0.1256882151634964,7970.443220132444,77477.72847657463,0.0,6,5
15,1999-12-02 00:00:00,2,0.30516849123570455,0.19867484674911146,1.183451168605134,0.468440638789201,1.0577629534416415,1936.8118712884511,20978.505507222177,0.0,5,4
16,1999-12-03 00:00:00,2,0.4389296329046939,0.04510170636597289,0.772051324977142,0.5080004226684343,0.28571162846448117,6442.509743625278,54875.04904641074,0.0,6,4
