method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.016111671007896376,,,,False,True,,17.848231814067276,15.914831293119711,0.05,2.9975193140878416
TMTM,0,1,0.19847801711395366,,,,False,True,,21.397469239445275,45.214831293119715,2.4000000000000004,143.88092707621638
TMTM,0,2,0.0001300320613922897,,,,False,False,,53.99922744575264,54.01483129311971,0.6000000000000001,35.970231769054095
TMTM,0,3,0.00043990875815123806,,,,False,True,,92.66762034409787,92.61483129311972,0.75,44.962789711317626
TMTM,0,4,0.18205646940929843,,,,False,True,,87.01160762223552,65.1648312931197,21.6,1294.9283436859475
TMTM,1,5,0.17021491910848152,,,,False,False,,22.239041000101928,42.66483129311971,0.1,5.995038628175683
TMTM,1,6,0.1357081758915261,,,,False,False,,26.62985018613658,42.91483129311971,0.05,2.9975193140878416
TMTM,1,7,0.0010814695453231474,,,,False,False,,57.58505494768094,57.714831293119715,0.4,23.980154512702732
TMTM,1,4,0.15992819010191775,0.022128279307380674,0.0,0.022128279307380674,True,True,0.5572354211663066,84.40621410534985,65.21483129311972,14.450000000000001,866.2830817713863
TMTM,1,8,0.39056147061883756,,,,False,False,,82.83220776738023,35.964831293119715,0.05,2.9975193140878416
TMTM,1,3,0.4386646523391582,0.438224743581007,2.220446049250313e-16,0.438224743581007,True,True,0.21052631578947367,87.7045895738187,35.06483129311971,1.55,92.92309873672309
TMTM,2,9,0.05881958854443129,,,,False,False,,54.856480667787956,61.91483129311971,1.4000000000000001,83.93054079445956
TMTM,2,10,0.03821122594989266,,,,False,True,,62.50017840710683,57.91483129311971,4.25,254.78914169746653
TMTM,2,11,0.07413153703915701,,,,False,False,,69.26061573781855,60.364831293119714,0.55,32.972712454966256
TMTM,2,3,0.03866249160667756,0.47732714394583575,0.0,0.0391024003648288,True,True,0.17218543046357615,95.47533230031841,100.11483129311972,7.300000000000001,437.6378198568249
TMTM,2,4,0.07027957508638849,0.08964861501552927,0.0,0.11177689432290995,True,True,0.12418300653594772,99.94838030348633,91.51483129311971,2.75,164.86356227483128
TMTM,3,10,0.04089997077278511,0.07911119672267777,0.0,0.07911119672267777,True,True,0.055994729907773384,46.5568348003855,51.464831293119715,75.9,4550.234318785344
TMTM,3,3,0.07276789831419338,0.03410540670751582,0.0,0.07320780707234462,True,True,0.2908366533864542,93.2826834954165,102.01483129311971,25.1,1504.7546956720964
TMTM,4,10,0.1146231671660186,0.07372319639323349,2.220446049250313e-16,0.15283439311591127,True,True,0.29314888010540185,36.11005123319748,49.864831293119714,22.25,1333.8960947690896
TMTM,4,12,0.09662345953844564,,,,False,False,,50.070016148506234,61.66483129311971,1.3,77.93550216628388
TMTM,4,13,0.011192415174280157,,,,False,False,,71.45792111403333,70.1148312931197,2.1,125.89581119168935
TMTM,4,3,0.02639019545131293,0.09915809376550631,1.1102230246251565e-16,0.02595028669316169,True,True,0.8992395437262357,93.63165474727727,90.46483129311972,24.85,1489.7670991016573
TMTM,5,10,0.052454413677915035,0.06216875348810357,0.0,0.09066563962780769,True,False,0.41140529531568226,43.520301651769906,49.81483129311971,12.4,743.3847898937847
TMTM,5,14,0.15368401480504226,,,,False,False,,75.80691306972479,57.364831293119714,0.05,2.9975193140878416
TMTM,5,15,0.2100970182929796,,,,False,False,,95.12647348827727,69.91483129311972,0.55,32.972712454966256
TMTM,5,3,0.2589048659414111,0.23251467049009816,0.0,0.25846495718325985,True,True,0.030181086519114688,101.68341520608904,70.6148312931197,0.75,44.962789711317626
TMTM,6,16,0.008073681214601525,,,,False,True,,18.43367303887189,17.46483129311971,0.30000000000000004,17.985115884527048
