t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.016155085088367827,,,,0.0,6736.613374694866,19347.245074504273,0.9386102106041392,4,0
1,1999-11-18 00:00:00,0,0.022799283003087634,0.02325326438400476,0.0,0.02325326438400476,1.6653345369377348e-16,5922.517108428659,27940.870158899557,1.7903917260805713,5,2
2,1999-11-19 00:00:00,0,0.0352967939017472,0.015105003680062816,0.0,0.03573363556678844,1.6653345369377348e-16,3169.770831581946,18219.91692435897,5.100636709622151,5,2
3,1999-11-20 00:00:00,0,0.008333333333333333,0.014520492261722718,0.0,0.012283718862543817,2.220446049250313e-16,1129.502757335679,2335.0760980981913,0.0,2,2
4,1999-11-21 00:00:00,0,0.04014685711361135,0.03269804572366504,0.0,0.024081054313626105,0.0,8617.776021661844,23030.268399256896,6.278055951573819,5,2
5,1999-11-22 00:00:00,0,0.016211112639145615,0.024820266417852763,2.220446049250313e-16,0.004461967107509324,2.220446049250313e-16,2536.296074535897,13087.426199991201,0.9453335166974739,4,2
6,1999-11-23 00:00:00,0,0.06865240142772164,0.013009637548809749,0.0,0.004141730884568891,1.249000902703301e-16,13230.004967755505,38607.89289639539,8.635761335549343,5,1
7,1999-11-24 00:00:00,1,0.008333333333333333,0.05255532829315085,0.0,0.05117475133162788,1.1102230246251565e-16,7993.023038385353,36416.788077654404,0.0,5,3
8,1999-11-25 00:00:00,1,0.013787081404265985,0.0050314854268334284,7.401486830834377e-17,0.047902821406800376,1.3877787807814457e-16,5065.264303657518,46132.25902149704,1.0471770348108436,5,3
9,1999-11-26 00:00:00,1,0.010375357061107484,0.010121899559314328,1.1102230246251565e-16,0.0437083371240231,1.3877787807814457e-16,13642.413816684888,60766.597702103965,0.24504284733289694,6,4
10,1999-11-27 00:00:00,1,0.011228694239342285,0.0031886690581414594,4.4408920985006264e-17,0.033193603190716,0.0,10211.639621823466,40042.37843063189,0.5481933150611198,5,5
11,1999-11-28 00:00:00,1,0.03663638024427258,0.04626723495572156,9.71445146547012e-17,0.06139942571761786,1.3877787807814457e-16,18116.547865573695,91747.39653935202,7.059284280735646,7,4
12,1999-11-29 00:00:00,1,0.04361337072263778,0.021726777049631187,4.163336342344337e-17,0.054367353061778145,0.0,8689.104199988025,40568.40588879457,4.363171791379152,5,4
13,1999-11-30 00:00:00,1,0.10331506890216317,0.049600042991829275,5.551115123125783e-17,0.09390077682768641,0.0,12119.251600004354,41498.98534087543,18.038943617915855,5,4
14,1999-12-01 00:00:00,2,0.15644382989132252,0.04089088856707665,2.2204460492503132e-17,0.10414339584677867,1.1102230246251565e-16,26612.156575494904,77760.09088584603,32.236851549676565,6,5
15,1999-12-02 00:00:00,2,0.007543282869838918,0.14434354096992505,1.3877787807814457e-16,0.05985334605210957,2.220446049250313e-16,4550.595043955706,15962.997867107099,0.0,4,4
16,1999-12-03 00:00:00,2,0.03652337531025294,0.03042205678108469,1.249000902703301e-16,0.08489115332426198,0.0,15272.211139703499,54502.09620670843,3.5558407581108327,6,4
17,1999-12-04 00:00:00,2,0.008333333333333333,0.029632006317590272,0.0,0.07794903692410853,1.6653345369377348e-16,7795.081747086728,23861.67872390817,0.0,4,3
18,1999-12-05 00:00:00,2,0.09688926758009553,0.0894550517483772,0.0,0.1674040886724857,1.3877787807814457e-16,30504.731910837807,70885.6331390924,17.905325127213843,6,3
19,1999-12-06 00:00:00,2,0.022464822990834698,0.06334585151630008,0.0,0.07520057022843575,0.0,13779.753058902972,53280.31243688068,2.5806290033069104,6,4
20,1999-12-07 00:00:00,2,0.04948446231477671,0.03193403839779981,0.0,0.10713460862623556,2.0816681711721685e-16,14499.546371050796,55947.83039945236,9.10270885900303,6,4
21,1999-12-08 00:00:00,3,0.0385473379508176,0.02449507298431103,1.1102230246251565e-16,0.07004909067066457,1.6653345369377348e-16,7397.125864655096,22367.74277571327,5.157346860949588,4,4
22,1999-12-09 00:00:00,3,0.013153628734984579,0.029908166409013087,7.401486830834377e-17,0.0036822124570959486,0.0,4799.601116694502,11280.33713578936,0.5784354481981495,3,3
23,1999-12-10 00:00:00,3,0.007637950940871695,0.005979266055753977,2.9605947323337506e-16,0.0037092548551841136,1.6653345369377348e-16,11931.539535879361,48883.84504546923,0.0,5,3
24,1999-12-11 00:00:00,3,0.03785438161072929,0.04416833488689756,1.4802973661668753e-16,0.04419376093923586,0.0,4787.136029187563,50374.11377155937,6.604923619838999,6,3
25,1999-12-12 00:00:00,3,0.06866451146470343,0.09574684926688043,0.0,0.06799774607112631,1.6653345369377348e-16,9203.966257399581,35543.88574014653,11.270099447229018,5,2
26,1999-12-13 00:00:00,3,0.008020611188560463,0.05641398762725837,1.1102230246251565e-16,0.044648434492797595,0.0,1038.6218162119378,20307.73751984651,0.0,4,4
27,1999-12-14 00:00:00,3,0.00791851061171693,0.0006254442895457402,0.0,0.06643810479494705,2.220446049250313e-16,120.6061888257102,8176.231343701292,0.0,3,2
28,1999-12-15 00:00:00,4,0.00833333333333334,0.0,0.0,0.03895871419631896,1.6653345369377348e-16,13377.657602799734,44037.52194927633,0.0,5,1
29,1999-12-16 00:00:00,4,0.02163608140785532,0.013302748074521984,1.4802973661668753e-16,0.017420487423613653,2.2204460492503128e-16,4041.262522887821,24793.47608064787,1.5963297689426383,4,3
30,1999-12-17 00:00:00,4,0.0687753131829432,0.09216378081447588,0.0,0.09857777234492514,0.0,21606.248045566823,77379.68815224901,15.374059917566143,7,4
31,1999-12-18 00:00:00,4,0.06024477024731022,0.01570790046536043,6.938893903907228e-17,0.0530704752774113,1.6653345369377348e-16,12278.930275646218,48613.76564428272,11.793801411205024,5,5
32,1999-12-19 00:00:00,4,0.03561737863165189,0.022925881401629156,0.0,0.04238089795187541,0.0,12012.598346491277,36631.480557150324,5.205548610126968,5,4
33,1999-12-20 00:00:00,4,0.006875246562682295,0.0361451992807673,2.7755575615628914e-17,0.03486586872995524,2.220446049250313e-16,5015.703060576433,24997.92033456958,0.0,4,4
34,1999-12-21 00:00:00,4,0.058969917656908136,0.056629463324173984,1.8503717077085943e-16,0.05873617293566688,0.0,11161.399171002226,32503.553535823925,8.326471417763969,5,3
35,1999-12-22 00:00:00,5,0.05530942109816067,0.017318484077669456,3.700743415417188e-17,0.041417688857997424,2.220446049250313e-16,10351.373993550542,40904.97246065726,8.177695827577082,5,3
36,1999-12-23 00:00:00,5,0.044401348999729126,0.020418355241555063,4.85722573273506e-17,0.04244676559497092,1.6653345369377348e-16,15881.366007331637,47567.6584569567,5.62968173486037,5,4
37,1999-12-24 00:00:00,5,0.060371576366242165,0.01961865571382595,0.0,0.029240858642280425,1.1102230246251565e-16,17569.84084274937,70412.49891415017,11.835191058047293,6,4
38,1999-12-25 00:00:00,5,0.04569781268971036,0.03177556007248102,0.0,0.01887252612588231,1.6653345369377348e-16,10772.659981761417,32219.73312092698,6.70736322139194,5,3
39,1999-12-26 00:00:00,5,0.038898821897828326,0.016620478613082402,0.0,0.022746864472187146,0.0,11068.375682667644,23696.32194799375,3.667858627739399,4,2
40,1999-12-27 00:00:00,5,0.008333333333333333,0.03056548856449499,5.551115123125783e-17,0.02660961242496486,2.220446049250313e-16,239.08588720037096,3440.713218379971,0.0,2,2
41,1999-12-28 00:00:00,5,0.007586643222750622,0.013679906224335821,0.0,0.03633364250977055,1.1102230246251565e-16,524.3723573331755,13531.560197863637,0.0,4,1
42,1999-12-29 00:00:00,6,0.04967673164631972,0.013156164350808346,3.3306690738754696e-16,0.013261287904390934,0.0,2877.728946945555,13168.540840879345,10.16447024647988,4,2
43,1999-12-30 00:00:00,6,0.0686004682243957,0.05366616695122361,8.326672684688674e-17,0.040404879046832674,0.0,7048.692960040904,16818.637313184467,9.256302711108958,4,2
44,1999-12-31 00:00:00,6,0.12221520059149868,0.11639577214387306,7.632783294297951e-17,0.11510105910736004,0.0,6231.027273962514,23784.467503947613,21.48855977899221,4,4
45,2000-01-01 00:00:00,6,0.021212310489714052,0.1203006878405162,4.163336342344337e-17,0.04322971096040613,0.0,9853.607162577882,34599.19568675056,1.7488645927844289,5,4
46,2000-01-02 00:00:00,6,0.04254299593783723,0.025622033785779735,0.0,0.024120912177666817,1.6653345369377348e-16,15161.358318873301,70176.4007634777,9.273750201534995,6,4
47,2000-01-03 00:00:00,6,0.0752157504733247,0.023081607977224205,4.85722573273506e-17,0.014634913190081233,1.1796119636642288e-16,21904.26401578334,56240.97860384001,11.640956863635932,6,4
48,2000-01-04 00:00:00,6,0.042721625159956686,0.03055569423402888,5.551115123125783e-17,0.01657443185623588,1.1102230246251565e-16,6676.298530500495,25396.223245684963,5.0567299059271384,4,4
49,2000-01-05 00:00:00,7,0.024561031219954624,0.01854281770900563,0.0,0.035117249565241516,0.0,12674.077453166026,40497.980994011494,2.5007012928674044,5,4
50,2000-01-06 00:00:00,7,0.008333333333333333,0.02887933240867066,5.551115123125783e-17,0.06036398459338045,2.0816681711721685e-16,942.1735848406153,14305.113587532242,0.0,3,2
51,2000-01-07 00:00:00,7,0.031998994176219334,0.03160108313848034,0.0,0.03745239992177099,1.1102230246251565e-16,6995.788016401516,22494.641219161913,3.9831272747323574,4,3
52,2000-01-08 00:00:00,7,0.008333333333333333,0.036533898191956383,5.551115123125783e-17,0.025546481598912995,2.220446049250313e-16,3714.1500457252023,14394.630895561473,0.0,5,3
53,2000-01-09 00:00:00,7,0.027432708765708802,0.025519924709661464,4.625929269271486e-17,0.028561146789104725,1.1102230246251565e-16,7290.054594703964,27015.006623547153,3.1362261819735764,5,3
54,2000-01-10 00:00:00,7,0.08249182873857555,0.05376088290051469,5.551115123125783e-17,0.036142238093088114,0.0,29409.652687595386,80171.46993530901,18.40260287973659,7,4
55,2000-01-11 00:00:00,7,0.08548331640617109,0.059229718692670436,0.0,0.09101505907864521,0.0,12744.169124394202,48458.03859503996,12.039795835633406,5,4
