t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.10046209597628977,,,,0.0,6014.251249618938,19347.245074504273,0.0,4,0
1,1999-11-18 00:00:00,0,0.08669902861718976,0.029054284332215685,0.39419738326177756,0.029054284332215685,0.3941973832618162,8720.633828926966,27940.870158899557,0.0,5,2
2,1999-11-19 00:00:00,0,0.1218678511936635,0.05931219760766268,0.04732065619008474,0.08836648193987837,0.44151803945189166,6543.199309547981,18219.91692435897,0.0,5,2
3,1999-11-20 00:00:00,0,0.10854776951925024,0.19016759888298493,1.8355725806084502,0.2316811510333427,1.3940545411565592,664.3414568382908,2335.0760980981913,0.0,2,2
4,1999-11-21 00:00:00,0,0.19811480260773393,0.04435988308510318,1.0539466713649235,0.2760410341184459,0.34010786979163404,7489.558351871805,23030.268399256896,0.0,5,2
5,1999-11-22 00:00:00,0,0.08039000667927937,0.08024866694511751,0.9701339638949706,0.19579236717332837,0.6300260941033414,3988.204103678958,13087.426199991201,0.0,4,2
6,1999-11-23 00:00:00,0,0.21860115913587114,0.09891678934358535,0.5535182080673033,0.10822019884736302,0.076507886036037,13348.692321462817,38607.89289639539,0.0,5,1
7,1999-11-24 00:00:00,1,0.22428161996576904,0.07771262822842802,0.6900937430730728,0.04163922861264035,0.7666016291090942,13184.885841265457,36416.788077654404,0.0,5,3
8,1999-11-25 00:00:00,1,0.40903694990740574,0.13790210719580928,0.5205344378929656,0.1631561744794356,0.2460671912161426,16589.01659241501,46132.25902149704,0.0,5,3
9,1999-11-26 00:00:00,1,0.3266873240414325,0.09014762936994965,0.09333193979221668,0.12540248840536974,0.15273525142392355,23249.755865119645,60766.597702103965,0.0,6,4
10,1999-11-27 00:00:00,1,0.3062067695748284,0.037267403049768735,0.30971478745165704,0.0773616933455678,0.1569795360277381,14016.4201326726,40042.37843063189,0.0,5,5
11,1999-11-28 00:00:00,1,0.24214363238605127,0.046528946749993576,0.3297154541583234,0.050352353832853136,0.1727359181305904,40817.678713689966,91747.39653935202,0.0,7,4
12,1999-11-29 00:00:00,1,0.28194442130234154,0.16088994136198964,0.2952292770779374,0.20505572936159208,0.12249335995657054,15142.68011054784,40568.40588879457,0.0,5,4
13,1999-11-30 00:00:00,1,0.24580589278079196,0.048900120398644005,0.09731720820479255,0.13968633798589952,0.025176154892475624,14436.273214537052,41498.98534087543,0.0,5,4
14,1999-12-01 00:00:00,2,0.24462774538286117,0.04311433601050877,0.12020308869575154,0.10569800533474756,0.0950269338032796,28916.818726078844,77760.09088584603,0.0,6,5
15,1999-12-02 00:00:00,2,0.2311293319693338,0.07450740950516364,1.2361594908219837,0.14640769546944976,1.1411325570185613,6954.125554447632,15962.997867107099,0.0,4,4
16,1999-12-03 00:00:00,2,0.2875604675800147,0.07149855939086436,0.8400841230636723,0.1527883958182169,0.30104843395504566,22811.386629847588,54502.09620670843,0.0,6,4
17,1999-12-04 00:00:00,2,0.20257375314142273,0.13746651611051944,0.06495789627476584,0.10874466981880197,0.2360905376802746,9595.796047019507,23861.67872390817,0.0,4,3
18,1999-12-05 00:00:00,2,0.3000186576555562,0.1574765944737435,0.4258047923452854,0.20779449070323028,0.18971425466500996,34314.2846585073,70885.6331390924,0.0,6,3
19,1999-12-06 00:00:00,2,0.18730421519736587,0.19132581628590942,0.22587953113308157,0.26416863154827575,0.036165276468070794,21199.324556138778,53280.31243688068,0.0,6,4
20,1999-12-07 00:00:00,2,0.1914839943734581,0.06264478232741587,0.016260520871782452,0.2897462710306641,0.05242579733985174,20831.733096799162,55947.83039945236,0.0,6,4
21,1999-12-08 00:00:00,3,0.20233295066243334,0.07210445003743171,0.3892045872363939,0.23175878378571527,0.4416303845762386,8272.896447655367,22367.74277571327,0.0,4,4
22,1999-12-09 00:00:00,3,0.08057919708970616,0.09716442408736896,0.424776053021253,0.2918990876894416,0.016854331554985624,3909.903036494074,11280.33713578936,0.0,3,3
23,1999-12-10 00:00:00,3,0.08781010927587315,0.08764058756888116,0.3739340518603274,0.2555915061574822,0.35707972030531754,18295.04496409796,48883.84504546923,0.0,5,3
24,1999-12-11 00:00:00,3,0.09784703537256285,0.06775681151702885,0.0888533373555624,0.2867975596938657,0.4459330576610028,16437.992953991918,50374.11377155937,0.0,6,3
25,1999-12-12 00:00:00,3,0.12277588025060486,0.03194486476601746,0.004434597068054158,0.39774330431026017,0.4503676547288686,11365.669588865743,35543.88574014653,0.0,5,2
26,1999-12-13 00:00:00,3,0.12276311157441663,0.05139085232421019,0.4187103348581735,0.25026250447934023,0.031657319870688275,6376.052856463369,20307.73751984651,0.0,4,4
27,1999-12-14 00:00:00,3,0.1504220127346254,0.07016033882457119,0.7349443092384091,0.12660095361284068,0.766601629109097,2520.7712245162484,8176.231343701292,0.0,3,2
28,1999-12-15 00:00:00,4,0.11879181495425506,0.06595238933161246,1.1481764466842295,0.13418125366405065,0.38157481757512934,14953.509551306506,44037.52194927633,0.0,5,1
29,1999-12-16 00:00:00,4,0.23001564955024767,0.049471937473599265,0.38157481757466744,0.09419902202828283,5.662137425588314e-15,7640.838366207598,24793.47608064787,0.0,4,3
30,1999-12-17 00:00:00,4,0.21732685499313795,0.03098387782783866,1.2317390687037113,0.08596027708873231,1.2317390687036573,27407.814633078884,77379.68815224901,0.0,7,4
31,1999-12-18 00:00:00,4,0.22270139783846848,0.039935194208557484,1.4150044670023552,0.07896293626753739,0.18326539829866687,16616.74708729627,48613.76564428272,0.0,5,5
32,1999-12-19 00:00:00,4,0.24434477391756299,0.07864620946679146,0.7290514291705297,0.06716485811428,0.9123168407518815,14234.068991503671,36631.480557150324,0.0,5,4
