method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.08023408120238701,,,,False,True,,64.14124114987719,73.76933089416363,2.357142857142857,141.28640559971558
TMTM,0,1,0.032126265132628735,,,,False,False,,68.83876842436479,64.98361660844934,0.6428571428571428,38.5326560726497
TMTM,0,2,0.05190445765946577,,,,False,True,,20.112224546456307,26.3407594655922,0.6428571428571428,38.5326560726497
TMTM,0,3,0.10001227372922372,,,,False,True,,65.84223231309905,53.8407594655922,21.57142857142857,1292.9846815489122
TMTM,1,4,0.031211015558509678,,,,False,False,,72.23829474142818,75.98361660844934,0.14285714285714285,8.562812460588823
TMTM,1,5,0.13345012480722987,,,,False,False,,76.99763158531692,60.98361660844934,0.6428571428571428,38.5326560726497
TMTM,1,3,0.13879268396819847,0.03878041023897474,0.0,0.03878041023897474,True,True,0.5603715170278638,70.06731011320458,53.41218803702077,14.428571428571427,864.8440585194711
TMTM,1,6,0.43068745678865755,,,,False,False,,31.443978936667584,83.12647375130649,0.07142857142857142,4.281406230294412
TMTM,1,2,0.5105524897101996,0.4586480320507338,0.0,0.4586480320507338,True,True,0.2692307692307692,22.86017498608254,84.12647375130649,1.7142857142857142,102.75374952706588
TMTM,2,7,0.08012418743117435,,,,False,False,,66.52709052876169,56.91218803702077,1.4285714285714284,85.62812460588823
TMTM,2,8,0.25875589726000553,,,,False,True,,92.24860999393572,61.197902322735054,4.142857142857142,248.32156135707586
TMTM,2,9,0.09736843775671886,,,,False,False,,70.4535434249699,58.76933089416363,0.5714285714285714,34.25124984235529
TMTM,2,2,0.10181683215075799,0.6123693218609575,0.0,0.15372128981022376,True,True,0.19047619047619047,31.201636466540297,18.98361660844934,7.2142857142857135,432.42202925973555
TMTM,2,3,0.40457156684659845,0.26577888287839996,2.220446049250313e-16,0.30455929311737473,True,True,0.13615023474178403,75.96077605861258,27.41218803702077,2.8571428571428568,171.25624921177646
TMTM,3,8,0.010951031101121817,0.26970692836112736,4.440892098500626e-16,0.26970692836112736,True,True,0.054104477611940295,66.24092144774329,67.55504517987791,76.57142857142857,4589.667478875609
TMTM,3,2,0.30749915296691016,0.20568232081615218,0.0,0.3594036106263759,True,True,0.28774928774928776,53.52637210733571,16.62647375130649,25.07142857142857,1502.7735868333384
TMTM,4,10,0.1744016171259646,,,,False,True,,51.84113683904788,72.76933089416363,0.07142857142857142,4.281406230294412
TMTM,4,8,0.054163429649547484,0.043212398548425665,0.0,0.312919326909553,True,False,0.08861940298507463,62.76971933621793,69.26933089416363,6.785714285714286,406.7335918779691
TMTM,4,11,0.28905414411306,,,,False,False,,92.09868533058797,57.41218803702077,1.357142857142857,81.34671837559382
