t,current,previous,track,iou,boundary
1,1213,1537,3,0.5603715170278638,True
1,1353,1435,2,0.2692307692307692,True
2,1640,1353,2,0.19047619047619047,True
2,1670,1213,3,0.13615023474178403,True
3,808,857,8,0.054104477611940295,True
3,1640,1640,2,0.28774928774928776,True
4,473,808,8,0.08861940298507463,True
4,1644,1640,2,0.8945945945945946,True
5,557,473,8,0.375,False
5,1652,1644,2,0.025714285714285714,True
6,646,557,8,0.24705882352941178,True
7,0,11,16,0.2357142857142857,True
7,734,646,8,0.00390625,True
7,1485,1528,18,0.5333333333333333,False
8,0,0,16,0.18571428571428572,True
8,778,734,8,0.06896551724137931,True
8,1531,1485,18,0.08040201005025126,True
9,164,0,16,0.43333333333333335,True
9,245,368,21,0.18571428571428572,True
9,696,778,8,0.13793103448275862,True
9,1661,1531,18,0.2864321608040201,True
10,0,164,16,0.6166666666666667,True
10,21,22,23,0.5161290322580645,True
10,40,245,21,0.6951219512195121,True
10,1107,1238,24,0.0625,True
10,1494,1661,18,0.22529644268774704,True
11,0,0,16,0.3783783783783784,True
11,21,21,23,0.6595744680851063,True
11,40,40,21,0.7971014492753623,True
11,1669,1494,18,0.42028985507246375,True
12,21,21,23,0.618421052631579,True
12,35,40,21,0.05454545454545454,True
12,778,819,25,0.21428571428571427,True
12,1667,1669,18,0.468013468013468,True
13,36,35,21,0.13636363636363635,True
13,145,21,23,0.618421052631579,True
13,1356,1439,28,0.1323529411764706,True
13,1680,1667,18,0.46254071661237783,True
14,8,298,29,0.4444444444444444,True
14,26,145,23,0.34782608695652173,True
14,40,36,21,0.4888888888888889,True
14,1460,1680,18,0.2702702702702703,True
14,1476,1356,28,0.05333333333333334,True
15,6,8,29,0.7848837209302325,True
15,35,40,21,0.044444444444444446,True
15,149,26,23,0.5,True
15,1474,1460,18,0.09787735849056604,True
16,4,6,29,0.6626506024096386,True
16,28,149,23,0.2891566265060241,True
16,35,35,21,0.4,True
16,1639,1474,18,0.22523584905660377,True
17,4,4,29,0.7066115702479339,True
17,36,28,23,0.12857142857142856,True
17,1675,1639,18,0.2774869109947644,True
18,4,4,29,0.5906432748538012,True
18,35,36,23,0.35074626865671643,True
18,1676,1675,18,0.6545454545454545,True
19,3,4,29,0.504950495049505,True
19,36,35,23,0.5319148936170213,True
19,1353,1230,35,0.2795031055900621,True
19,1672,1676,18,0.4,True
20,9,3,29,0.47368421052631576,True
20,233,36,23,0.11961722488038277,True
