t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.30206642307459214,,,,0.0,2093.590059985016,38372.09825860281,0.0,5,0
1,1999-11-18 00:00:00,0,0.35673903185482486,0.036715975686871245,0.44028487326743604,0.03671597568687126,0.44028487326739235,288.5178476122226,18127.221502996486,0.0,4,2
2,1999-11-19 00:00:00,0,0.30498295336243747,0.054470789290970587,0.0019665689720459456,0.08881864048103623,0.43831830429535273,1587.0064553252437,18165.275101576677,0.0,5,2
3,1999-11-20 00:00:00,0,0.26076952389098434,0.22519333375008638,1.8204850202470413,0.2669777415823829,1.38216671595169,2.1075227663021363,2337.7894873579726,0.0,2,2
4,1999-11-21 00:00:00,0,0.22134986926471076,0.03647944625938691,1.060836609381679,0.23049829532299598,0.32133010657001376,696.0102105918049,23208.155769024597,0.0,5,2
5,1999-11-22 00:00:00,0,0.37221646517538254,0.08320796935417135,0.935312414187264,0.14729032596882458,0.613982307617253,97.96854726121803,13165.569908779458,0.0,4,2
6,1999-11-23 00:00:00,0,0.33859346242063915,0.0993847035225647,0.5210773444924212,0.06156511163743925,0.09290496312483312,2555.7913257008927,38788.14445085673,0.0,5,1
7,1999-11-24 00:00:00,1,0.3825943900289451,0.0682798300660251,0.6724995096664758,0.04775812618687867,0.7654044727913062,2935.116622227253,36185.253687776814,0.0,5,3
8,1999-11-25 00:00:00,1,0.12575950376595132,0.31007365544282983,0.685006022976157,0.2742550608026708,1.4504104957675503,5497.154956360058,67575.80120549355,0.0,6,4
9,1999-11-26 00:00:00,1,0.1926445079573272,0.255319348047573,1.2854282350498594,0.458888977104251,0.16498226071764935,6612.604110357549,61170.670983174656,0.0,6,4
10,1999-11-27 00:00:00,1,0.2393769809510184,0.055900026185093786,0.32940052601907777,0.30762164272979925,0.1644182653014277,2636.145201716943,40029.756122826446,0.0,5,5
11,1999-11-28 00:00:00,1,0.35202185326812574,0.08694459103808,0.327906873762293,0.43648704327070253,0.1634886084608644,19006.586090222176,91574.91915733444,0.0,7,4
12,1999-11-29 00:00:00,1,0.2981313179356241,0.3049936432004999,0.27377991033897825,0.5602628205332323,0.11029130509030344,3957.3851121435923,40450.406150246316,0.0,5,4
13,1999-11-30 00:00:00,1,0.28411548327144265,0.1195239840819839,0.1128293747740477,0.49014040024940897,0.002538072428471111,2349.2317883717415,41508.99007508889,0.0,5,4
14,1999-12-01 00:00:00,2,0.43582711939811275,0.05152018847552101,0.12000914565503462,0.43963344988923925,0.12254721808350456,8060.165428307383,77696.7405969067,0.0,6,5
15,1999-12-02 00:00:00,2,0.3812971499757894,0.1997952865448913,1.1766693365611176,0.6043252269012462,1.0541221184771983,1889.3011505491163,21084.914975849497,0.0,5,4
16,1999-12-03 00:00:00,2,0.4797583945901544,0.05789979950371014,0.742025687854514,0.5391444581026223,0.3120964306230703,5965.857273764562,53835.04299984695,0.0,6,4
17,1999-12-04 00:00:00,2,0.45727019064623664,0.1297890865679606,0.08920639686631394,0.5120419250371093,0.22289003375676159,2404.4483755333035,23918.901023414506,0.0,4,3
18,1999-12-05 00:00:00,2,0.29482151787928734,0.3319286198198886,0.4166839917129493,0.474102494458618,0.19379395795619198,17739.37263731084,70778.79187043541,0.0,6,3
19,1999-12-06 00:00:00,2,0.4597073868005146,0.400238132566402,0.22006188477679867,0.49756631042952715,0.026267926820608994,5005.375830178788,53156.431110087695,0.0,6,4
20,1999-12-07 00:00:00,2,0.43586843828718375,0.066474631801255,0.025595547188951462,0.5547310352392875,0.0518634740095682,5764.666192314926,56140.997138997285,0.0,6,4
21,1999-12-08 00:00:00,3,0.4405770689379038,0.09168891364695436,0.3782221140886114,0.4181433521456499,0.4300855880981727,2638.712222538363,22299.013524010617,0.0,4,4
22,1999-12-09 00:00:00,3,0.4564391757618285,0.095273464111502,0.4250286873091976,0.4322832326410209,0.005056900788974267,604.6504554762935,11267.407490795524,0.0,3,3
23,1999-12-10 00:00:00,3,0.4875678007613321,0.15110797442298027,0.3659049434083655,0.2811752582180407,0.360848042619353,5414.592700335125,48886.476727690984,0.0,5,3
24,1999-12-11 00:00:00,3,0.4896515757272743,0.08399568360154765,0.11960287237368128,0.17628126449272039,0.48045091499273695,2106.419400568791,62262.05234897549,0.0,7,3
25,1999-12-12 00:00:00,3,0.6416706190061003,0.032008244207809476,0.010193768189996344,0.02864673060869219,0.4702571468031829,1016.9530963429554,35672.382469978445,0.0,5,2
26,1999-12-13 00:00:00,3,0.5502550898642925,0.10725743237163546,0.4341241838190019,0.12158079767598157,0.03613296298418964,186.75190729107638,20417.988592262718,0.0,4,4
27,1999-12-14 00:00:00,3,0.5094088117270505,0.08178013128664528,0.7597026270096586,0.20146387308883273,0.7958355899938407,2.752280671832325,8249.105636638425,0.0,3,2
28,1999-12-15 00:00:00,4,0.7157268047695773,0.06644480907266465,1.1786549963416413,0.3012043828414034,0.38281940634779665,2507.0985388744316,44021.84226625223,0.0,5,1
29,1999-12-16 00:00:00,4,0.46568404382030226,0.06301105627182732,0.37650226594646424,0.1513257972930231,0.006317140401260387,286.12221711875316,24726.7615185261,0.0,4,3
30,1999-12-17 00:00:00,4,0.38879509162720094,0.08142947731756309,0.2619865020755281,0.15881915863686474,0.2556693616742779,10516.67361428812,58580.72081367387,0.0,6,4
31,1999-12-18 00:00:00,4,0.5508141721658232,0.18431530948986002,0.4307829160924575,0.2967531798390798,0.17511355441817655,3083.477593273154,48449.962477537454,0.0,5,5
32,1999-12-19 00:00:00,4,0.5670634201667142,0.16127191480202235,0.7173207342848841,0.13103325770144772,0.8924342715121977,4365.679389411229,36747.385576190965,0.0,5,4
33,1999-12-20 00:00:00,4,0.5767372522819347,0.0867882698279315,0.3946207122850568,0.0880609949882246,0.4978135764181556,2910.4756236628114,24887.122436207213,0.0,4,4
34,1999-12-21 00:00:00,4,0.46674151991505114,0.03986510697353261,0.4568395022078667,0.0943069961135345,0.04097407421029993,2820.29448150753,32594.105090055717,0.0,5,3
35,1999-12-22 00:00:00,5,0.4074212153566473,0.05930299332012467,0.6483635779329927,0.09071392723357952,0.6893376521432809,4618.695662295074,40980.68292916814,0.0,5,3
36,1999-12-23 00:00:00,5,0.5879235443521926,0.2183322377618706,0.13821189777781148,0.27636619525146267,0.8275495499211059,2616.659976452535,28172.016002764485,0.0,4,4
37,1999-12-24 00:00:00,5,0.5075337724465794,0.13690579350834714,1.7945333961107925,0.07200974434488987,0.9669838461896698,8836.189104000056,94720.37714688836,0.0,7,3
38,1999-12-25 00:00:00,5,0.6055895829802289,0.05319350504716763,0.650587566141175,0.1246903376059918,0.3163962800485205,2039.2190299740187,32112.773664644214,0.0,5,3
39,1999-12-26 00:00:00,5,0.786964612399542,0.06048694790379455,1.218571603747103,0.13269263003241386,1.5349678837956091,438.2682986919689,23647.373810733552,0.0,4,3
40,1999-12-27 00:00:00,5,0.821276596352093,0.04744531617264272,3.0498304540970906,0.05565463051046313,1.5148625703017318,16.126761333305065,3481.147334617034,0.0,2,2
41,1999-12-28 00:00:00,5,0.4402927680093297,0.07607239317858347,2.404885375355283,0.032010714981195676,0.8900228050535505,494.7999358029827,17502.088962638485,0.0,5,1
42,1999-12-29 00:00:00,6,0.3466037011005728,0.15092255769609078,0.9261188208104225,0.13491720020549294,0.03609601575686932,1545.8307493648927,13356.61254870912,0.0,4,2
43,1999-12-30 00:00:00,6,0.2827095869142734,0.12801292890461305,0.35704162486933066,0.21669639121805884,0.39313764062618983,732.7567618212338,16643.282101675857,0.0,4,2
44,1999-12-31 00:00:00,6,0.3210198069957597,0.08930737802041333,0.3476523263390989,0.20675440373253418,0.7407899669652882,2050.6874691041303,23641.595405245705,0.0,4,3
45,2000-01-01 00:00:00,6,0.34886341636819357,0.03907121795985269,0.15173667744797265,0.1686635028899397,0.5890532895173133,3920.1312787504817,49993.2699367161,0.0,6,4
46,2000-01-02 00:00:00,6,0.5182888359777483,0.016957166720856662,1.0654142192585303,0.1555241975295235,0.4763609297412052,6057.501780672189,70180.84910732086,0.0,6,4
47,2000-01-03 00:00:00,6,0.3903269642373781,0.08040637110468928,0.3972683409039832,0.18401024121250187,0.07909258883721952,4385.177274859654,56446.8785017847,0.0,6,4
48,2000-01-04 00:00:00,6,0.38120315117242554,0.03972989789622276,0.5091781769353994,0.22374013910872464,0.4300855880981758,2867.3917061102907,25372.973342100096,0.0,4,4
49,2000-01-05 00:00:00,7,0.3726024428978024,0.05982775505466905,0.3462478094561263,0.203359075858278,0.08383777864208468,4127.4091586425075,40448.907889263966,0.0,5,4
50,2000-01-06 00:00:00,7,0.5698463092031048,0.07750909253275844,0.014084739881741387,0.21458497973135238,0.06975303876034777,915.385441791103,26898.529267277736,0.0,4,2
51,2000-01-07 00:00:00,7,0.37412467993087417,0.19460532485288584,0.5235107832930898,0.19394487119987935,0.5932638220536586,2334.0996072292915,22522.532675535334,0.0,4,3
52,2000-01-08 00:00:00,7,0.18877941105366072,0.12056900240724844,0.6302879209420907,0.19775489166999946,1.223551742995753,1171.8125078813423,17307.267614992015,0.0,6,3
53,2000-01-09 00:00:00,7,0.2741309991969185,0.02415418663178806,1.7415853691375467,0.18754106568245751,0.518033626141771,2705.1461040106324,71765.36277158132,0.0,7,3
54,2000-01-10 00:00:00,7,0.19026328838512266,0.08762735426139798,0.4416807589885344,0.10405784267955745,0.07635286109609764,6315.823921452985,93368.3968025617,0.0,8,4
55,2000-01-11 00:00:00,7,0.49998137491440825,0.2205633227883113,0.3979693258980927,0.24964888014639164,0.4743221930513513,2581.0244132986763,48443.89582722191,0.0,5,4
56,2000-01-12 00:00:00,8,0.4199973090749069,0.07353492104999541,0.17057815396921763,0.2868324367392981,0.6449003470205666,3760.2769685202848,61991.02206489222,0.0,6,4
57,2000-01-13 00:00:00,8,0.38042941140745284,0.20969816564360072,1.099417117685424,0.20088390037762527,0.45451677066483576,4517.485613759543,51401.81912692639,0.0,5,4
58,2000-01-14 00:00:00,8,0.28578051677716965,0.10993401455251833,1.1164699060681107,0.36270071186512526,0.661953135403276,849.7039523873775,37649.95849698926,0.0,6,2
