t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18708991671142394,,,,0.0,36784.82683987043,38372.09825860281,0.0,5,0
1,1999-11-18 00:00:00,0,0.2092685092471825,0.04261410960143741,1.1102230246251565e-16,0.04261410960143741,0.0,17746.348159455214,18127.221502996486,0.0,4,2
2,1999-11-19 00:00:00,0,0.21908141011142965,0.04123451877185119,1.1102230246251565e-16,0.0838486283732886,1.6653345369377348e-16,17402.898341549135,18165.275101576677,0.0,5,2
3,1999-11-20 00:00:00,0,0.09878113014858782,0.1997669705538499,3.3306690738754696e-16,0.24560313225967123,0.0,2170.786515973495,2337.7894873579726,0.0,2,2
4,1999-11-21 00:00:00,0,0.1716233407694171,0.02075137837601012,0.0,0.2663545106356814,1.6653345369377348e-16,22408.962679920176,23208.155769024597,0.0,5,2
5,1999-11-22 00:00:00,0,0.14498582720318645,0.08043280926084143,0.0,0.18592170137483993,0.0,12891.357825659685,13165.569908779458,0.0,4,2
6,1999-11-23 00:00:00,0,0.16396210563510294,0.0993380803077749,0.0,0.09077376344898808,1.249000902703301e-16,37120.162902486,38788.14445085673,0.0,5,1
7,1999-11-24 00:00:00,1,0.1992419663527406,0.058362326501933265,0.0,0.028104405352270573,1.1102230246251565e-16,34666.830758727796,36185.253687776814,0.0,5,3
8,1999-11-25 00:00:00,1,0.22983928267063844,0.057098065072243284,2.7755575615628914e-16,0.07370658184272022,4.440892098500626e-16,65553.85905614399,67575.80120549355,0.0,6,4
9,1999-11-26 00:00:00,1,0.2380356150257623,0.04869246099836791,5.551115123125783e-17,0.11194736702499553,2.498001805406602e-16,59440.893358155685,61170.670983174656,0.0,6,4
10,1999-11-27 00:00:00,1,0.20081170484671979,0.035797827769372875,6.661338147750939e-17,0.09977242349856282,0.0,38657.44363717711,40029.756122826446,0.0,5,5
11,1999-11-28 00:00:00,1,0.24037549605195346,0.03895484820105631,0.0,0.13154370448964386,1.1102230246251565e-16,88110.8637083174,91574.91915733444,0.0,7,4
12,1999-11-29 00:00:00,1,0.2401846772159732,0.04365771490185389,8.326672684688674e-17,0.09590309114560122,2.0816681711721685e-16,38676.43707044094,40450.406150246316,0.0,5,4
13,1999-11-30 00:00:00,1,0.18941113548430405,0.041554301025201676,2.0816681711721685e-16,0.09665085347462854,1.1102230246251565e-16,40052.16309674958,41508.99007508889,0.0,5,4
14,1999-12-01 00:00:00,2,0.2571624811305792,0.043791788412448664,1.3322676295501878e-16,0.09839988660392592,0.0,75142.98061305609,77696.7405969067,0.0,6,5
15,1999-12-02 00:00:00,2,0.20915316912473222,0.0338589318789146,4.163336342344337e-17,0.10869085682590415,0.0,20328.708110494663,21084.914975849497,0.0,5,4
16,1999-12-03 00:00:00,2,0.23921416522141845,0.044075356627100645,2.7755575615628914e-17,0.13265612368962681,1.6653345369377348e-16,52094.723221275926,53835.04299984695,0.0,6,4
17,1999-12-04 00:00:00,2,0.24235585724170675,0.04014082286889086,5.551115123125783e-17,0.18810192851974802,1.6653345369377348e-16,22729.200316712147,23918.901023414506,0.0,4,3
18,1999-12-05 00:00:00,2,0.25655239099138855,0.025383425912843344,5.551115123125783e-17,0.21348535443259134,1.1102230246251565e-16,68506.47241620802,70778.79187043541,0.0,6,3
19,1999-12-06 00:00:00,2,0.23826200846415402,0.050577982184575404,5.551115123125783e-17,0.17070069230974005,2.1510571102112408e-16,51118.50004554637,53156.431110087695,0.0,6,4
20,1999-12-07 00:00:00,2,0.2269703140481872,0.05872656738120949,1.6653345369377348e-16,0.15789059924629975,2.0816681711721685e-16,54033.05139151978,56140.997138997285,0.0,6,4
21,1999-12-08 00:00:00,3,0.17786559080252054,0.06285546797088551,2.7755575615628914e-17,0.08435061925586385,1.1102230246251565e-16,21225.973309048306,22299.013524010617,0.0,4,4
22,1999-12-09 00:00:00,3,0.25012648243918595,0.09437519425593273,0.0,0.20578347007982892,0.0,10827.802547114115,11267.407490795524,0.0,3,3
23,1999-12-10 00:00:00,3,0.22945185683694352,0.09400356123634535,0.0,0.20901865652598428,0.0,46564.73439881523,48886.476727690984,0.0,5,3
24,1999-12-11 00:00:00,3,0.20305728413776397,0.06325091691605204,0.0,0.2303636456485694,1.6653345369377348e-16,60035.05945435915,62262.05234897549,0.0,7,3
25,1999-12-12 00:00:00,3,0.15771758313285258,0.02546347283217574,1.1102230246251565e-16,0.28340500792191425,2.220446049250313e-16,34144.62216249142,35672.382469978445,0.0,5,2
26,1999-12-13 00:00:00,3,0.23939054560245038,0.05179068348292857,1.3877787807814457e-16,0.1934931874438857,2.2898349882893854e-16,19682.804908945844,20417.988592262718,0.0,4,4
27,1999-12-14 00:00:00,3,0.2042760943385572,0.06807259900103516,1.682681771697503e-16,0.1388975383588662,1.1102230246251565e-16,7963.684364669811,8249.105636638425,0.0,3,2
