t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.21712511178494998,,,,0.0,7587.081115967658,38372.09825860281,0.0,5,0
1,1999-11-18 00:00:00,0,0.1650639442027596,0.2726543028029689,1.942890293094024e-16,0.2726543028029689,0.0,9334.629262103776,18127.221502996486,0.0,4,2
2,1999-11-19 00:00:00,0,0.2347432885557358,0.32711523221469585,0.0,0.08177908709976013,1.6653345369377348e-16,3802.1920892181492,18165.275101576677,0.0,5,2
3,1999-11-20 00:00:00,0,0.2645497477881376,0.16551394686225135,3.3306690738754696e-16,0.17917302570626792,0.0,5.564808770118953,2337.7894873579726,0.0,2,2
4,1999-11-21 00:00:00,0,0.19379311470706764,0.060453746745817584,2.220446049250313e-16,0.23962677245208547,1.6653345369377348e-16,6266.802870550541,23208.155769024597,0.0,5,2
5,1999-11-22 00:00:00,0,0.21199979211496933,0.051135646601816555,0.0,0.2401556555532044,2.220446049250313e-16,6439.398220887099,13165.569908779458,0.0,4,2
6,1999-11-23 00:00:00,0,0.24998272734176846,0.09804061728915373,0.0,0.027717060743999808,0.0,6775.662872105378,38788.14445085673,0.0,5,1
7,1999-11-24 00:00:00,1,0.3104150351983376,0.08906895127596735,5.551115123125783e-17,0.07982993102796741,0.0,6676.182196478571,36185.253687776814,0.0,5,3
8,1999-11-25 00:00:00,1,0.36972370174700914,0.1835358362368752,1.6653345369377348e-16,0.20728039960976855,2.220446049250313e-16,23521.576368855607,67575.80120549355,0.0,6,4
9,1999-11-26 00:00:00,1,0.3262900730177906,0.08151827536948325,5.551115123125783e-17,0.2178852224954132,0.0,22881.585997291124,61170.670983174656,0.0,6,4
10,1999-11-27 00:00:00,1,0.24659970153215624,0.12631797480278348,2.2204460492503132e-17,0.22442843223051376,0.0,15508.531077937125,40029.756122826446,0.0,5,5
11,1999-11-28 00:00:00,1,0.3766194664928991,0.1537838867394259,0.0,0.43338780016035067,1.1102230246251565e-16,28361.477623177525,91574.91915733444,0.0,7,4
12,1999-11-29 00:00:00,1,0.13698694699469263,0.5396129537697919,2.7755575615628914e-17,0.4463471952579439,4.0245584642661925e-16,12498.387607599581,40450.406150246316,0.0,5,4
13,1999-11-30 00:00:00,1,0.25866856533778565,0.20102236685601227,2.0816681711721685e-16,0.18196499544575961,2.224782857940255e-16,11284.42753468589,41508.99007508889,0.0,5,4
14,1999-12-01 00:00:00,2,0.2730162768881182,0.08880416013283891,6.938893903907228e-17,0.10839074281450263,0.0,23734.73167666146,77696.7405969067,0.0,6,5
15,1999-12-02 00:00:00,2,0.26385372449546074,0.06015511529556388,4.163336342344337e-17,0.10343559129503244,0.0,5749.8297275258,21084.914975849497,0.0,5,4
16,1999-12-03 00:00:00,2,0.3089223054928601,0.06713940042567587,2.7755575615628914e-17,0.15889841157836787,3.3306690738754696e-16,16712.80275675719,53835.04299984695,0.0,6,4
17,1999-12-04 00:00:00,2,0.15100980404501685,0.20899707590099684,5.551115123125783e-17,0.312668134396584,3.608224830031759e-16,4596.211940265095,23918.901023414506,0.0,4,3
18,1999-12-05 00:00:00,2,0.29166999704239316,0.23829869894778008,5.551115123125783e-17,0.23992877491360098,2.498001805406602e-16,22190.37867258368,70778.79187043541,0.0,6,3
19,1999-12-06 00:00:00,2,0.1749055039464699,0.03038059525834528,2.7755575615628914e-17,0.1586831274428836,0.0,17255.636040428595,53156.431110087695,0.0,6,4
20,1999-12-07 00:00:00,2,0.16514485725516562,0.2178241111917014,2.220446049250313e-16,0.2813865998626473,0.0,16194.228679498394,56140.997138997285,0.0,6,4
21,1999-12-08 00:00:00,3,0.1709256154296782,0.07818765050546307,2.7755575615628914e-17,0.20244023421685456,0.0,5825.577455600567,22299.013524010617,0.0,4,4
22,1999-12-09 00:00:00,3,0.10927533398294274,0.06937740676383179,0.0,0.25495520103464825,2.203098814490545e-16,2420.3766112742096,11267.407490795524,0.0,3,3
23,1999-12-10 00:00:00,3,0.12255503110303931,0.08024366163310058,7.401486830834377e-17,0.23526174921263587,0.0,8309.412058380454,48886.476727690984,0.0,5,3
24,1999-12-11 00:00:00,3,0.24881507459865387,0.10829358054976956,0.0,0.31931348401134035,0.0,18943.00922995548,62262.05234897549,0.0,7,3
25,1999-12-12 00:00:00,3,0.22456088226200438,0.05686207788280779,1.1102230246251565e-16,0.3204828829111602,2.220446049250313e-16,8042.782422868293,35672.382469978445,0.0,5,2
26,1999-12-13 00:00:00,3,0.17793332107831472,0.09139177386217137,8.326672684688674e-17,0.17630354006076676,0.0,6844.716021016098,20417.988592262718,0.0,4,4
27,1999-12-14 00:00:00,3,0.0874006256211632,0.07093310797865585,5.724587470723463e-17,0.17229633767236266,2.220446049250313e-16,2215.0388847017093,8249.105636638425,0.0,3,2
28,1999-12-15 00:00:00,4,0.21826565381702934,0.01940179839523483,0.0,0.23327649549617976,0.0,3899.954260757525,44021.84226625223,0.0,5,1
29,1999-12-16 00:00:00,4,0.16154022928342116,0.06911438137767645,7.401486830834377e-17,0.14687321320973637,0.0,5699.8758812122305,24726.7615185261,0.0,4,3
30,1999-12-17 00:00:00,4,0.15774671573736918,0.04828230430254776,1.5265566588595902e-16,0.11792380205213943,1.1102230246251565e-16,17694.695001052005,58580.72081367387,0.0,6,4
31,1999-12-18 00:00:00,4,0.19552379352257723,0.05284468133652367,0.0,0.11633524693114494,1.942890293094024e-16,11592.809071517126,48449.962477537454,0.0,5,5
32,1999-12-19 00:00:00,4,0.23722047009358863,0.0641181454540257,0.0,0.10386819661140631,1.1102230246251565e-16,6781.861376865572,36747.385576190965,0.0,5,4
33,1999-12-20 00:00:00,4,0.2691919827251684,0.14126567756673616,6.245004513516506e-17,0.14315424155840406,2.7755575615628914e-16,4373.119132985822,24887.122436207213,0.0,4,4
34,1999-12-21 00:00:00,4,0.3213998471140451,0.05797779764683378,0.0,0.1681193553373235,2.1510571102112408e-16,7873.111170876875,32594.105090055717,0.0,5,3
35,1999-12-22 00:00:00,5,0.3457463945674731,0.10276177474683286,3.700743415417188e-17,0.22361792952211734,1.1102230246251565e-16,14437.575576851545,40980.68292916814,0.0,5,3
36,1999-12-23 00:00:00,5,0.21530198186904892,0.132078329609655,0.0,0.1687133052932201,0.0,6007.3352057645225,28172.016002764485,0.0,4,4
37,1999-12-24 00:00:00,5,0.4144172006991382,0.20605791137969065,1.4802973661668753e-16,0.37511978357863635,2.220446049250313e-16,26253.740548856025,94720.37714688836,0.0,7,3
38,1999-12-25 00:00:00,5,0.29828560214792016,0.3171092178112012,7.401486830834377e-17,0.18393530013699114,1.6653345369377348e-16,4489.186100070228,32112.773664644214,0.0,5,3
39,1999-12-26 00:00:00,5,0.17763311458510464,0.12141885214841058,0.0,0.12361783842954478,2.220446049250313e-16,1967.8604782742161,23647.373810733552,0.0,4,3
40,1999-12-27 00:00:00,5,0.10394511600589082,0.030237603777857867,0.0,0.10486703613112962,0.0,1.205654022733513,3481.147334617034,0.0,2,2
41,1999-12-28 00:00:00,5,0.13549361529018136,0.09596486629707919,0.0,0.10172096561241162,0.0,4492.892932461397,17502.088962638485,0.0,5,1
42,1999-12-29 00:00:00,6,0.23734955740539282,0.12187447230792502,1.1102230246251565e-16,0.14222386671110326,0.0,3786.522910918565,13356.61254870912,0.0,4,2
43,1999-12-30 00:00:00,6,0.2846754784099899,0.17975596264701904,8.326672684688674e-17,0.1724843215012282,2.7755575615628914e-16,4880.594840921828,16643.282101675857,0.0,4,2
44,1999-12-31 00:00:00,6,0.240161035221813,0.15041155051931923,0.0,0.2595770806793946,2.220446049250313e-16,3452.424497238304,23641.595405245705,0.0,4,3
45,2000-01-01 00:00:00,6,0.26953293986450083,0.024017456952093445,2.7755575615628914e-17,0.21827853354879795,0.0,7340.483728993523,49993.2699367161,0.0,6,4
46,2000-01-02 00:00:00,6,0.3904276551516155,0.022163656075530322,4.163336342344337e-17,0.13639414921587195,1.6653345369377348e-16,22770.0094773668,70180.84910732086,0.0,6,4
47,2000-01-03 00:00:00,6,0.2803052852167111,0.040533993641292704,0.0,0.1463172972000763,0.0,10979.054226044289,56446.8785017847,0.0,6,4
48,2000-01-04 00:00:00,6,0.26971012682700896,0.04034452543675875,5.551115123125783e-17,0.17797865908965044,0.0,5911.733930949987,25372.973342100096,0.0,4,4
49,2000-01-05 00:00:00,7,0.24074549844997475,0.04449020995369663,8.326672684688674e-17,0.18794356853538902,0.0,7664.306692279304,40448.907889263966,0.0,5,4
50,2000-01-06 00:00:00,7,0.32214105709902974,0.09847683374956934,5.551115123125783e-17,0.3013654329693358,0.0,10001.980248579392,26898.529267277736,0.0,4,2
51,2000-01-07 00:00:00,7,0.3379772751926444,0.09710619749037454,7.401486830834377e-17,0.2682202735689935,3.3306690738754696e-16,5347.241660317961,22522.532675535334,0.0,4,3
52,2000-01-08 00:00:00,7,0.3242943132040021,0.07730497394094696,4.625929269271486e-17,0.22728012336623618,2.220446049250313e-16,6368.12093448151,17307.267614992015,0.0,6,3
53,2000-01-09 00:00:00,7,0.198146379120169,0.24126675423146382,3.4231876592608995e-16,0.45848911830060907,2.220446049250313e-16,23808.110572021465,71765.36277158132,0.0,7,3
54,2000-01-10 00:00:00,7,0.23863171780691633,0.23485614276790873,5.551115123125783e-17,0.37738473442013104,0.0,20297.586390879278,93368.3968025617,0.0,8,4
55,2000-01-11 00:00:00,7,0.26822314050264306,0.07751560077332628,9.020562075079397e-17,0.3470357126417792,2.220446049250313e-16,13556.787661365304,48443.89582722191,0.0,5,4
