t,rmse_hPa,max_change_hPa,input_min_hPa,smoothed_min_hPa
0,1.1964483834266917,7.763319758603416,993.2664975331888,999.8244728627257
1,1.1705841247790016,5.092272220270729,995.0493183751504,998.8530034587834
2,1.415470806608733,8.881137184636714,993.2276843167193,999.8938532689466
3,1.6970577447736612,9.245829593300869,983.8745541061734,990.2672645993999
4,1.7376439328272888,13.108371854978486,971.3294792044879,977.2935635769401
5,1.6493127974853359,11.105795625923406,978.3309256862557,987.3494839752651
6,1.976101510199933,11.047439058233977,970.2882049498227,980.8437384644876
7,1.9642156197053438,11.182317202177842,976.6704793022682,984.8095157016767
8,1.5192285300396702,8.844001275071719,988.7412463657688,994.8124451922471
9,1.8848286456122143,16.060074928561676,966.9623995878916,983.0224745164533
10,1.6682538332771362,11.836146528093764,963.8846087104052,974.0422667063015
11,1.9198280167721309,13.534231644571037,969.46055657619,978.800296362807
12,1.732618177829221,13.376724675790683,970.6293803402355,977.9695559138906
13,2.13764659238763,11.766582266442242,967.6818950309563,974.50884064946
14,1.7097446236024014,12.236311146797448,954.2076175234386,964.37736913697
15,1.567176158556241,8.44629674557018,957.3266193384028,963.1653884396577
16,1.5396072808558223,7.987898174726638,973.6408892789713,976.9007875398112
17,1.8137821082896044,16.603564697252523,957.4336967458111,973.7712284975265
18,1.4402445301303601,8.518577796470709,979.3003163464767,984.2184111019803
19,1.7899230808511468,12.354625518475132,965.2074575309261,977.3860574306474
20,1.9665619213821244,12.754655643605929,967.8353380839305,980.3015318455267
21,1.5593003575670792,10.184593360576741,974.7246318783009,981.9252420792702
22,1.6364901759598467,7.899783349043787,966.6169466897086,973.4620515596597
23,1.507136860069222,7.288631678208276,975.6198075715129,980.7866963240554
24,1.5981607052747642,8.388269584369482,980.0553112339073,985.5049631242688
25,1.940705276517953,10.664156287250876,973.501281162113,981.5121140230052
26,2.0110819557845336,12.278961200956019,977.5235144697823,983.5791585866274
27,1.655901871680223,8.321376380401603,985.2931445835575,992.5109830996107
28,1.6474763390460427,13.952113814024528,981.0964785334058,993.4505116569866
29,1.8454518725143254,13.08216559023981,976.0899614655415,988.1190236871713
30,1.7495251163898498,9.272928205584662,976.7590916909433,984.2691432360416
31,1.679027339219152,10.833151342744372,963.5733587714485,973.4049138501751
32,1.575269179549046,7.862370791121748,970.0078650573943,977.588848422893
33,1.4041186797626803,7.914881405568508,984.133754713707,987.4508398432112
34,1.7164421762820126,8.570374914585955,977.0574837865938,985.4460368175245
35,1.5506052837396307,8.309135209042324,981.3250481770941,988.3616841626497
36,1.7906428692788945,8.826018301939598,971.180524215688,979.2041780916708
37,1.8779113354436254,9.68149912990441,957.2648411099747,966.5918009829206
38,2.1761502319580384,16.892420419560494,946.1955055306506,961.8873084710326
39,1.9926064766680944,13.997792753090152,947.7000290558387,957.6442346254453
40,1.5873590333711485,9.366417942031603,959.5074935785343,966.1061943928732
41,1.6144121701655272,13.624326588194208,971.0905548629653,982.6119085991305
42,1.360741320387232,8.548688109345676,984.7826825269614,988.4016232151348
43,1.5462929745503586,10.623301051274552,977.8510944194745,988.3040886523547
44,1.6548644898451845,13.51636613322114,954.8521842361404,966.7649040606856
45,1.5241100459416626,8.37994198773822,970.6789809652283,975.4404722441337
46,1.744494354795134,12.107998072101509,969.4516729461118,980.2116432478083
47,2.033714579074503,21.206278070395342,960.4244743635309,980.5801395692125
48,1.7181528456699766,15.585025811345986,961.6615940193954,976.3689249750729
49,1.7088599522450219,8.542952385288004,967.5226511949256,974.7884587357141
50,1.6472975065732591,10.948926791391045,963.8371429394434,974.5499244030564
51,1.9910113934967373,11.47387704135474,949.9774202959638,960.6431375700612
52,1.684062319688621,14.08199650582742,943.9316571105791,956.9859202040759
53,1.5249500023545481,10.115182938560451,958.9695499986827,966.2645988495411
54,1.9664752447921716,13.896704302302851,951.5451875254636,964.6124344277866
55,1.9777052370548207,14.273735299859027,969.3399849964937,983.2714531138917
56,1.5588516713215608,10.290813842886223,982.8679437937977,990.9834761637456
57,1.2679151927678263,7.401381918304196,993.9262117342233,996.5594058385298
58,1.58355886021951,6.576061310485898,998.0784368049025,1002.6686589797749
