t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.014958672846707924,,,,0.0,13233.462048716752,37728.458643251746,0.838057220690132,5,0
1,1999-11-17 12:00:00,0,0.018762772564196575,0.010656112487517055,0.0,0.010656112487517055,0.0,6652.271901768779,18020.527265553024,1.2515327077035892,4,4
2,1999-11-18 00:00:00,0,0.019591138966412045,0.012488717796383794,1.1102230246251565e-16,0.026909684654526953,1.6653345369377348e-16,11876.789087555904,42854.48291197174,2.184089460044561,6,2
3,1999-11-18 12:00:00,0,0.038675421619508966,0.020169709353315583,0.0,0.03331889374302852,1.1102230246251565e-16,17203.590154020552,47775.69777131372,3.9789726696797203,7,2
4,1999-11-19 00:00:00,0,0.03527522659563331,0.00624666814927213,1.295260195396016e-16,0.02251797715811847,0.0,3214.1558280307395,18164.149759046966,4.986010502766646,5,3
5,1999-11-19 12:00:00,0,0.008333333333333333,0.020841608258068727,0.0,0.024055319482488607,1.6653345369377348e-16,552.9657317906244,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.008333333333333333,0.0,1.1102230246251565e-16,0.027659080937145947,0.0,1124.8814785755278,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.008333333333333333,0.0,0.0,0.027659080937145947,1.1102230246251565e-16,2300.0673936346125,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.0475166113601856,0.02981137393932472,0.0,0.04941026679882679,1.1102230246251565e-16,3013.7834887998047,11088.9442252836,6.826621853725584,4,2
9,1999-11-21 12:00:00,0,0.007321640497813626,0.04334994469351893,2.7755575615628914e-17,0.04227379819242954,0.0,9019.021948486241,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.019046962562819302,0.010713629229485969,0.0,0.027659080937145947,0.0,2434.2989614904773,13170.127228093646,1.2856355075383163,4,2
11,1999-11-22 12:00:00,0,0.07306507649958693,0.06758797633310597,5.724587470723463e-17,0.07896118088357465,0.0,14586.741326762034,38018.88460752566,12.787492369230339,5,2
12,1999-11-23 00:00:00,0,0.06683852386950258,0.10693997078028747,0.0,0.08606396590391335,1.249000902703301e-16,13293.33730140135,38656.573597538205,8.889088876640614,5,5
13,1999-11-23 12:00:00,0,0.008333333333333333,0.054612553010543616,5.551115123125783e-17,0.07180753851218666,0.0,5363.85404273653,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.008333333333333333,0.0,0.0,0.06519728605743223,2.220446049250313e-16,7985.139343683038,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.008333333333333333,0.0,7.401486830834377e-17,0.05404393994729112,0.0,1948.7722599368144,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.013544381009248901,0.005016993494685718,0.0,0.05906093344197685,0.0,5016.280057411517,46299.42057099687,1.0210371488934165,5,3
17,1999-11-25 12:00:00,1,0.00718217551487995,0.011698930544312086,6.661338147750939e-17,0.03444843174920867,1.1102230246251565e-16,11082.821994604345,63265.79155736668,0.0,6,5
18,1999-11-26 00:00:00,1,0.012567952436250413,0.005385776921370461,0.0,0.03126972397709961,0.0,13763.546527216064,61054.28314682403,0.5081542923500493,6,6
19,1999-11-26 12:00:00,1,0.06144126762463555,0.062612069661689,3.3306690738754695e-17,0.08412138597983555,1.3877787807814457e-16,19947.809991515376,57378.81975057557,7.766792169699144,6,5
20,1999-11-27 00:00:00,1,0.01129138757369437,0.05760216871022453,0.0,0.041690426891865986,0.0,10253.344464229023,40052.76372256911,0.5909191205392474,5,4
21,1999-11-27 12:00:00,1,0.06796086610737226,0.08828505063727911,0.0,0.08283042826792979,1.942890293094024e-16,11024.166438719449,36082.66668761158,15.46462346587164,5,4
22,1999-11-28 00:00:00,1,0.03912569734989906,0.08032744412388501,2.2204460492503132e-17,0.036539309230222104,0.0,13833.54068941283,60617.648132087284,6.9119239996932365,6,5
23,1999-11-28 12:00:00,1,0.03717335297392884,0.00924059977298555,4.4408920985006264e-17,0.033146733321451974,1.3877787807814457e-16,16765.087380795383,63825.22309827395,5.497221807385586,6,5
24,1999-11-29 00:00:00,1,0.04441961683294364,0.017071782511782197,2.7755575615628914e-17,0.042721378549609834,1.942890293094024e-16,8809.024281097982,40344.21211858167,4.373595449388688,5,4
25,1999-11-29 12:00:00,1,0.08953092450467119,0.03827280030098303,6.418476861114186e-17,0.08099417885059287,1.942890293094024e-16,9703.120725784509,39465.58803603207,15.069435907953377,5,4
26,1999-11-30 00:00:00,1,0.10503583355815509,0.015504909053483873,4.4408920985006264e-17,0.08030025213395817,0.0,12206.22914907799,41504.68517790583,18.094116827588522,5,5
27,1999-11-30 12:00:00,1,0.10913645476315906,0.20632514876907704,5.551115123125783e-17,0.12424410034971614,1.3877787807814457e-16,15163.950388714069,41184.15416244837,19.914140597985053,5,4
28,1999-12-01 00:00:00,2,0.14417084783536463,0.22424122361980997,7.632783294297951e-17,0.09999712327009384,1.1102230246251565e-16,28861.657358669618,77477.72847657466,31.91220730978555,6,4
29,1999-12-01 12:00:00,2,0.09467041629165704,0.05673885956507916,1.5265566588595902e-16,0.06327575815008754,0.0,4196.214243936997,16015.480847754048,16.899396501463414,4,4
30,1999-12-02 00:00:00,2,0.007667259187728667,0.08967115694298454,5.377642775528102e-17,0.038983053579952916,2.220446049250313e-16,7010.448939208425,20978.505507222195,0.0,5,4
31,1999-12-02 12:00:00,2,0.008333333333333333,0.000832592682005832,0.0,0.03981564626195874,0.0,4458.383824244458,25190.02848145358,0.0,5,4
32,1999-12-03 00:00:00,2,0.035361876418373496,0.028389602504856035,0.0,0.06395092731309222,0.0,15113.768908626,54875.049046410735,3.406752300582724,6,4
33,1999-12-03 12:00:00,2,0.0077826061269912795,0.028389602504856035,0.0,0.05308752834927832,0.0,7477.821192547553,25967.91298403781,0.0,4,3
34,1999-12-04 00:00:00,2,0.008333333333333333,0.0005507272063420536,5.551115123125783e-17,0.0403663734683008,1.6653345369377348e-16,7759.863493158788,23877.313619110962,0.0,4,4
35,1999-12-04 12:00:00,2,0.09029838437639028,0.0941737050691024,0.0,0.1345400785374032,1.249000902703301e-16,27570.913947641904,68099.4532148222,14.389133219553244,6,4
36,1999-12-05 00:00:00,2,0.09940589112545932,0.026942410724748792,0.0,0.10552957326922284,1.3877787807814457e-16,30489.15014390106,70951.48290010258,18.050412025086025,6,6
37,1999-12-05 12:00:00,2,0.06984554100205892,0.050656349608013275,0.0,0.09744744361923412,0.0,29964.342472582717,106158.8830480295,14.127243385923933,8,5
38,1999-12-06 00:00:00,2,0.022128902932780064,0.04010119087239017,0.0,0.0558922960579689,0.0,13946.405138428821,53390.352954670576,2.483255015982209,6,4
39,1999-12-06 12:00:00,2,0.04350791735252379,0.020853459673993376,3.700743415417188e-17,0.05214364087307616,1.6653345369377348e-16,56117.69590714467,215371.96084313653,5.026880739330181,11,6
40,1999-12-07 00:00:00,2,0.049743404086604194,0.039339752066579324,9.020562075079397e-17,0.08197240647424539,2.1510571102112408e-16,14885.295891063815,56425.093368672664,8.959288089511375,6,5
41,1999-12-07 12:00:00,2,0.022555619066526447,0.029150240124300408,7.632783294297951e-17,0.0418961067490977,1.6653345369377348e-16,11101.5111357194,31619.759306834967,3.1989677405070296,5,4
42,1999-12-08 00:00:00,3,0.040830840608046426,0.014652844349418565,4.163336342344337e-17,0.0541998168010662,1.6653345369377348e-16,7303.569858462281,22170.620497627984,5.502032985352457,4,4
43,1999-12-08 12:00:00,3,0.008333333333333333,0.03360214029586063,0.0,0.02040067212452104,1.942890293094024e-16,4337.8461777902085,12017.470860045181,0.0,3,3
44,1999-12-09 00:00:00,3,0.011455834270977761,0.0031225009376444272,5.551115123125783e-17,0.019359838478639563,0.0,4782.875963181547,11237.222474815124,0.37470011251733126,3,3
45,1999-12-09 12:00:00,3,0.02780981695403646,0.02423427167548228,3.700743415417188e-17,0.010785331741561757,1.3877787807814457e-16,24433.143579128486,72471.92963287796,3.1062151758179652,6,3
46,1999-12-10 00:00:00,3,0.006039576199101808,0.027954948547508768,7.401486830834377e-17,0.023450920573082356,0.0,11821.713708027513,48760.745695005906,0.0,5,3
47,1999-12-10 12:00:00,3,0.03189047666354476,0.024558303668845097,5.551115123125783e-17,0.01885703496615614,0.0,5916.616815286396,39105.664434657396,3.9103966142017015,5,4
48,1999-12-11 00:00:00,3,0.04366132812975537,0.024874346046330764,9.71445146547012e-17,0.04011503441708921,1.6653345369377348e-16,4432.772202368871,35478.43727670012,6.707353164634938,5,4
49,1999-12-11 12:00:00,3,0.06476563632120715,0.041185538481699306,0.0,0.05183223061066869,0.0,16709.30322639185,54370.69672126992,11.306768157921464,6,4
50,1999-12-12 00:00:00,3,0.06297245465392089,0.020599980480735802,9.367506770274758e-17,0.03575857917379348,2.220446049250313e-16,13212.682697735008,48547.56533473617,11.556080057198322,6,4
51,1999-12-12 12:00:00,3,0.008333333333333333,0.048090989049931816,1.1102230246251565e-16,0.03529852390536121,1.249000902703301e-16,2108.604368349949,19855.93987344179,0.0,4,4
52,1999-12-13 00:00:00,3,0.007288036211748523,0.0010452971215848094,0.0,0.03634382102694602,0.0,1059.3360552253143,20427.954878944554,0.0,4,4
53,1999-12-13 12:00:00,3,0.006862469209407973,8.82775582034571e-05,1.1102230246251565e-16,0.036432098585149474,1.1102230246251565e-16,1117.4782129915077,28808.73576136702,0.0,5,4
54,1999-12-14 00:00:00,3,0.008138262990716821,0.0022563698639257545,0.0,0.03284515933864785,1.1102230246251565e-16,130.36509089685444,8323.627777031028,0.0,3,3
55,1999-12-14 12:00:00,3,0.008333333333333333,0.00029260551392476704,8.326672684688674e-17,0.0014100109502368655,2.220446049250313e-16,249.64015269821275,2681.990803431742,0.0,3,2
56,1999-12-15 00:00:00,4,0.00833333333333334,0.008333333333333333,0.0,0.0097433442835702,1.6653345369377348e-16,13292.384973008682,43791.31992442668,0.0,5,2
57,1999-12-15 12:00:00,4,0.010481877555426991,0.006459943276887718,1.1102230246251565e-16,0.002998282085339484,0.0,13213.027195304006,87581.25798633699,0.3860258864727797,7,4
58,1999-12-16 00:00:00,4,0.02171583530811662,0.021305636020002395,1.1058862159352145e-16,0.022542959832203748,1.1102230246251565e-16,4069.486882802308,24691.636589381058,1.6059002369739943,4,4
59,1999-12-16 12:00:00,4,0.06356353832448013,0.08570038990104195,4.163336342344337e-17,0.06984868105622984,0.0,8556.626239315228,41246.87590204591,12.78519744419279,5,4
60,1999-12-17 00:00:00,4,0.06027647664233529,0.011857165460302823,8.326672684688674e-17,0.06726295063882376,1.6653345369377348e-16,12794.056895597556,58622.5993287405,15.017985631536362,6,5
61,1999-12-17 12:00:00,4,0.06918427308050097,0.01584750389840705,8.881784197001253e-17,0.06532480892639883,0.0,17809.959916725053,72450.67825898578,13.964814120801591,6,5
62,1999-12-18 00:00:00,4,0.05932071917324675,0.013883426911969768,8.326672684688674e-17,0.057495449804902655,0.0,12309.371130741298,48480.54106838224,11.472182553944819,5,5
63,1999-12-18 12:00:00,4,0.07365833597895974,0.024109436605102227,4.302114220422482e-17,0.08160488641000488,0.0,27867.125623073334,110872.69813526458,17.024628306802384,7,5
64,1999-12-19 00:00:00,4,0.03534504232750628,0.03642266180914027,7.771561172376095e-17,0.034837576505696265,2.220446049250313e-16,12067.30456232649,36820.08120440248,5.327349507324072,5,5
65,1999-12-19 12:00:00,4,0.012596617977265839,0.03124458472536092,5.551115123125783e-17,0.011964972304575017,2.220446049250313e-16,12983.73099111284,39396.84835914016,0.5115941572719009,5,5
66,1999-12-20 00:00:00,4,0.0076260961751839496,0.00772271415244979,0.0,0.010276832549435833,1.1102230246251565e-16,4977.934401561886,24841.57076789314,0.0,4,4
67,1999-12-20 12:00:00,4,0.05128662750858156,0.05057939035043217,5.551115123125783e-17,0.04030255780099634,0.0,5512.106377014482,28188.038766387883,6.678007099728845,4,4
68,1999-12-21 00:00:00,4,0.06054379455310286,0.016688434666234504,3.700743415417188e-17,0.04050813326034894,0.0,11152.79520594607,32384.480933168805,8.545331809342926,5,3
69,1999-12-21 12:00:00,4,0.06353378720272904,0.038850657329144694,3.3306690738754695e-17,0.030823596417518785,2.7755575615628914e-16,10442.848013816265,35350.31786427819,9.554431268093936,5,5
70,1999-12-22 00:00:00,5,0.054905465335994406,0.008628321866734628,7.771561172376095e-17,0.023053296758601505,2.220446049250313e-16,10285.813225319502,41302.58014617845,8.291703940225531,5,5
71,1999-12-22 12:00:00,5,0.04642724520929309,0.014238251055141721,5.551115123125783e-17,0.019950789561033862,1.6653345369377348e-16,18067.968064398687,73961.83752787182,5.744751637414765,6,4
72,1999-12-23 00:00:00,5,0.04725313072671869,0.012525641135091633,9.367506770274758e-17,0.024549955580495036,1.1102230246251565e-16,16030.859529692882,47434.50023429328,6.050526274404945,5,4
73,1999-12-23 12:00:00,5,0.008333333333333333,0.04375376142667375,4.163336342344337e-17,0.05569845393549182,0.0,4279.857377891415,42644.858132977046,0.0,5,4
74,1999-12-24 00:00:00,5,0.05916210844381312,0.08176840334466834,6.938893903907228e-17,0.015076081930004396,0.0,17754.855518302138,70549.38786807212,11.868741000429718,6,2
75,1999-12-24 12:00:00,5,0.05608072952880189,0.020462114462795954,0.0,0.01723192833414428,2.1510571102112408e-16,12807.265627367598,42416.67808764403,9.579216970067055,5,4
76,1999-12-25 00:00:00,5,0.0463790120209761,0.018161296050534268,9.020562075079397e-17,0.020387662822474145,1.6653345369377348e-16,10767.009551783547,32246.647879852044,6.875441003429859,5,4
77,1999-12-25 12:00:00,5,0.043404414576413745,0.012493891973146808,4.625929269271486e-17,0.025807164633668302,2.220446049250313e-16,8160.424819014456,23400.274938143873,4.421535213302249,4,3
78,1999-12-26 00:00:00,5,0.04059052186549573,0.0038963734610365577,0.0,0.02517856292497515,0.0,10986.658201768649,23853.192624819076,3.8708626238594874,4,3
79,1999-12-26 12:00:00,5,0.0045100579850550675,0.03608046388044066,0.0,0.004087623229900217,0.0,0.0,0.0,0.0,1,1
80,1999-12-27 00:00:00,5,0.008333333333333333,0.0038232753482782657,0.0,0.00026434788162195134,0.0,245.7796453698825,3498.1336988074568,0.0,2,1
81,1999-12-27 12:00:00,5,0.008333333333333333,0.0,1.1102230246251565e-16,0.00013217394081097567,0.0,7651.165812790792,17202.289342665135,0.0,4,2
82,1999-12-28 00:00:00,5,0.007523652819754867,0.013427944612352801,0.0,0.013427944612352801,1.1102230246251565e-16,549.3832725015835,13548.93331878835,0.0,4,1
83,1999-12-28 12:00:00,5,0.005919697793270136,0.0015536958117147394,0.0,0.002922285725736194,1.3877787807814457e-16,490.18954413396415,14202.75183665134,0.0,4,3
84,1999-12-29 00:00:00,6,0.04954806956089418,0.03563146234716061,0.0,0.03270917662142442,0.0,2934.7271328998672,13279.001154956612,10.007769805516418,4,3
85,1999-12-29 12:00:00,6,0.041201917995148996,0.020832752304046902,1.1102230246251565e-16,0.028197476379865125,1.6653345369377348e-16,2786.456124600487,8022.390245193295,5.065296147086009,3,2
86,1999-12-30 00:00:00,6,0.07083300337879977,0.04110986642695652,0.0,0.05512319127280814,0.0,7107.006926897011,16576.836507160555,9.385137858174964,4,2
87,1999-12-30 12:00:00,6,0.09526076746732295,0.056946994256528605,1.0177044392397268e-16,0.06122674373118401,0.0,8287.075306223825,24111.075351704374,13.729320515527867,4,3
88,1999-12-31 00:00:00,6,0.12371273599228916,0.035382012069594834,1.0408340855860843e-16,0.08130206986798284,0.0,6189.875273367441,23684.148918830473,21.401986397773257,4,4
89,1999-12-31 12:00:00,6,0.04167998055920112,0.12848280231987672,9.71445146547012e-17,0.0581519934853163,1.1102230246251565e-16,10767.968473781168,35886.824486461075,5.259524034552541,5,4
90,2000-01-01 00:00:00,6,0.01862375113361401,0.02305622942558711,1.6167622796103843e-16,0.04866856938531519,1.1102230246251565e-16,10061.315227286868,34624.12259755617,1.6080819089290515,5,5
91,2000-01-01 12:00:00,6,0.004920173093587469,0.013087813445753374,1.249000902703301e-16,0.05537787831399861,1.1102230246251565e-16,4315.581253506345,19581.28821223102,0.0,4,4
92,2000-01-02 00:00:00,6,0.04689548575357836,0.03907069247770305,5.551115123125783e-17,0.02691005568502404,0.0,14801.637355804462,70270.87477094447,9.094350408481194,6,4
93,2000-01-02 12:00:00,6,0.06252775436981967,0.025695688327758193,0.0,0.03507001436685116,1.1102230246251565e-16,27131.218653236818,86427.12340902284,10.835439490593473,7,5
94,2000-01-03 00:00:00,6,0.0746055590087832,0.008071797921155751,0.0,0.015055167302829464,1.1102230246251565e-16,22180.09441206135,56725.004189895095,11.30167348789979,6,5
95,2000-01-03 12:00:00,6,0.06768261470069757,0.011283960851569456,1.6653345369377348e-16,0.01457840333571821,0.0,18547.103923580857,58255.326815245935,10.765044902752635,6,4
96,2000-01-04 00:00:00,6,0.04155048758157736,0.027172678223866875,0.0,0.021028235044258704,1.1102230246251565e-16,6708.796295367863,25316.57625887992,4.894996463728031,4,4
97,2000-01-04 12:00:00,6,0.03921510836546537,0.0027825959854228532,0.0,0.023205744048353745,1.249000902703301e-16,23406.66208072295,90684.2198145198,4.7497755882093635,7,4
98,2000-01-05 00:00:00,7,0.024748460638186493,0.018737136070261798,1.0061396160665481e-16,0.03515577856301613,2.0816681711721685e-16,12788.864477980584,40648.33684806704,2.55711550615365,5,4
99,2000-01-05 12:00:00,7,0.0314436469266064,0.02967588159801983,1.1102230246251565e-16,0.052010630732443955,2.7755575615628914e-16,2908.135204445176,10467.911132404111,3.0439990627828166,3,2
